rxns,rxnNames,median,mean,std,normalized_flux,Flux_variability
r_0001,(R)-lactate:ferricytochrome-c 2-oxidoreductase,0,-1.4057418610886E-14,1.40574186108824E-12,0,#DIV/0!
r_0002,(R)-lactate:ferricytochrome-c 2-oxidoreductase,0,1.4057418610886E-14,1.40574186108824E-12,0,#DIV/0!
r_0004,(S)-lactate:ferricytochrome-c 2-oxidoreductase,0,0,0,0,#DIV/0!
r_0005,"1,3-beta-glucan synthase",0.003409215225,0.00341384911379347,2.21107598804715E-05,0.00103781285388128,0.648558639487816
r_0006,"1,6-beta-glucan synthase",0.003409215225,0.00341384911379347,2.21107598804715E-05,0.00103781285388128,0.648558639487816
r_0007,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,0.005465343,0.00556921857511674,0.00120538002568738,0.00166372694063927,22.0549748787474
r_0013,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",0,0,0,0,#DIV/0!
r_0014,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase",0.00004150575,4.15621656314994E-05,2.69189127509203E-07,1.26349315068493E-05,0.648558639487789
r_0015,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)",0.00004150575,4.15621656314994E-05,2.69189127509201E-07,1.26349315068493E-05,0.648558639487784
r_0016,2-aceto-2-hydroxybutanoate synthase,0.0070157295,0.00720047058861056,0.00146305190403025,0.00213568630136986,20.8538813252457
r_0017,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,0,0,0,0,#DIV/0!
r_0018,2-aminoadipate transaminase,0.00687611925,0.00691614693117748,0.000621263633325813,0.00209318698630137,9.03509102646544
r_0019,2-dehydropantoate 2-reductase,0,2.58038985340616E-05,0.000484224382045727,0,#DIV/0!
r_0020,2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,0,0,0,0,#DIV/0!
r_0021,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase",0,0,0,0,#DIV/0!
r_0022,2-hexaprenyl-6-methoxyphenol monooxygenase,0,0,0,0,#DIV/0!
r_0023,2-isopropylmalate hydratase,-0.00777247575,-0.00788415593892761,0.00118088161825635,-0.002366050456621,-15.1931206508602
r_0024,2-isopropylmalate synthase,0,0.000132074859629348,0.00105026490866561,0,#DIV/0!
r_0025,2-isopropylmalate synthase,0.00777247575,0.00775481966495438,0.00154027911635844,0.002366050456621,19.817097742099
r_0026,2-keto-4-methylthiobutyrate transamination,0,0,0,0,#DIV/0!
r_0027,2-methylcitrate dehydratase,0.00687611925,0.00891557858701694,0.0233514488546106,0.00209318698630137,339.602150655118
r_0028,2-methylcitrate synthase,0,0,0,0,#DIV/0!
r_0029,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,0.00777247575,0.00788415593892761,0.00118088161825635,0.002366050456621,15.1931206508602
r_0030,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,0,0,0,0,#DIV/0!
r_0032,"3',5'-bisphosphate nucleotidase",0.0082313868,0.00869887335432194,0.00676810676518189,0.00250574940639269,82.22316518016
r_0033,"3',5'-cyclic-nucleotide phosphodiesterase",0,0.000168381665191001,0.00752875063798979,0,#DIV/0!
r_0034,"3',5'-cyclic-nucleotide phosphodiesterase",0,0,0,0,#DIV/0!
r_0035,"3',5'-cyclic-nucleotide phosphodiesterase",0,0,0,0,#DIV/0!
r_0036,"3',5'-cyclic-nucleotide phosphodiesterase",0,0.000515716517621051,0.0130546786594244,0,#DIV/0!
r_0037,"3',5'-cyclic-nucleotide phosphodiesterase",0,0,0,0,#DIV/0!
r_0038,"3,4-dihydroxy-2-butanone-4-phosphate synthase",0.0000830115,8.31243312629987E-05,5.38378255018405E-07,2.52698630136986E-05,0.648558639487788
r_0039,3-dehydroquinate dehydratase,0.0158714634,0.0160273430467199,0.0011548635426444,0.00483149570776256,7.276351988087
r_0040,3-dehydroquinate synthase,0.0158714634,0.0160273430467199,0.0011548635426444,0.00483149570776256,7.276351988087
