median,mean,std,rxns
0,0,0,r_0001_EXP_1
0,0,0,r_0001_EXP_2
0,-1.4057418610886e-14,1.40574186108824e-12,r_0001_EXP_3
0,0,0,r_0001_EXP_4
0,1.4057418610886e-14,1.40574186108824e-12,r_0002_EXP_1
0,0,0,r_0002_EXP_2
0,0,0,r_0004_EXP_1
0,0,0,r_0004_EXP_2
0,0,0,r_0004_EXP_3
0,0,0,r_0004_EXP_4
0,0,0,r_0004_EXP_5
0,0,0,r_0004_EXP_6
0,0,0,r_0004_EXP_7
0.003409215225,0.00341384911379347,2.21107598804715e-05,r_0005
0,0.000177091094029064,0.000756951397140178,r_0006_EXP_1
0,0.000136578347052059,0.000669144457986631,r_0006_EXP_2
0.003409215225,0.0031001796727125,0.000986506651887974,r_0006_EXP_3
0.005465343,0.00556921857511674,0.00120538002568738,r_0007
0,0,0,r_0013
4.150575e-05,4.15621656314994e-05,2.69189127509203e-07,r_0014
4.150575e-05,4.15621656314994e-05,2.69189127509201e-07,r_0015
0.0070157295,0.00720047058861056,0.00146305190403025,r_0016
0,0,0,r_0017
0.00687611925,0.064538979958653,1.59721469545492,r_0018
0,0.0576228330274654,1.59721601885481,r_0018_REV
0,2.58038985340616e-05,0.000484224382045727,r_0019
0,0,0,r_0020_EXP_1
0,0,0,r_0020_EXP_2
0,0,0,r_0021_EXP_1
0,0,0,r_0021_EXP_2
0,0,0,r_0022_EXP_1
0,0,0,r_0022_EXP_2
0,0,0,r_0023
0.00777247575,0.00788415593892761,0.00118088161825635,r_0023_REV
0,0.000132074859629348,0.00105026490866561,r_0024
0.00777247575,0.00775481966495438,0.00154027911635844,r_0025
0,0,0,r_0026
0.00687611925,0.0155276459183363,0.181643686529372,r_0027
0,0.00661206733132076,0.176652430784059,r_0027_REV
0,0,0,r_0028
0.00777247575,0.00788415593892761,0.00118088161825635,r_0029
0,0,0,r_0030
0.0082313868,0.00869887335432194,0.00676810676518189,r_0032
0,0.000168381665191001,0.00752875063798979,r_0033
0,0,0,r_0034
0,0,0,r_0035
0,0.000515716517621051,0.0130546786594244,r_0036
0,0,0,r_0037
8.30115e-05,8.31243312629987e-05,5.38378255018405e-07,r_0038
0.0158714634,0.0160273430467199,0.0011548635426444,r_0039
0.0158714634,0.0160273430467199,0.0011548635426444,r_0040
0,0,0,r_0041
0,0.00801181558138705,0.00814594437120945,r_0042_EXP_1
0.0158714634,0.00801552746533218,0.0079641698156746,r_0042_EXP_2
0,0,0,r_0043
0,0,0,r_0045
0,0.000602157474103958,0.00265510957721127,r_0057_EXP_1
0,9.02961164192932e-05,0.00106430686609096,r_0057_EXP_2
0,0,0,r_0058
0,0,0,r_0060
0.00777247575,0.00788415593892761,0.00118088161825635,r_0060_REV
0,0.00361551178387162,0.00410135178190854,r_0061_EXP_1
0.00777247575,0.00392876103458229,0.0039273956729514,r_0061_EXP_2
0,0.000339883120472556,0.00164000544480295,r_0061_EXP_3
0,0.00028775458556651,0.00223457614734856,r_0062
0,2.58038985340616e-05,0.000484224382045727,r_0063
0,0.000164065943645241,0.00141685383710904,r_0064
0.0158714634,0.0160273430467199,0.0011548635426444,r_0065
0,5.49719591201461e-05,0.000828487424354362,r_0066
0,5.49719591201461e-05,0.000828487424354362,r_0067
0,0,0,r_0068
0,0,0,r_0069
0,9.57946623077236e-05,0.00115079705260907,r_0072
0,0.0728820578281949,1.82068439341695,r_0073
0,0.0728820578281949,1.82068439341695,r_0073_REV
0,0,0,r_0075
0.000468109395003356,0.00052821412668095,0.000760580813802098,r_0079
0.00609796703804508,0.00316343382052367,0.00346199599611404,r_0080_EXP_1
0,0.00349431776399008,0.00510036138872569,r_0080_EXP_2
3.354e-07,3.35855883872671e-07,2.17526568065444e-09,r_0081
0,0,0,r_0085
0,0,0,r_0086
0,0.0637310587651571,1.7021824338436,r_0088
0,0.0637310587651571,1.7021824338436,r_0088_REV
0,0.0546661640166448,1.57720795993204,r_0089
0,0.0546661640166448,1.57720795993204,r_0089_REV
0,0.000336763876464715,0.0137448898301793,r_0090_EXP_1
0,0.00118338000065529,0.0256796354620694,r_0090_EXP_2
0,0,0,r_0091_EXP_1
0,0,0,r_0091_EXP_2
0,0.0637775932319593,1.70341946389032,r_0092
0,0.0637775932319593,1.70341946389032,r_0092_REV
0,0,0,r_0095
0.01536173925,0.015805038412327,0.00257885072220827,r_0096
0.01536173925,0.015805038412327,0.00257885072220827,r_0097
0,0,0,r_0099
0,0,0,r_0099_REV
0,1.93263438958929e-05,0.000570203078790313,r_0100_EXP_1
0,6.52355899630664e-06,0.00034411063030826,r_0100_EXP_2
0,7.92592096825356e-05,0.00118838372527996,r_0100_EXP_3
0,0,0,r_0101_EXP_1
0,0,0,r_0101_EXP_2
0,0,0,r_0101_EXP_3
0,0.000196866272191583,0.00139458169259933,r_0102_EXP_1
0,8.13617819119088e-06,0.000332075025536031,r_0102_EXP_2
0,0.000487451140140477,0.00249430338101345,r_0102_EXP_3
0,1.44282934751032e-05,0.000293224638796085,r_0103_EXP_1
0,9.70707396405369e-06,0.000371487304997114,r_0103_EXP_2
0,5.71617724012618e-05,0.000621297348709448,r_0103_EXP_3
0,0.0173278781887625,0.338089313566261,r_0104_EXP_1
0,0.00145090248463582,0.0837424623856645,r_0104_EXP_2
0,0.00541702065629311,0.136329640237222,r_0104_EXP_3
0,0.000200138512347268,0.00141180523289308,r_0105_EXP_1
0,5.42689873072967e-06,0.000271161767422915,r_0105_EXP_2
0,0.000486888179445253,0.00249183559875748,r_0105_EXP_3
0,0.000196492402411178,0.00139891931168542,r_0106_EXP_1
0,8.07851847467659e-06,0.000329763681476256,r_0106_EXP_2
0,0.000482930710228664,0.00248812779216398,r_0106_EXP_3
0,0.000197791581173166,0.0014003993933131,r_0107_EXP_1
0,3.14778600294242e-06,0.000196644014757311,r_0107_EXP_2
0,0.000491514223347142,0.00250451732057936,r_0107_EXP_3
0,1.58170215995612e-15,1.5817021599562e-13,r_0108
0.18917365227275,0.196550398624601,0.0227780531219606,r_0109
0,0.000322169568918888,0.0131492611750254,r_0111
0.221901996926538,0.231614834467686,0.0832693157866508,r_0112
0,0.00172940455343558,0.0289437006136411,r_0113
0,0,0,r_0114
0.007561593,0.0110253158132582,0.00397329232092751,r_0115
0.007561593,0.0110253158132582,0.00397329232092751,r_0118
0,7.85231457272402e-05,0.000996423561642152,r_0120_EXP_1
0,0.000608978485387278,0.00267553821243082,r_0120_EXP_2
