#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
168653	498906	STRG0A79TGQ.168653	STRG0A79TGQ.498906	0	0	0	0	0.709	0	0	0	0.709
168653	484352	STRG0A79TGQ.168653	STRG0A79TGQ.484352	0	0	0	0	0.403	0.449	0	0.192	0.711
168653	493510	STRG0A79TGQ.168653	STRG0A79TGQ.493510	0	0	0	0	0.318	0.464	0	0.321	0.730
168653	498380	STRG0A79TGQ.168653	STRG0A79TGQ.498380	0	0	0	0	0.191	0.684	0	0	0.733
168653	466746	STRG0A79TGQ.168653	STRG0A79TGQ.466746	0	0	0	0	0.701	0	0	0.206	0.752
168653	455874	STRG0A79TGQ.168653	STRG0A79TGQ.455874	0	0	0	0	0.459	0.322	0	0.508	0.804
179384	443375	STRG0A79TGQ.179384	STRG0A79TGQ.443375	0	0	0	0	0.277	0	0.614	0	0.709
179384	484765	STRG0A79TGQ.179384	STRG0A79TGQ.484765	0	0	0	0	0.201	0.172	0.618	0	0.725
179384	462812	STRG0A79TGQ.179384	STRG0A79TGQ.462812	0	0	0	0	0.340	0	0.614	0	0.734
179384	473614	STRG0A79TGQ.179384	STRG0A79TGQ.473614	0	0	0	0	0.359	0	0.614	0	0.742
179384	534687	STRG0A79TGQ.179384	STRG0A79TGQ.534687	0	0	0	0	0.358	0	0.620	0	0.746
179384	480781	STRG0A79TGQ.179384	STRG0A79TGQ.480781	0	0	0	0	0.189	0.210	0.617	0.095	0.748
179384	229375	STRG0A79TGQ.179384	STRG0A79TGQ.229375	0	0	0	0	0.276	0.217	0.602	0	0.755
179384	484474	STRG0A79TGQ.179384	STRG0A79TGQ.484474	0	0	0	0	0.303	0	0.580	0.230	0.755
179384	456667	STRG0A79TGQ.179384	STRG0A79TGQ.456667	0	0	0	0	0.265	0	0.608	0.232	0.759
179384	461134	STRG0A79TGQ.179384	STRG0A79TGQ.461134	0	0	0	0	0.391	0	0.620	0	0.759
179384	493623	STRG0A79TGQ.179384	STRG0A79TGQ.493623	0	0	0	0	0.179	0.210	0.618	0.143	0.759
179384	493242	STRG0A79TGQ.179384	STRG0A79TGQ.493242	0	0	0	0	0.286	0.210	0.614	0	0.763
179384	486541	STRG0A79TGQ.179384	STRG0A79TGQ.486541	0	0	0	0	0.309	0.210	0.612	0	0.770
179384	477349	STRG0A79TGQ.179384	STRG0A79TGQ.477349	0	0	0	0	0.194	0	0.620	0.345	0.782
179384	476714	STRG0A79TGQ.179384	STRG0A79TGQ.476714	0	0	0	0	0.195	0.225	0.616	0.206	0.784
179384	499239	STRG0A79TGQ.179384	STRG0A79TGQ.499239	0	0	0	0	0.344	0.210	0.618	0	0.785
179384	499983	STRG0A79TGQ.179384	STRG0A79TGQ.499983	0	0	0	0	0.275	0.289	0.593	0.118	0.790
179384	493994	STRG0A79TGQ.179384	STRG0A79TGQ.493994	0	0	0	0	0.254	0	0.594	0.365	0.791
179384	540450	STRG0A79TGQ.179384	STRG0A79TGQ.540450	0	0	0	0	0.390	0.210	0.616	0	0.799
179384	477422	STRG0A79TGQ.179384	STRG0A79TGQ.477422	0	0	0	0	0	0	0.828	0	0.828
179384	451770	STRG0A79TGQ.179384	STRG0A79TGQ.451770	0	0	0	0	0.387	0.243	0.616	0.192	0.837
179384	548724	STRG0A79TGQ.179384	STRG0A79TGQ.548724	0	0	0	0	0.140	0	0.825	0	0.843
179384	484352	STRG0A79TGQ.179384	STRG0A79TGQ.484352	0	0	0	0	0.277	0.210	0.594	0.429	0.850
179384	455874	STRG0A79TGQ.179384	STRG0A79TGQ.455874	0	0	0	0	0.337	0.484	0.618	0	0.858
179384	539074	STRG0A79TGQ.179384	STRG0A79TGQ.539074	0	0	0	0	0.274	0.572	0.608	0	0.868
179384	497532	STRG0A79TGQ.179384	STRG0A79TGQ.497532	0	0	0	0	0.393	0.210	0.617	0.371	0.869
179384	451850	STRG0A79TGQ.179384	STRG0A79TGQ.451850	0	0	0	0	0.338	0.217	0.615	0.427	0.870
179384	449276	STRG0A79TGQ.179384	STRG0A79TGQ.449276	0	0	0	0	0.378	0.404	0.620	0.345	0.895
179384	485289	STRG0A79TGQ.179384	STRG0A79TGQ.485289	0	0	0	0	0.243	0	0.943	0.129	0.959
179384	487323	STRG0A79TGQ.179384	STRG0A79TGQ.487323	0	0	0	0	0.346	0	0.943	0	0.961
179384	491829	STRG0A79TGQ.179384	STRG0A79TGQ.491829	0	0	0	0	0.254	0	0.943	0.162	0.961
179384	461263	STRG0A79TGQ.179384	STRG0A79TGQ.461263	0	0	0	0	0.276	0.172	0.932	0.200	0.963
179384	488095	STRG0A79TGQ.179384	STRG0A79TGQ.488095	0	0	0	0	0.267	0.210	0.938	0.103	0.963
179384	477510	STRG0A79TGQ.179384	STRG0A79TGQ.477510	0	0	0	0	0.317	0.210	0.943	0	0.967
179384	251548	STRG0A79TGQ.179384	STRG0A79TGQ.251548	0	0	0	0	0.162	0.172	0.963	0	0.972
179384	251553	STRG0A79TGQ.179384	STRG0A79TGQ.251553	0	0	0	0	0.162	0.172	0.963	0	0.972
179384	481615	STRG0A79TGQ.179384	STRG0A79TGQ.481615	0	0	0	0	0.277	0.210	0.943	0.361	0.976
179384	498311	STRG0A79TGQ.179384	STRG0A79TGQ.498311	0	0	0	0	0.190	0.210	0.970	0	0.979
179384	498906	STRG0A79TGQ.179384	STRG0A79TGQ.498906	0	0	0	0	0.325	0	0.970	0	0.979
179384	453963	STRG0A79TGQ.179384	STRG0A79TGQ.453963	0	0	0	0	0.266	0	0.970	0.148	0.980
179384	542305	STRG0A79TGQ.179384	STRG0A79TGQ.542305	0	0	0	0	0.289	0	0.976	0.195	0.985
179384	436112	STRG0A79TGQ.179384	STRG0A79TGQ.436112	0	0	0	0	0.341	0.210	0.976	0	0.986
179384	538438	STRG0A79TGQ.179384	STRG0A79TGQ.538438	0	0	0	0	0.300	0.210	0.976	0	0.986
179384	487747	STRG0A79TGQ.179384	STRG0A79TGQ.487747	0	0	0	0	0.401	0.217	0.976	0	0.988
179384	485175	STRG0A79TGQ.179384	STRG0A79TGQ.485175	0	0	0	0	0.378	0.457	0.976	0.379	0.994
200539	482986	STRG0A79TGQ.200539	STRG0A79TGQ.482986	0	0	0	0	0.166	0	0	0.668	0.711
