#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
146636	546719	STRG0A79TGQ.146636	STRG0A79TGQ.546719	0	0	0	0	0	0	0	0.709	0.709
146636	501365	STRG0A79TGQ.146636	STRG0A79TGQ.501365	0	0	0	0	0	0.715	0	0	0.715
146636	481551	STRG0A79TGQ.146636	STRG0A79TGQ.481551	0	0	0.209	0.195	0.415	0	0	0.483	0.740
146636	500652	STRG0A79TGQ.146636	STRG0A79TGQ.500652	0	0	0	0	0	0.828	0	0	0.828
146636	512371	STRG0A79TGQ.146636	STRG0A79TGQ.512371	0	0	0	0	0	0.827	0	0.745	0.954
168653	484352	STRG0A79TGQ.168653	STRG0A79TGQ.484352	0	0	0	0	0.403	0.449	0	0.192	0.711
168653	451569	STRG0A79TGQ.168653	STRG0A79TGQ.451569	0	0	0	0	0.512	0	0	0.445	0.718
168653	493510	STRG0A79TGQ.168653	STRG0A79TGQ.493510	0	0	0	0	0.318	0.464	0	0.321	0.730
168653	466746	STRG0A79TGQ.168653	STRG0A79TGQ.466746	0	0	0	0	0.701	0	0	0.206	0.752
168653	537102	STRG0A79TGQ.168653	STRG0A79TGQ.537102	0	0	0	0	0.526	0.452	0	0.190	0.771
168653	431286	STRG0A79TGQ.168653	STRG0A79TGQ.431286	0	0	0	0	0.473	0	0	0.638	0.801
168653	455874	STRG0A79TGQ.168653	STRG0A79TGQ.455874	0	0	0	0	0.459	0.322	0	0.508	0.804
168653	534821	STRG0A79TGQ.168653	STRG0A79TGQ.534821	0	0	0	0	0.424	0.631	0	0.180	0.810
179384	488988	STRG0A79TGQ.179384	STRG0A79TGQ.488988	0	0	0	0	0.258	0	0.616	0	0.703
179384	534687	STRG0A79TGQ.179384	STRG0A79TGQ.534687	0	0	0	0	0.358	0	0.620	0	0.746
179384	480781	STRG0A79TGQ.179384	STRG0A79TGQ.480781	0	0	0	0	0.189	0.210	0.617	0.095	0.748
179384	484474	STRG0A79TGQ.179384	STRG0A79TGQ.484474	0	0	0	0	0.303	0	0.580	0.230	0.755
179384	456667	STRG0A79TGQ.179384	STRG0A79TGQ.456667	0	0	0	0	0.265	0	0.608	0.232	0.759
