#node	identifier	node_degree
103257	STRG0A79TGQ.103257	0
106947	STRG0A79TGQ.106947	0
146636	STRG0A79TGQ.146636	5
14805	STRG0A79TGQ.14805	0
150750	STRG0A79TGQ.150750	0
162293	STRG0A79TGQ.162293	0
162623	STRG0A79TGQ.162623	0
168653	STRG0A79TGQ.168653	8
179384	STRG0A79TGQ.179384	51
180594	STRG0A79TGQ.180594	87
181847	STRG0A79TGQ.181847	0
198172	STRG0A79TGQ.198172	0
198829	STRG0A79TGQ.198829	43
210209	STRG0A79TGQ.210209	5
211141	STRG0A79TGQ.211141	46
211157	STRG0A79TGQ.211157	0
215730	STRG0A79TGQ.215730	0
233019	STRG0A79TGQ.233019	71
244382	STRG0A79TGQ.244382	0
247650	STRG0A79TGQ.247650	17
251548	STRG0A79TGQ.251548	55
251553	STRG0A79TGQ.251553	55
254469	STRG0A79TGQ.254469	2
25640	STRG0A79TGQ.25640	0
2738	STRG0A79TGQ.2738	0
287799	STRG0A79TGQ.287799	4
29183	STRG0A79TGQ.29183	1
296087	STRG0A79TGQ.296087	0
300337	STRG0A79TGQ.300337	65
315141	STRG0A79TGQ.315141	63
327298	STRG0A79TGQ.327298	0
336144	STRG0A79TGQ.336144	0
343415	STRG0A79TGQ.343415	50
368159	STRG0A79TGQ.368159	38
370674	STRG0A79TGQ.370674	0
378139	STRG0A79TGQ.378139	0
383602	STRG0A79TGQ.383602	0
431286	STRG0A79TGQ.431286	42
434085	STRG0A79TGQ.434085	0
434519	STRG0A79TGQ.434519	7
434533	STRG0A79TGQ.434533	5
435147	STRG0A79TGQ.435147	0
435300	STRG0A79TGQ.435300	50
436112	STRG0A79TGQ.436112	83
436373	STRG0A79TGQ.436373	1
43768	STRG0A79TGQ.43768	3
438449	STRG0A79TGQ.438449	10
438493	STRG0A79TGQ.438493	1
438534	STRG0A79TGQ.438534	0
440118	STRG0A79TGQ.440118	15
442283	STRG0A79TGQ.442283	63
442574	STRG0A79TGQ.442574	5
442735	STRG0A79TGQ.442735	0
442885	STRG0A79TGQ.442885	1
443242	STRG0A79TGQ.443242	0
443879	STRG0A79TGQ.443879	63
444228	STRG0A79TGQ.444228	0
449456	STRG0A79TGQ.449456	3
450436	STRG0A79TGQ.450436	2
451424	STRG0A79TGQ.451424	0
451569	STRG0A79TGQ.451569	76
451770	STRG0A79TGQ.451770	85
451850	STRG0A79TGQ.451850	103
452061	STRG0A79TGQ.452061	11
452077	STRG0A79TGQ.452077	0
452245	STRG0A79TGQ.452245	88
452328	STRG0A79TGQ.452328	83
454065	STRG0A79TGQ.454065	80
454668	STRG0A79TGQ.454668	1
454988	STRG0A79TGQ.454988	17
455308	STRG0A79TGQ.455308	5
455874	STRG0A79TGQ.455874	104
456667	STRG0A79TGQ.456667	67
456822	STRG0A79TGQ.456822	81
457691	STRG0A79TGQ.457691	0
458477	STRG0A79TGQ.458477	12
459091	STRG0A79TGQ.459091	7
459786	STRG0A79TGQ.459786	52
459801	STRG0A79TGQ.459801	65
459901	STRG0A79TGQ.459901	57
459963	STRG0A79TGQ.459963	10
461134	STRG0A79TGQ.461134	93
461149	STRG0A79TGQ.461149	81
461177	STRG0A79TGQ.461177	59
461263	STRG0A79TGQ.461263	90
463143	STRG0A79TGQ.463143	7
464948	STRG0A79TGQ.464948	93
465716	STRG0A79TGQ.465716	36
465731	STRG0A79TGQ.465731	27
466746	STRG0A79TGQ.466746	13
467115	STRG0A79TGQ.467115	70
467906	STRG0A79TGQ.467906	0
470006	STRG0A79TGQ.470006	0
470327	STRG0A79TGQ.470327	0
470600	STRG0A79TGQ.470600	0
470991	STRG0A79TGQ.470991	0
472455	STRG0A79TGQ.472455	2
