#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Function	GO:0016491	Oxidoreductase activity	64	603	0.45	1.28e-10	STRG0A79TGQ.109017,STRG0A79TGQ.121006,STRG0A79TGQ.13894,STRG0A79TGQ.143891,STRG0A79TGQ.22001,STRG0A79TGQ.257278,STRG0A79TGQ.271278,STRG0A79TGQ.421953,STRG0A79TGQ.438737,STRG0A79TGQ.439128,STRG0A79TGQ.439515,STRG0A79TGQ.440308,STRG0A79TGQ.44320,STRG0A79TGQ.443318,STRG0A79TGQ.443644,STRG0A79TGQ.451721,STRG0A79TGQ.462717,STRG0A79TGQ.463365,STRG0A79TGQ.465452,STRG0A79TGQ.470092,STRG0A79TGQ.471933,STRG0A79TGQ.476059,STRG0A79TGQ.476298,STRG0A79TGQ.477714,STRG0A79TGQ.477764,STRG0A79TGQ.478367,STRG0A79TGQ.479744,STRG0A79TGQ.481789,STRG0A79TGQ.483245,STRG0A79TGQ.484877,STRG0A79TGQ.485414,STRG0A79TGQ.485763,STRG0A79TGQ.485881,STRG0A79TGQ.487221,STRG0A79TGQ.489155,STRG0A79TGQ.490091,STRG0A79TGQ.490537,STRG0A79TGQ.490627,STRG0A79TGQ.491915,STRG0A79TGQ.492162,STRG0A79TGQ.492767,STRG0A79TGQ.493334,STRG0A79TGQ.493945,STRG0A79TGQ.496348,STRG0A79TGQ.497270,STRG0A79TGQ.497563,STRG0A79TGQ.498292,STRG0A79TGQ.508509,STRG0A79TGQ.508856,STRG0A79TGQ.510689,STRG0A79TGQ.511354,STRG0A79TGQ.513628,STRG0A79TGQ.513814,STRG0A79TGQ.521346,STRG0A79TGQ.526822,STRG0A79TGQ.535025,STRG0A79TGQ.539380,STRG0A79TGQ.540101,STRG0A79TGQ.541951,STRG0A79TGQ.543643,STRG0A79TGQ.545899,STRG0A79TGQ.59445,STRG0A79TGQ.63929,STRG0A79TGQ.71299	109017,121006,13894,143891,22001,257278,271278,421953,438737,439128,439515,440308,44320,443318,443644,451721,462717,463365,465452,470092,471933,476059,476298,477714,477764,478367,479744,481789,483245,484877,485414,485763,485881,487221,489155,490091,490537,490627,491915,492162,492767,493334,493945,496348,497270,497563,498292,508509,508856,510689,511354,513628,513814,521346,526822,535025,539380,540101,541951,543643,545899,59445,63929,71299
GO Function	GO:0016614	Oxidoreductase activity, acting on CH-OH group of donors	18	137	0.55	0.0069	STRG0A79TGQ.109017,STRG0A79TGQ.143891,STRG0A79TGQ.257278,STRG0A79TGQ.44320,STRG0A79TGQ.451721,STRG0A79TGQ.470092,STRG0A79TGQ.471933,STRG0A79TGQ.476059,STRG0A79TGQ.477714,STRG0A79TGQ.477764,STRG0A79TGQ.478367,STRG0A79TGQ.485414,STRG0A79TGQ.485763,STRG0A79TGQ.490091,STRG0A79TGQ.513814,STRG0A79TGQ.535025,STRG0A79TGQ.539380,STRG0A79TGQ.71299	109017,143891,257278,44320,451721,470092,471933,476059,477714,477764,478367,485414,485763,490091,513814,535025,539380,71299
STRING clusters	CL:8805	Mixed, incl. TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain, and FMN binding	10	47	0.76	0.0400	STRG0A79TGQ.13894,STRG0A79TGQ.143891,STRG0A79TGQ.22001,STRG0A79TGQ.257278,STRG0A79TGQ.292026,STRG0A79TGQ.438737,STRG0A79TGQ.485881,STRG0A79TGQ.510689,STRG0A79TGQ.539083,STRG0A79TGQ.540101	13894,143891,22001,257278,292026,438737,485881,510689,539083,540101
STRING clusters	CL:8806	Mixed, incl. TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain, and FMN binding	9	40	0.78	0.0400	STRG0A79TGQ.13894,STRG0A79TGQ.143891,STRG0A79TGQ.22001,STRG0A79TGQ.257278,STRG0A79TGQ.292026,STRG0A79TGQ.438737,STRG0A79TGQ.485881,STRG0A79TGQ.510689,STRG0A79TGQ.540101	13894,143891,22001,257278,292026,438737,485881,510689,540101
KEGG	map01100	Metabolic pathways	97	1785	0.16	0.0056	STRG0A79TGQ.109017,STRG0A79TGQ.13894,STRG0A79TGQ.143891,STRG0A79TGQ.173947,STRG0A79TGQ.181779,STRG0A79TGQ.185576,STRG0A79TGQ.22001,STRG0A79TGQ.257278,STRG0A79TGQ.292026,STRG0A79TGQ.318427,STRG0A79TGQ.347244,STRG0A79TGQ.382679,STRG0A79TGQ.438737,STRG0A79TGQ.44320,STRG0A79TGQ.443318,STRG0A79TGQ.443571,STRG0A79TGQ.451721,STRG0A79TGQ.461501,STRG0A79TGQ.462717,STRG0A79TGQ.463365,STRG0A79TGQ.463439,STRG0A79TGQ.465251,STRG0A79TGQ.465452,STRG0A79TGQ.468916,STRG0A79TGQ.470092,STRG0A79TGQ.471933,STRG0A79TGQ.476059,STRG0A79TGQ.476298,STRG0A79TGQ.476733,STRG0A79TGQ.477505,STRG0A79TGQ.477690,STRG0A79TGQ.477698,STRG0A79TGQ.477714,STRG0A79TGQ.477764,STRG0A79TGQ.478019,STRG0A79TGQ.478026,STRG0A79TGQ.478367,STRG0A79TGQ.478876,STRG0A79TGQ.479028,STRG0A79TGQ.479744,STRG0A79TGQ.480850,STRG0A79TGQ.481039,STRG0A79TGQ.481299,STRG0A79TGQ.481789,STRG0A79TGQ.483243,STRG0A79TGQ.483320,STRG0A79TGQ.483415,STRG0A79TGQ.483789,STRG0A79TGQ.484877,STRG0A79TGQ.485414,STRG0A79TGQ.485741,STRG0A79TGQ.485763,STRG0A79TGQ.485881,STRG0A79TGQ.486684,STRG0A79TGQ.487221,STRG0A79TGQ.488363,STRG0A79TGQ.488430,STRG0A79TGQ.488999,STRG0A79TGQ.489498,STRG0A79TGQ.489524,STRG0A79TGQ.490091,STRG0A79TGQ.491915,STRG0A79TGQ.492162,STRG0A79TGQ.492767,STRG0A79TGQ.493352,STRG0A79TGQ.493945,STRG0A79TGQ.494738,STRG0A79TGQ.496059,STRG0A79TGQ.496348,STRG0A79TGQ.496861,STRG0A79TGQ.497103,STRG0A79TGQ.497425,STRG0A79TGQ.497563,STRG0A79TGQ.497810,STRG0A79TGQ.500582,STRG0A79TGQ.500834,STRG0A79TGQ.500850,STRG0A79TGQ.500945,STRG0A79TGQ.502087,STRG0A79TGQ.504739,STRG0A79TGQ.508856,STRG0A79TGQ.510689,STRG0A79TGQ.511418,STRG0A79TGQ.512587,STRG0A79TGQ.512911,STRG0A79TGQ.513536,STRG0A79TGQ.513628,STRG0A79TGQ.513814,STRG0A79TGQ.526822,STRG0A79TGQ.535025,STRG0A79TGQ.537812,STRG0A79TGQ.539380,STRG0A79TGQ.543643,STRG0A79TGQ.545899,STRG0A79TGQ.59445,STRG0A79TGQ.71299,STRG0A79TGQ.90526	109017,13894,143891,173947,181779,185576,22001,257278,292026,318427,347244,382679,438737,44320,443318,443571,451721,461501,462717,463365,463439,465251,465452,468916,470092,471933,476059,476298,476733,477505,477690,477698,477714,477764,478019,478026,478367,478876,479028,479744,480850,481039,481299,481789,483243,483320,483415,483789,484877,485414,485741,485763,485881,486684,487221,488363,488430,488999,489498,489524,490091,491915,492162,492767,493352,493945,494738,496059,496348,496861,497103,497425,497563,497810,500582,500834,500850,500945,502087,504739,508856,510689,511418,512587,512911,513536,513628,513814,526822,535025,537812,539380,543643,545899,59445,71299,90526
KEGG	map00254	Aflatoxin biosynthesis	4	7	1.19	0.0324	STRG0A79TGQ.22001,STRG0A79TGQ.490627,STRG0A79TGQ.498292,STRG0A79TGQ.510689	22001,490627,498292,510689
Reactome	MAP-1430728	Metabolism	73	1205	0.21	0.0172	STRG0A79TGQ.109017,STRG0A79TGQ.121006,STRG0A79TGQ.185576,STRG0A79TGQ.292307,STRG0A79TGQ.318427,STRG0A79TGQ.382679,STRG0A79TGQ.438390,STRG0A79TGQ.440308,STRG0A79TGQ.443571,STRG0A79TGQ.453006,STRG0A79TGQ.459624,STRG0A79TGQ.462717,STRG0A79TGQ.463365,STRG0A79TGQ.463439,STRG0A79TGQ.465251,STRG0A79TGQ.465452,STRG0A79TGQ.468916,STRG0A79TGQ.470092,STRG0A79TGQ.471933,STRG0A79TGQ.476044,STRG0A79TGQ.476059,STRG0A79TGQ.476733,STRG0A79TGQ.477690,STRG0A79TGQ.477698,STRG0A79TGQ.477764,STRG0A79TGQ.478026,STRG0A79TGQ.478367,STRG0A79TGQ.478876,STRG0A79TGQ.479028,STRG0A79TGQ.479744,STRG0A79TGQ.481299,STRG0A79TGQ.481785,STRG0A79TGQ.483410,STRG0A79TGQ.483789,STRG0A79TGQ.484877,STRG0A79TGQ.485763,STRG0A79TGQ.486684,STRG0A79TGQ.488059,STRG0A79TGQ.488363,STRG0A79TGQ.488430,STRG0A79TGQ.488999,STRG0A79TGQ.489524,STRG0A79TGQ.490091,STRG0A79TGQ.490701,STRG0A79TGQ.491915,STRG0A79TGQ.492286,STRG0A79TGQ.492767,STRG0A79TGQ.493945,STRG0A79TGQ.496059,STRG0A79TGQ.497270,STRG0A79TGQ.497425,STRG0A79TGQ.497563,STRG0A79TGQ.500058,STRG0A79TGQ.500582,STRG0A79TGQ.500834,STRG0A79TGQ.500850,STRG0A79TGQ.502087,STRG0A79TGQ.504739,STRG0A79TGQ.505806,STRG0A79TGQ.508509,STRG0A79TGQ.508571,STRG0A79TGQ.511418,STRG0A79TGQ.512587,STRG0A79TGQ.513814,STRG0A79TGQ.526822,STRG0A79TGQ.535025,STRG0A79TGQ.539380,STRG0A79TGQ.540101,STRG0A79TGQ.543643,STRG0A79TGQ.545899,STRG0A79TGQ.59445,STRG0A79TGQ.71299,STRG0A79TGQ.87007	109017,121006,185576,292307,318427,382679,438390,440308,443571,453006,459624,462717,463365,463439,465251,465452,468916,470092,471933,476044,476059,476733,477690,477698,477764,478026,478367,478876,479028,479744,481299,481785,483410,483789,484877,485763,486684,488059,488363,488430,488999,489524,490091,490701,491915,492286,492767,493945,496059,497270,497425,497563,500058,500582,500834,500850,502087,504739,505806,508509,508571,511418,512587,513814,526822,535025,539380,540101,543643,545899,59445,71299,87007
UniProt Keywords	KW-0812	Transmembrane	93	1661	0.18	0.0045	STRG0A79TGQ.109027,STRG0A79TGQ.12239,STRG0A79TGQ.143686,STRG0A79TGQ.178032,STRG0A79TGQ.180336,STRG0A79TGQ.185576,STRG0A79TGQ.221553,STRG0A79TGQ.225757,STRG0A79TGQ.271278,STRG0A79TGQ.292307,STRG0A79TGQ.435886,STRG0A79TGQ.438390,STRG0A79TGQ.439189,STRG0A79TGQ.443644,STRG0A79TGQ.453006,STRG0A79TGQ.459624,STRG0A79TGQ.465251,STRG0A79TGQ.465837,STRG0A79TGQ.470092,STRG0A79TGQ.471532,STRG0A79TGQ.476044,STRG0A79TGQ.476298,STRG0A79TGQ.476362,STRG0A79TGQ.476944,STRG0A79TGQ.477433,STRG0A79TGQ.477690,STRG0A79TGQ.478876,STRG0A79TGQ.480260,STRG0A79TGQ.480837,STRG0A79TGQ.481635,STRG0A79TGQ.481637,STRG0A79TGQ.481785,STRG0A79TGQ.481789,STRG0A79TGQ.483238,STRG0A79TGQ.483309,STRG0A79TGQ.483511,STRG0A79TGQ.483774,STRG0A79TGQ.484245,STRG0A79TGQ.485736,STRG0A79TGQ.487221,STRG0A79TGQ.487330,STRG0A79TGQ.487404,STRG0A79TGQ.487408,STRG0A79TGQ.487656,STRG0A79TGQ.488059,STRG0A79TGQ.488415,STRG0A79TGQ.488430,STRG0A79TGQ.488459,STRG0A79TGQ.488895,STRG0A79TGQ.489152,STRG0A79TGQ.489155,STRG0A79TGQ.489498,STRG0A79TGQ.490701,STRG0A79TGQ.492286,STRG0A79TGQ.492767,STRG0A79TGQ.493352,STRG0A79TGQ.493734,STRG0A79TGQ.494927,STRG0A79TGQ.495313,STRG0A79TGQ.498505,STRG0A79TGQ.498719,STRG0A79TGQ.499855,STRG0A79TGQ.500114,STRG0A79TGQ.500383,STRG0A79TGQ.500834,STRG0A79TGQ.500950,STRG0A79TGQ.500964,STRG0A79TGQ.501937,STRG0A79TGQ.504739,STRG0A79TGQ.505806,STRG0A79TGQ.506410,STRG0A79TGQ.506618,STRG0A79TGQ.507099,STRG0A79TGQ.507690,STRG0A79TGQ.508509,STRG0A79TGQ.508571,STRG0A79TGQ.508697,STRG0A79TGQ.509843,STRG0A79TGQ.511354,STRG0A79TGQ.511418,STRG0A79TGQ.511420,STRG0A79TGQ.513628,STRG0A79TGQ.518256,STRG0A79TGQ.540460,STRG0A79TGQ.541078,STRG0A79TGQ.541951,STRG0A79TGQ.546027,STRG0A79TGQ.548703,STRG0A79TGQ.59445,STRG0A79TGQ.63929,STRG0A79TGQ.73293,STRG0A79TGQ.85931,STRG0A79TGQ.87007	109027,12239,143686,178032,180336,185576,221553,225757,271278,292307,435886,438390,439189,443644,453006,459624,465251,465837,470092,471532,476044,476298,476362,476944,477433,477690,478876,480260,480837,481635,481637,481785,481789,483238,483309,483511,483774,484245,485736,487221,487330,487404,487408,487656,488059,488415,488430,488459,488895,489152,489155,489498,490701,492286,492767,493352,493734,494927,495313,498505,498719,499855,500114,500383,500834,500950,500964,501937,504739,505806,506410,506618,507099,507690,508509,508571,508697,509843,511354,511418,511420,513628,518256,540460,541078,541951,546027,548703,59445,63929,73293,85931,87007
UniProt Keywords	KW-1133	Transmembrane helix	92	1657	0.17	0.0045	STRG0A79TGQ.109027,STRG0A79TGQ.12239,STRG0A79TGQ.143686,STRG0A79TGQ.178032,STRG0A79TGQ.180336,STRG0A79TGQ.185576,STRG0A79TGQ.221553,STRG0A79TGQ.225757,STRG0A79TGQ.292307,STRG0A79TGQ.435886,STRG0A79TGQ.438390,STRG0A79TGQ.439189,STRG0A79TGQ.443644,STRG0A79TGQ.453006,STRG0A79TGQ.459624,STRG0A79TGQ.465251,STRG0A79TGQ.465837,STRG0A79TGQ.470092,STRG0A79TGQ.471532,STRG0A79TGQ.476044,STRG0A79TGQ.476298,STRG0A79TGQ.476362,STRG0A79TGQ.476944,STRG0A79TGQ.477433,STRG0A79TGQ.477690,STRG0A79TGQ.478876,STRG0A79TGQ.480260,STRG0A79TGQ.480837,STRG0A79TGQ.481635,STRG0A79TGQ.481637,STRG0A79TGQ.481785,STRG0A79TGQ.481789,STRG0A79TGQ.483238,STRG0A79TGQ.483309,STRG0A79TGQ.483511,STRG0A79TGQ.483774,STRG0A79TGQ.484245,STRG0A79TGQ.485736,STRG0A79TGQ.487221,STRG0A79TGQ.487330,STRG0A79TGQ.487404,STRG0A79TGQ.487408,STRG0A79TGQ.487656,STRG0A79TGQ.488059,STRG0A79TGQ.488415,STRG0A79TGQ.488430,STRG0A79TGQ.488459,STRG0A79TGQ.488895,STRG0A79TGQ.489152,STRG0A79TGQ.489155,STRG0A79TGQ.489498,STRG0A79TGQ.490701,STRG0A79TGQ.492286,STRG0A79TGQ.492767,STRG0A79TGQ.493352,STRG0A79TGQ.493734,STRG0A79TGQ.494927,STRG0A79TGQ.495313,STRG0A79TGQ.498505,STRG0A79TGQ.498719,STRG0A79TGQ.499855,STRG0A79TGQ.500114,STRG0A79TGQ.500383,STRG0A79TGQ.500834,STRG0A79TGQ.500950,STRG0A79TGQ.500964,STRG0A79TGQ.501937,STRG0A79TGQ.504739,STRG0A79TGQ.505806,STRG0A79TGQ.506410,STRG0A79TGQ.506618,STRG0A79TGQ.507099,STRG0A79TGQ.507690,STRG0A79TGQ.508509,STRG0A79TGQ.508571,STRG0A79TGQ.508697,STRG0A79TGQ.509843,STRG0A79TGQ.511354,STRG0A79TGQ.511418,STRG0A79TGQ.511420,STRG0A79TGQ.513628,STRG0A79TGQ.518256,STRG0A79TGQ.540460,STRG0A79TGQ.541078,STRG0A79TGQ.541951,STRG0A79TGQ.546027,STRG0A79TGQ.548703,STRG0A79TGQ.59445,STRG0A79TGQ.63929,STRG0A79TGQ.73293,STRG0A79TGQ.85931,STRG0A79TGQ.87007	109027,12239,143686,178032,180336,185576,221553,225757,292307,435886,438390,439189,443644,453006,459624,465251,465837,470092,471532,476044,476298,476362,476944,477433,477690,478876,480260,480837,481635,481637,481785,481789,483238,483309,483511,483774,484245,485736,487221,487330,487404,487408,487656,488059,488415,488430,488459,488895,489152,489155,489498,490701,492286,492767,493352,493734,494927,495313,498505,498719,499855,500114,500383,500834,500950,500964,501937,504739,505806,506410,506618,507099,507690,508509,508571,508697,509843,511354,511418,511420,513628,518256,540460,541078,541951,546027,548703,59445,63929,73293,85931,87007
UniProt Keywords	KW-0472	Membrane	94	1735	0.16	0.0048	STRG0A79TGQ.109027,STRG0A79TGQ.12239,STRG0A79TGQ.143686,STRG0A79TGQ.178032,STRG0A79TGQ.180336,STRG0A79TGQ.185576,STRG0A79TGQ.221553,STRG0A79TGQ.225757,STRG0A79TGQ.271278,STRG0A79TGQ.292307,STRG0A79TGQ.435886,STRG0A79TGQ.438390,STRG0A79TGQ.439189,STRG0A79TGQ.443644,STRG0A79TGQ.453006,STRG0A79TGQ.459624,STRG0A79TGQ.465251,STRG0A79TGQ.465837,STRG0A79TGQ.470092,STRG0A79TGQ.471532,STRG0A79TGQ.476044,STRG0A79TGQ.476298,STRG0A79TGQ.476362,STRG0A79TGQ.476944,STRG0A79TGQ.477433,STRG0A79TGQ.477690,STRG0A79TGQ.478876,STRG0A79TGQ.480260,STRG0A79TGQ.480837,STRG0A79TGQ.481635,STRG0A79TGQ.481637,STRG0A79TGQ.481785,STRG0A79TGQ.481789,STRG0A79TGQ.483238,STRG0A79TGQ.483309,STRG0A79TGQ.483511,STRG0A79TGQ.483774,STRG0A79TGQ.484245,STRG0A79TGQ.485736,STRG0A79TGQ.487221,STRG0A79TGQ.487330,STRG0A79TGQ.487404,STRG0A79TGQ.487408,STRG0A79TGQ.487656,STRG0A79TGQ.488059,STRG0A79TGQ.488415,STRG0A79TGQ.488430,STRG0A79TGQ.488459,STRG0A79TGQ.488895,STRG0A79TGQ.489152,STRG0A79TGQ.489155,STRG0A79TGQ.489498,STRG0A79TGQ.490701,STRG0A79TGQ.491915,STRG0A79TGQ.492286,STRG0A79TGQ.492767,STRG0A79TGQ.493352,STRG0A79TGQ.493734,STRG0A79TGQ.494927,STRG0A79TGQ.495313,STRG0A79TGQ.498505,STRG0A79TGQ.498719,STRG0A79TGQ.499855,STRG0A79TGQ.500114,STRG0A79TGQ.500383,STRG0A79TGQ.500834,STRG0A79TGQ.500950,STRG0A79TGQ.500964,STRG0A79TGQ.501937,STRG0A79TGQ.504739,STRG0A79TGQ.505806,STRG0A79TGQ.506410,STRG0A79TGQ.506618,STRG0A79TGQ.507099,STRG0A79TGQ.507690,STRG0A79TGQ.508509,STRG0A79TGQ.508571,STRG0A79TGQ.508697,STRG0A79TGQ.509843,STRG0A79TGQ.511354,STRG0A79TGQ.511418,STRG0A79TGQ.511420,STRG0A79TGQ.513628,STRG0A79TGQ.518256,STRG0A79TGQ.540460,STRG0A79TGQ.541078,STRG0A79TGQ.541951,STRG0A79TGQ.546027,STRG0A79TGQ.548703,STRG0A79TGQ.59445,STRG0A79TGQ.63929,STRG0A79TGQ.73293,STRG0A79TGQ.85931,STRG0A79TGQ.87007	109027,12239,143686,178032,180336,185576,221553,225757,271278,292307,435886,438390,439189,443644,453006,459624,465251,465837,470092,471532,476044,476298,476362,476944,477433,477690,478876,480260,480837,481635,481637,481785,481789,483238,483309,483511,483774,484245,485736,487221,487330,487404,487408,487656,488059,488415,488430,488459,488895,489152,489155,489498,490701,491915,492286,492767,493352,493734,494927,495313,498505,498719,499855,500114,500383,500834,500950,500964,501937,504739,505806,506410,506618,507099,507690,508509,508571,508697,509843,511354,511418,511420,513628,518256,540460,541078,541951,546027,548703,59445,63929,73293,85931,87007
