#node	identifier	node_degree
109017	STRG0A79TGQ.109017	0
109027	STRG0A79TGQ.109027	0
121006	STRG0A79TGQ.121006	0
12239	STRG0A79TGQ.12239	0
13894	STRG0A79TGQ.13894	0
143686	STRG0A79TGQ.143686	0
143891	STRG0A79TGQ.143891	0
173947	STRG0A79TGQ.173947	2
178032	STRG0A79TGQ.178032	1
180336	STRG0A79TGQ.180336	0
181779	STRG0A79TGQ.181779	0
185576	STRG0A79TGQ.185576	0
185580	STRG0A79TGQ.185580	0
194686	STRG0A79TGQ.194686	0
217983	STRG0A79TGQ.217983	0
22001	STRG0A79TGQ.22001	0
221553	STRG0A79TGQ.221553	0
225123	STRG0A79TGQ.225123	0
225757	STRG0A79TGQ.225757	0
246187	STRG0A79TGQ.246187	0
257238	STRG0A79TGQ.257238	0
257278	STRG0A79TGQ.257278	0
264447	STRG0A79TGQ.264447	0
265649	STRG0A79TGQ.265649	0
26637	STRG0A79TGQ.26637	0
271278	STRG0A79TGQ.271278	1
289661	STRG0A79TGQ.289661	0
292026	STRG0A79TGQ.292026	1
292307	STRG0A79TGQ.292307	0
297583	STRG0A79TGQ.297583	0
312065	STRG0A79TGQ.312065	0
314897	STRG0A79TGQ.314897	0
318427	STRG0A79TGQ.318427	0
330980	STRG0A79TGQ.330980	0
341657	STRG0A79TGQ.341657	0
347244	STRG0A79TGQ.347244	1
357768	STRG0A79TGQ.357768	5
358983	STRG0A79TGQ.358983	2
36733	STRG0A79TGQ.36733	0
372139	STRG0A79TGQ.372139	0
382679	STRG0A79TGQ.382679	0
42033	STRG0A79TGQ.42033	0
421953	STRG0A79TGQ.421953	0
426274	STRG0A79TGQ.426274	0
435886	STRG0A79TGQ.435886	0
438207	STRG0A79TGQ.438207	0
438390	STRG0A79TGQ.438390	0
438737	STRG0A79TGQ.438737	0
439128	STRG0A79TGQ.439128	0
439189	STRG0A79TGQ.439189	0
439515	STRG0A79TGQ.439515	0
440308	STRG0A79TGQ.440308	1
442498	STRG0A79TGQ.442498	0
44320	STRG0A79TGQ.44320	4
443318	STRG0A79TGQ.443318	2
443571	STRG0A79TGQ.443571	0
443644	STRG0A79TGQ.443644	0
451721	STRG0A79TGQ.451721	1
453006	STRG0A79TGQ.453006	0
455646	STRG0A79TGQ.455646	0
459624	STRG0A79TGQ.459624	0
461501	STRG0A79TGQ.461501	0
462717	STRG0A79TGQ.462717	0
463365	STRG0A79TGQ.463365	7
463439	STRG0A79TGQ.463439	0
465251	STRG0A79TGQ.465251	0
465452	STRG0A79TGQ.465452	8
465837	STRG0A79TGQ.465837	0
468916	STRG0A79TGQ.468916	0
470092	STRG0A79TGQ.470092	0
471532	STRG0A79TGQ.471532	0
471601	STRG0A79TGQ.471601	0
471933	STRG0A79TGQ.471933	0
473435	STRG0A79TGQ.473435	0
473774	STRG0A79TGQ.473774	1
474399	STRG0A79TGQ.474399	4
474806	STRG0A79TGQ.474806	0
476044	STRG0A79TGQ.476044	0
476059	STRG0A79TGQ.476059	3
476298	STRG0A79TGQ.476298	2
476362	STRG0A79TGQ.476362	0
476677	STRG0A79TGQ.476677	0
476733	STRG0A79TGQ.476733	0
476944	STRG0A79TGQ.476944	0
477357	STRG0A79TGQ.477357	0
477433	STRG0A79TGQ.477433	0
477505	STRG0A79TGQ.477505	0
477690	STRG0A79TGQ.477690	0
477698	STRG0A79TGQ.477698	0
477714	STRG0A79TGQ.477714	5
477764	STRG0A79TGQ.477764	1
478016	STRG0A79TGQ.478016	0
478019	STRG0A79TGQ.478019	0
478026	STRG0A79TGQ.478026	3
478140	STRG0A79TGQ.478140	0
478367	STRG0A79TGQ.478367	2
478696	STRG0A79TGQ.478696	0
478876	STRG0A79TGQ.478876	0
479028	STRG0A79TGQ.479028	0
479089	STRG0A79TGQ.479089	0
479744	STRG0A79TGQ.479744	1
480260	STRG0A79TGQ.480260	0
480268	STRG0A79TGQ.480268	0
480837	STRG0A79TGQ.480837	0
480850	STRG0A79TGQ.480850	0
480936	STRG0A79TGQ.480936	0
481039	STRG0A79TGQ.481039	0
481299	STRG0A79TGQ.481299	0
481635	STRG0A79TGQ.481635	0
481637	STRG0A79TGQ.481637	0
481785	STRG0A79TGQ.481785	0
481789	STRG0A79TGQ.481789	0
483238	STRG0A79TGQ.483238	0
483243	STRG0A79TGQ.483243	0
483245	STRG0A79TGQ.483245	0
483309	STRG0A79TGQ.483309	0
483320	STRG0A79TGQ.483320	0
483410	STRG0A79TGQ.483410	0
483415	STRG0A79TGQ.483415	0
483473	STRG0A79TGQ.483473	0
483511	STRG0A79TGQ.483511	0
483624	STRG0A79TGQ.483624	1
483671	STRG0A79TGQ.483671	0
483774	STRG0A79TGQ.483774	0
483789	STRG0A79TGQ.483789	1
484245	STRG0A79TGQ.484245	0
484724	STRG0A79TGQ.484724	0
484877	STRG0A79TGQ.484877	0
485414	STRG0A79TGQ.485414	4
485508	STRG0A79TGQ.485508	1
485565	STRG0A79TGQ.485565	0
485736	STRG0A79TGQ.485736	0
485741	STRG0A79TGQ.485741	0
485763	STRG0A79TGQ.485763	0
485881	STRG0A79TGQ.485881	4
486383	STRG0A79TGQ.486383	0
486677	STRG0A79TGQ.486677	0
486684	STRG0A79TGQ.486684	0
486874	STRG0A79TGQ.486874	1
487015	STRG0A79TGQ.487015	0
487221	STRG0A79TGQ.487221	0
487330	STRG0A79TGQ.487330	0
487404	STRG0A79TGQ.487404	0
487408	STRG0A79TGQ.487408	0
487656	STRG0A79TGQ.487656	0
487748	STRG0A79TGQ.487748	0
488002	STRG0A79TGQ.488002	0
488059	STRG0A79TGQ.488059	0
488363	STRG0A79TGQ.488363	2
488415	STRG0A79TGQ.488415	0
488430	STRG0A79TGQ.488430	0
488455	STRG0A79TGQ.488455	0
488459	STRG0A79TGQ.488459	0
488485	STRG0A79TGQ.488485	0
488895	STRG0A79TGQ.488895	0
488999	STRG0A79TGQ.488999	1
489152	STRG0A79TGQ.489152	0
489155	STRG0A79TGQ.489155	0
489214	STRG0A79TGQ.489214	0
489498	STRG0A79TGQ.489498	0
489521	STRG0A79TGQ.489521	0
489524	STRG0A79TGQ.489524	0
489652	STRG0A79TGQ.489652	0
490091	STRG0A79TGQ.490091	2
490255	STRG0A79TGQ.490255	0
490537	STRG0A79TGQ.490537	0
490609	STRG0A79TGQ.490609	0
490627	STRG0A79TGQ.490627	2
490701	STRG0A79TGQ.490701	0
491032	STRG0A79TGQ.491032	0
491345	STRG0A79TGQ.491345	0
491915	STRG0A79TGQ.491915	5
492162	STRG0A79TGQ.492162	1
49226	STRG0A79TGQ.49226	0
492286	STRG0A79TGQ.492286	0
492767	STRG0A79TGQ.492767	0
493334	STRG0A79TGQ.493334	2
493352	STRG0A79TGQ.493352	1
493734	STRG0A79TGQ.493734	0
493945	STRG0A79TGQ.493945	3
494466	STRG0A79TGQ.494466	0
494738	STRG0A79TGQ.494738	0
494927	STRG0A79TGQ.494927	0
494935	STRG0A79TGQ.494935	0
495313	STRG0A79TGQ.495313	0
495810	STRG0A79TGQ.495810	0
496017	STRG0A79TGQ.496017	0
496059	STRG0A79TGQ.496059	0
496348	STRG0A79TGQ.496348	0
496861	STRG0A79TGQ.496861	0
497103	STRG0A79TGQ.497103	1
497270	STRG0A79TGQ.497270	0
497425	STRG0A79TGQ.497425	0
497563	STRG0A79TGQ.497563	2
497810	STRG0A79TGQ.497810	0
498292	STRG0A79TGQ.498292	2
498483	STRG0A79TGQ.498483	1
498505	STRG0A79TGQ.498505	0
498719	STRG0A79TGQ.498719	0
499855	STRG0A79TGQ.499855	0
500058	STRG0A79TGQ.500058	2
500114	STRG0A79TGQ.500114	0
500383	STRG0A79TGQ.500383	0
500582	STRG0A79TGQ.500582	2
500649	STRG0A79TGQ.500649	0
500834	STRG0A79TGQ.500834	0
500850	STRG0A79TGQ.500850	0
500945	STRG0A79TGQ.500945	0
500950	STRG0A79TGQ.500950	0
500964	STRG0A79TGQ.500964	0
501494	STRG0A79TGQ.501494	0
501937	STRG0A79TGQ.501937	4
502010	STRG0A79TGQ.502010	0
502087	STRG0A79TGQ.502087	0
504739	STRG0A79TGQ.504739	0
505806	STRG0A79TGQ.505806	0
506410	STRG0A79TGQ.506410	0
506618	STRG0A79TGQ.506618	0
507099	STRG0A79TGQ.507099	0
507122	STRG0A79TGQ.507122	0
507690	STRG0A79TGQ.507690	0
508509	STRG0A79TGQ.508509	0
508571	STRG0A79TGQ.508571	0
508697	STRG0A79TGQ.508697	0
508856	STRG0A79TGQ.508856	1
509014	STRG0A79TGQ.509014	1
509145	STRG0A79TGQ.509145	1
509843	STRG0A79TGQ.509843	0
510689	STRG0A79TGQ.510689	0
511316	STRG0A79TGQ.511316	0
511340	STRG0A79TGQ.511340	0
