Protein_ID,log2FoldChange,padj,Gene_id
479338,-1.37390036018038,1.45647019886989E-21,gene_1018
479521,-1.33793701207685,3.33325396024993E-44,gene_1061
479522,-1.13325219899691,3.26438085387749E-22,gene_1062
53482,-1.07776015318608,1.26364709012021E-28,gene_1085
480064,-1.81086232599218,1.26140332676943E-24,gene_1225
63929,-1.16625528642448,3.27470550930319E-18,gene_1293
480527,-1.57547552999946,3.54819191862794E-34,gene_1372
480781,-1.27629853289227,1.34095216494571E-68,gene_1446
504211,-2.0366451432632,0,gene_1491
538108,-1.06614917191012,1.31173488165602E-22,gene_1505
476343,-1.16760667857616,1.62091938430331E-13,gene_159
481551,-2.49086816023783,1.12486755482385E-139,gene_1682
481615,-2.08819892155873,7.7734650633613E-47,gene_1702
435200,-1.04170124247282,6.16150605211509E-56,gene_1719
168653,-1.57424949681999,1.30877686123001E-65,gene_1823
482143,-1.22130088800201,1.36057543478754E-70,gene_1851
171038,-1.322538442405,1.37606204903205E-36,gene_1867
538438,-1.09090028312183,1.11560945413833E-15,gene_1879
461134,-1.17615151591475,2.11398914856192E-20,gene_1908
461149,-2.1815999251542,2.93982634494307E-196,gene_1916
482424,-1.60865719352348,4.14656478102433E-35,gene_1932
174669,-5.06633146247665,5.04191648347138E-20,gene_1958
450402,-1.67417987526651,0,gene_1960
450436,-1.66391129875088,1.83060943225767E-78,gene_1988
461263,-1.69643119115306,1.18591625428583E-46,gene_2012
482667,-1.48465147147227,5.74824788287341E-07,gene_2016
435300,-2.02537551849586,8.42256977683504E-19,gene_2082
179384,-2.31548258708618,1.79476093981424E-27,gene_2083
482862,-1.22040639238215,6.30803499630648E-18,gene_2087
475891,-1.08653918973446,3.92567537286051E-07,gene_21
471269,-1.19570010881877,4.8122577939394E-17,gene_2111
482986,-1.02167583358779,1.26098507852363E-38,gene_2127
483232,-1.3700108653526,2.05184012159658E-50,gene_2192
185921,-1.27289936572124,2.33530069714312E-116,gene_2200
185631,-1.45686007855274,3.79125906404244E-220,gene_2201
508932,-1.04036621652508,1.51117434762102E-36,gene_2204
186491,-1.06012629054353,2.28525698400888E-16,gene_2218
436453,-1.19897449923301,6.50175883072694E-140,gene_2227
538760,-3.61268303538985,0,gene_2263
471404,-5.90458357160455,3.8872572184633E-284,gene_2278
538818,-1.25030744222858,1.67825040702674E-10,gene_2332
191822,-1.08021114762327,1.28184821699298E-74,gene_2340
471532,-1.45880922363401,1.85115244035319E-16,gene_2440
484052,-1.14504905923313,4.79905473641501E-21,gene_2441
476714,-1.18464648802014,3.41674154593258E-07,gene_248
484239,-1.68831481003121,6.53802494141574E-26,gene_2501
451122,-1.49928014548411,1.57677795366516E-26,gene_2517
436112,-1.01845967339696,1.21070445154172E-15,gene_2522
200539,-1.22801394037233,1.74603708533226E-88,gene_2532
200583,-1.92909666554138,2.46411589284702E-20,gene_2533
484352,-1.44453195663617,1.71426358065932E-82,gene_2536
484377,-1.01279534821873,1.94287989739323E-26,gene_2547
471617,-1.07280477589258,2.42060786519767E-50,gene_2555
484425,-1.16907631163512,1.58686777823029E-60,gene_2563
484474,-2.49754388287968,8.62622290412181E-76,gene_2577
484491,-1.11307539452897,5.2711197590258E-12,gene_2582
509293,-1.0827377716317,2.25588160667296E-09,gene_2605
539074,-1.22722162086951,7.59540026995297E-16,gene_2617
484648,-1.83432823466056,7.01258991642648E-07,gene_2631
484724,-1.09025337548287,1.02689354301639E-124,gene_2652
484765,-2.02295725195291,2.30199199272306E-43,gene_2666
484814,-1.2679700684065,6.40366948219658E-57,gene_2678
539149,-1.04896309885798,4.78883947955006E-11,gene_2710
534687,-2.20869045644096,5.61252282480244E-39,gene_2713
484931,-1.26577253719993,4.99884377820219E-22,gene_2715
210209,-1.24566731267169,3.14822083846175E-12,gene_2739
539178,-1.0972766336976,2.24561724271437E-15,gene_2745
485018,-1.3750753824068,7.96765039183502E-28,gene_2747
485175,-1.8663700007901,5.70627649972686E-91,gene_2790
485289,-1.01939488926536,4.83530913832657E-26,gene_2815
485315,-2.01807998824854,1.13484290765898E-124,gene_2824
485479,-1.13826466652682,5.594814490484E-15,gene_2869
431716,-1.06429846752748,2.45881805748788E-49,gene_2908
471933,-1.22943558379793,7.87739997725911E-05,gene_2954
436451,-1.3890858262015,0.000253863514729,gene_2961
485861,-1.28000179020598,4.16762642083126E-09,gene_2978
545536,-1.6205183410467,7.23838286325983E-49,gene_2999
451770,-1.3504057512107,5.86408542515215E-34,gene_3048
14588,-1.76333401158644,0,gene_307
476915,-1.04378173866967,1.3311126857827E-39,gene_311
504802,-1.54064765936188,1.41049073101499E-30,gene_3131
229375,-1.81133707106929,1.28544424717527E-161,gene_3134
451850,-2.8151056482837,4.65704426144784E-68,gene_3135
486541,-2.20988671804831,1.05544553097026E-91,gene_3164
486543,-1.20273844753874,2.59122881304914E-43,gene_3165
233019,-2.50793940907478,2.58037215689642E-71,gene_3196
486771,-1.35676146048005,2.40970877604429E-74,gene_3225
543643,-1.33765064255035,9.52290421205302E-141,gene_324
486913,-1.48254148360635,1.56254771346313E-30,gene_3244
462812,-1.68829084815967,1.28120426401E-53,gene_3263
509911,-1.10354920764375,3.87670646880025E-23,gene_3285
239725,-1.55762615592948,7.49797980994019E-26,gene_3289
487303,-1.18517551583667,1.93768770133824E-16,gene_3358
487313,-1.0972834364232,4.29943146527494E-34,gene_3362
487323,-2.50125198329875,4.58907811709633E-151,gene_3365
487413,-2.148568289231,1.98721108804716E-42,gene_3396
539738,-1.17642784481463,3.14556474618291E-23,gene_3407
487471,-1.11047028635764,9.68885771558774E-21,gene_3418
452245,-1.76348248931574,5.27427551694206E-68,gene_3451
247650,-2.40251793295946,5.48064827400821E-41,gene_3492
487747,-2.35606797939223,8.55758798526509E-97,gene_3505
251548,-1.76398677242692,1.56753183125397E-14,gene_3566
251553,-2.03082275049135,8.29963846142895E-20,gene_3567
488095,-1.30143227809343,6.12733137081409E-21,gene_3608
488243,-2.71904817212395,0,gene_3663
488415,-1.00634594617907,3.08517880948986E-08,gene_3706
535042,-1.57437749575775,1.11695963816891E-162,gene_3716
488485,-3.59722088718607,1.73236418291891E-95,gene_3736
488500,-1.74212281776448,4.41079928221E-76,gene_3741
18376,-1.99568529499838,1.97287379647961E-13,gene_380
488765,-1.77218982600425,1.05005334798256E-59,gene_3808
263082,-1.52163529565079,1.80895052401409E-11,gene_3842
438142,-1.26668921698619,1.0685433338012E-17,gene_3862
526601,-1.58731915835365,6.00897472393414E-05,gene_3875
264447,-1.12741777727456,7.51002289275599E-71,gene_3876
489236,-1.52051204937669,1.64672843077819E-56,gene_3969
546211,-1.10723744541124,3.79172408968281E-88,gene_3972
438493,-1.14048067942645,7.21333996105169E-07,gene_4006
540265,-1.0197996704474,4.83736935868943E-13,gene_4013
489449,-1.11391115358272,1.17288960063433E-38,gene_4024
489460,-2.14263965564652,5.9905331771493E-93,gene_4029
477349,-1.45991289827314,1.18970197211985E-20,gene_404
438635,-2.87845806052417,3.30073369889704E-291,gene_4071
