Protein_ID,log2FoldChange,padj,Gene_id
49226,1.44231776576559,0.002565366880722,gene_1011
479744,1.67888981133484,4.11674898786012E-98,gene_1124
537812,1.38362307333997,1.03836237542572E-40,gene_1130
59445,1.07675315588055,2.94388623235799E-13,gene_1177
480260,3.30798260092523,1.8629539075454E-33,gene_1290
480268,3.37288312508169,2.15195491083592E-120,gene_1291
63929,1.94715302231839,4.05168397168467E-17,gene_1293
143686,1.00637842424731,9.57442764891443E-15,gene_1298
143891,1.15919122727767,2.15214548325295E-18,gene_1302
521150,1.85611214113916,0,gene_1455
538066,2.81601870173532,0,gene_1456
480837,1.15997157900944,1.6485411850818E-30,gene_1465
480850,1.09336250998989,0.001853226263834,gene_1468
507099,1.92530626073039,6.71490909554874E-59,gene_147
476298,1.7113050579109,1.62795254517516E-39,gene_148
480936,1.19794484171178,8.68741114553512E-28,gene_1493
481039,1.0299667674138,4.26385606074599E-18,gene_1520
521346,3.5211515658405,0,gene_1546
481299,1.53166905259202,9.31145221819421E-10,gene_1597
476362,1.405213559118,8.30052960605171E-29,gene_165
481635,1.13342891649432,9.94123051022198E-92,gene_1710
481637,1.28387317592715,4.20511676107163E-137,gene_1711
507122,1.59716744588817,1.03103937344799E-18,gene_173
508509,6.62133317161374,0,gene_1738
481785,1.51026796058061,2.2310782885921E-66,gene_1755
481789,1.06677003045916,3.89981722047407E-48,gene_1756
508571,1.07459210325935,1.15859504893153E-31,gene_1804
508697,1.17394645201155,7.52927151656174E-54,gene_1942
173947,2.4858270938007,8.34392787458489E-26,gene_1943
178032,1.95979177952004,1.17188856947629E-253,gene_2042
435886,1.08740837916278,2.73103671722407E-76,gene_2061
180336,1.93049250748214,6.2611163822774E-58,gene_2102
508856,1.52631285785491,1.95428117917017E-122,gene_2119
181779,1.12308784856033,0.000126899103772,gene_2139
483238,2.17527802947003,1.41837228515893E-75,gene_2194
185576,1.26826418238996,2.10517481472757E-33,gene_2196
185580,2.215211435587,8.96907632020986E-63,gene_2197
483243,1.51058590626221,2.31362957116032E-36,gene_2198
