Protein_ID,log2FoldChange,padj,Gene_id
49129,-1.35870093163082,5.79077836997531E-67,gene_1007
49226,-2.02006035871222,2.09501337267024E-07,gene_1011
479338,-2.10236010981586,1.42308212233435E-95,gene_1018
479521,-2.5534938324402,9.03606339736057E-181,gene_1061
479522,-1.35278394079464,1.04227895415335E-41,gene_1062
53482,-1.10254009065998,7.05888132437515E-60,gene_1085
479717,-1.03838146294352,1.45982426807629E-19,gene_1116
479736,-1.29619085060997,1.13464329175575E-54,gene_1122
56404,-1.12224962836756,2.39760311507197E-37,gene_1127
470482,-1.3774927344659,2.85403732419174E-116,gene_1128
433850,-1.11704742736294,1.19472331156066E-87,gene_1147
479981,-1.04690977182486,4.6233049146126E-59,gene_1200
61042,-1.35716017606791,9.11618228468178E-78,gene_1224
480064,-2.19284747326243,1.74254118955544E-33,gene_1225
480067,-1.25680344646528,5.63924085504018E-68,gene_1226
449605,-2.4709528330825,0,gene_1236
480189,-1.04347470869881,7.40334533926659E-56,gene_1271
480260,-2.81444150208816,1.68888936375081E-22,gene_1290
480268,-2.70952421870446,2.992916177592E-17,gene_1291
63929,-2.18683790763066,1.10907447674448E-25,gene_1293
480527,-1.62741764798344,4.32664472533936E-78,gene_1372
459091,-2.00683636303137,1.559452374233E-28,gene_144
480781,-1.6461375882073,7.21055568202331E-151,gene_1446
480832,-1.71752564988488,9.71640210116089E-107,gene_1463
480866,-1.48410191546787,1.14860381217364E-89,gene_1474
504211,-4.28075751142549,0,gene_1491
508291,-1.51241166724341,2.27895039547127E-189,gene_1501
460672,-2.28691938339292,3.10345720022337E-164,gene_1504
470796,-1.08298832068594,7.66816478033028E-25,gene_1513
154545,-1.27045689882575,6.5571638608224E-52,gene_1521
459113,-1.44617692365121,4.20106739394712E-72,gene_153
481275,-1.32149031368028,6.49455962589751E-58,gene_1587
476343,-1.50375442946081,1.0437050632841E-47,gene_159
481347,-1.25947822552499,9.70533228189695E-86,gene_1613
158189,-1.36600706509449,3.1312840918311E-06,gene_1633
481428,-1.06114044073439,6.13220877703023E-46,gene_1640
159901,-1.21234302405045,1.35840326926758E-41,gene_1666
508449,-1.05077288374529,8.15162256288695E-123,gene_1674
481551,-3.34346446738087,0,gene_1682
481583,-1.82115544391176,2.73084324364364E-122,gene_1692
481584,-1.48857483722078,6.01229476107656E-110,gene_1693
481615,-2.22429435582355,6.00499427950398E-179,gene_1702
481632,-1.87813064874384,2.75700751884217E-150,gene_1709
481635,-1.64728944368911,3.20304191198073E-161,gene_1710
481637,-1.59064891827433,7.99388221391549E-154,gene_1711
162623,-1.79025491931203,2.03063709000729E-102,gene_1715
435200,-1.63150115054294,5.45201433449645E-187,gene_1719
450185,-1.02623674298664,5.37393260138766E-55,gene_1766
166911,-1.13638082535681,5.26326479820924E-65,gene_1776
481930,-1.307879624962,2.88359430635808E-87,gene_1791
482021,-1.32701162434517,9.53949756209768E-55,gene_1808
168653,-2.20372514457654,1.98106019292091E-224,gene_1823
482143,-1.54125650494442,1.16388391933011E-119,gene_1851
482174,-2.40408167697757,2.88713623432576E-31,gene_1854
482175,-1.24656949592207,2.0655215077071E-150,gene_1855
504338,-1.4341779678764,1.59656702044537E-113,gene_1856
171038,-1.98174043013606,7.16394721797692E-130,gene_1867
538438,-1.06500166447741,2.51523551144059E-31,gene_1879
172419,-1.25049363434834,2.816868684743E-63,gene_1897
461134,-1.91782929804283,8.71594789322909E-77,gene_1908
461149,-2.74071613453926,0,gene_1916
533821,-1.27808620642753,1.79899009322421E-39,gene_193
482424,-2.51777402875082,1.83839847165544E-155,gene_1932
471130,-1.38512623072009,5.29200648301394E-73,gene_1936
174669,-3.97881702368581,4.40004178880803E-90,gene_1958
482508,-1.40091486841866,5.36214798152032E-37,gene_1959
450402,-2.52468317953305,6.70139863419934E-283,gene_1960
508728,-1.62503603839257,4.54600106696666E-126,gene_1972
482543,-1.27141204490575,2.51668716195799E-70,gene_1973
450436,-1.71684549381475,8.71140840946707E-131,gene_1988
482614,-1.04854841903466,1.03521854339547E-71,gene_1999
461263,-1.2918185900095,2.37891561800373E-62,gene_2012
482667,-2.01431279763793,4.61276660447085E-46,gene_2016
522320,-1.23134715966121,2.42309268335544E-93,gene_2035
482727,-1.10688172650389,1.31841999192287E-50,gene_2036
178032,-1.48795410946701,7.23886709697578E-105,gene_2042
476510,-1.43515929301492,5.99943092667751E-05,gene_205
537040,-1.04222605173219,6.81490078717421E-94,gene_207
435300,-1.98611610886095,1.94877144455895E-73,gene_2082
179384,-1.78866186624932,8.35136572220032E-40,gene_2083
482862,-1.40197658527135,1.9442505077479E-41,gene_2087
475891,-2.23952702892045,3.51614329218076E-42,gene_21
180336,-1.34069660868471,4.96004538719873E-22,gene_2102
180594,-1.03514908933168,1.98758201924318E-49,gene_2104
471269,-2.0365311336468,1.41312773430232E-110,gene_2111
482986,-1.33933070972979,3.63582670911634E-84,gene_2127
483025,-1.71303291011974,2.41756524395868E-211,gene_2131
483042,-1.12730129714668,5.23072593149081E-52,gene_2137
182079,-1.48883267413744,2.58775731038855E-80,gene_2157
537049,-1.35074784448463,4.485511629451E-12,gene_218
483232,-2.1357133544447,6.85298801489867E-163,gene_2192
483238,-1.27232026887067,1.33561359173923E-22,gene_2194
475895,-2.23033268990118,1.16977704500076E-274,gene_22
185631,-1.13997284580981,1.00814552323213E-47,gene_2201
508932,-1.68566805339815,6.13229155353995E-88,gene_2204
436453,-1.91017595406619,1.97436442624447E-256,gene_2227
483389,-2.22582880355491,8.4798194656444E-212,gene_2228
522936,-1.17554966876918,2.44872731561253E-83,gene_2229
429619,-1.22191528287373,9.75306659334973E-10,gene_2230
483449,-1.05120824164543,3.43507163916871E-33,gene_2248
436660,-1.85706262321453,1.05316025492738E-07,gene_2251
483482,-1.20787648867334,4.61496228534071E-21,gene_2261
538760,-6.00149058059784,0,gene_2263
471404,-4.85316189439828,3.21091168176492E-199,gene_2278
508996,-1.55154264507951,1.49363834849625E-10,gene_2279
545033,-1.05193484651913,1.04337933703959E-39,gene_2295
483624,-1.84755769381949,1.04532772636848E-122,gene_2299
509014,-1.78913374312671,1.49852913971493E-130,gene_2300
538803,-1.16438366393782,3.15031563338473E-53,gene_2313
476614,-1.72853154808494,2.65272161045097E-140,gene_233
538818,-2.15287408006667,2.41169680012938E-70,gene_2332
191822,-1.27788290695375,2.00549061826291E-90,gene_2340
509078,-1.42014285941268,1.62447603148168E-101,gene_2376
193714,-1.7753949110505,1.24648858814663E-216,gene_2388
193802,-1.05878794589947,2.12658492975758E-52,gene_2390
545106,-1.73278302227586,1.87375481256459E-101,gene_2392
437111,-1.03093109964272,1.85674454388878E-39,gene_2398
483926,-1.48052316713772,7.94482498074537E-54,gene_2410
194686,-2.17549594603731,1.81260137571329E-121,gene_2411
484040,-1.02437052731185,3.14351636491501E-47,gene_2437
471532,-1.19270454179353,2.86328350126316E-05,gene_2440
484052,-1.68116024377057,8.62419534259971E-56,gene_2441
484068,-1.55815225961355,2.66130559774924E-196,gene_2444
484156,-1.10453527492002,2.46946241684465E-96,gene_2473
198211,-1.62968843325628,4.07741717745148E-95,gene_2477
198829,-1.2219104770395,5.34738856944588E-79,gene_2495
484239,-2.33184950096419,3.51295756433254E-146,gene_2501
451122,-1.97226930390736,1.39751741363249E-91,gene_2517
436112,-1.24384075514492,4.1536076353877E-51,gene_2522
484304,-1.22528016801637,7.80896675645699E-94,gene_2528
484308,-1.25021050969902,4.35318470889763E-117,gene_2529
471601,-1.46217446047284,9.62852267359614E-26,gene_2531
200539,-1.65693325507385,7.26744328363793E-137,gene_2532
484352,-1.70729007442341,1.19219204599453E-173,gene_2536
484377,-1.56167415945558,3.90819616781806E-90,gene_2547
201057,-1.08849037093455,8.66386406245284E-48,gene_2549
504607,-1.14988796707048,1.63881311463574E-14,gene_2554
471617,-1.41686255746157,3.87253573894849E-53,gene_2555
484414,-1.18970636752611,6.3088733507439E-97,gene_2561
484425,-1.1733632263503,2.17622677573116E-100,gene_2563
539030,-1.14991182635259,1.39562479412856E-31,gene_2573
