Protein_ID,log2FoldChange,padj,Gene_id
479276,-1.0345114302767,3.76912372789536E-28,gene_1004
479338,-1.74846456666773,6.35278865901674E-81,gene_1018
479447,-1.70931391797276,6.55932376574661E-42,gene_1043
479468,-1.07341411700746,1.1525463234886E-64,gene_1045
479469,-1.2475690792738,4.85361397542418E-79,gene_1046
479630,-1.36462491373322,3.39081695706661E-104,gene_1082
53482,-1.4833702463156,5.39032540841124E-94,gene_1085
479653,-1.13904657898084,5.52027812150127E-40,gene_1090
54394,-1.32529001603667,5.76931520298337E-132,gene_1096
479717,-1.46457579642037,3.55377101389346E-37,gene_1116
479736,-1.72444267415075,3.63074651294243E-128,gene_1122
56404,-1.09061773763797,7.3663023813071E-29,gene_1127
470482,-1.43856666091604,1.27343666099596E-113,gene_1128
479808,-1.32720171217477,7.38168205758727E-84,gene_1143
61042,-2.05240949066557,1.34599316051685E-226,gene_1224
480067,-1.4369840814018,7.13518652942633E-103,gene_1226
449605,-1.57448091565416,5.41797895396071E-138,gene_1236
508083,-1.285450677297,3.13178853932225E-69,gene_1254
480189,-1.65079775340788,2.9518765289155E-163,gene_1271
544331,-2.10904520137515,4.81239037720705E-10,gene_1338
480468,-1.35964278408477,4.02138651004262E-92,gene_1349
480527,-1.16547393621045,1.41067389333885E-33,gene_1372
480565,-1.4438991553075,1.29670020510467E-56,gene_1384
544375,-1.00982587504156,6.50275515937529E-25,gene_1398
480720,-1.00595998344795,7.04887984196354E-62,gene_1424
459091,-2.88728424839189,9.15936336629346E-75,gene_144
480781,-1.77747729316778,1.67464567286392E-158,gene_1446
480825,-1.16292155209297,2.37417374284027E-78,gene_1461
480832,-1.10077665168373,1.41159131706232E-49,gene_1463
480866,-1.7906529842892,9.32821448677111E-153,gene_1474
504211,-2.51465903631326,0,gene_1491
460672,-1.90394605595902,4.82961668795586E-138,gene_1504
481029,-1.31689438153354,1.09031437158548E-94,gene_1518
459113,-1.39287799785775,8.75170036219039E-88,gene_153
449927,-1.01640824382713,6.25130442267879E-59,gene_1555
481208,-1.0855657203142,1.63914449859127E-37,gene_1563
435394,-1.39048626786778,3.37425886037301E-32,gene_1570
156345,-1.20450108150518,1.92432927540353E-22,gene_1571
481237,-1.25945884160808,1.44868989810887E-44,gene_1575
481275,-1.59357340937977,3.01937230700755E-63,gene_1587
476343,-1.47120444847264,6.2767901212582E-51,gene_159
481327,-1.7037344921149,9.29643265759285E-141,gene_1607
476350,-2.17726788418446,1.08253595226887E-223,gene_161
481347,-1.30505154971708,8.59581004954976E-87,gene_1613
481348,-1.06430405287951,8.02314845929274E-22,gene_1614
476354,-2.09378097023636,2.2961475440996E-26,gene_162
481394,-1.15550935863582,3.34295087672041E-45,gene_1629
158189,-1.43406585515631,2.75121522524151E-07,gene_1633
481428,-1.38764530763596,4.82865469777158E-77,gene_1640
481432,-1.67000786649933,2.94863897102037E-143,gene_1642
481437,-1.20186237813806,1.17080634522082E-79,gene_1645
481440,-1.66561013906781,1.36797242182367E-130,gene_1646
159901,-1.18508366445596,1.03141496464893E-40,gene_1666
481551,-2.4080731869137,0,gene_1682
481584,-1.76227020390697,6.79856794011657E-112,gene_1693
481615,-1.95895784598975,1.15077052702933E-127,gene_1702
481632,-1.60424413727197,2.38391154879675E-154,gene_1709
481646,-1.06625199348065,5.39922767490346E-58,gene_1714
162623,-1.97780200000175,2.38286317331652E-154,gene_1715
435200,-1.42349822809736,1.92700774100854E-175,gene_1719
481766,-1.04229068782765,1.7311460048414E-76,gene_1749
481817,-1.34837438697601,1.125592520143E-75,gene_1761
508539,-1.44807723263427,4.28748493051721E-86,gene_1770
481971,-1.50578814154538,8.39095838807044E-76,gene_1800
168169,-1.06059972162647,1.01628806440468E-21,gene_1811
435432,-1.0270599097361,1.70921203816511E-39,gene_1817
168653,-1.75810700343147,3.43933545747225E-162,gene_1823
168860,-1.26281320451738,7.80629604840207E-115,gene_1828
482143,-1.47586708273043,1.60192085424678E-121,gene_1851
482174,-1.53122327425142,1.85436705651916E-20,gene_1854
482175,-1.34692482791243,4.12820117504285E-158,gene_1855
504338,-1.64379059130713,4.14002161383734E-106,gene_1856
538438,-1.5712485285337,3.54561100669687E-66,gene_1879
172205,-1.04410818076782,3.76479225289238E-07,gene_1888
172419,-1.38623422738251,5.51056042147283E-59,gene_1897
482331,-1.22684454722731,1.00597100024216E-40,gene_1905
461134,-1.84792147695534,1.71350557849109E-93,gene_1908
461149,-1.97133935862254,6.32543326942494E-243,gene_1916
482392,-1.10513008903284,9.63154243845627E-45,gene_1925
482424,-2.25433759337745,2.80231690559979E-190,gene_1932
508690,-1.0334433705567,6.07956120116315E-61,gene_1935
471130,-1.05392164382181,1.1313253879568E-65,gene_1936
461177,-1.3964295676323,4.94653925697456E-139,gene_1939
508728,-1.13995523581449,4.05285868506257E-68,gene_1972
482543,-1.85577600613959,4.32175149756664E-167,gene_1973
482549,-1.054442562174,1.56026846993844E-50,gene_1976
482576,-1.08943236670189,4.37697550049982E-44,gene_1985
450436,-1.70575900244705,1.85781286172771E-123,gene_1988
482614,-1.15265031060983,3.01039329081151E-86,gene_1999
482639,-1.09944719656529,5.33099716098338E-27,gene_2005
461263,-1.11816784837751,6.8875499300546E-38,gene_2012
482667,-2.02517830235988,9.30776283141369E-42,gene_2016
522320,-1.14504350953498,5.32945611447414E-94,gene_2035
537040,-1.1772015898387,4.6679211423918E-108,gene_207
179317,-1.71838833947735,3.53347392697398E-09,gene_2079
435300,-1.75197973572991,3.26755061379185E-64,gene_2082
179384,-1.35203310163762,7.97695677969579E-32,gene_2083
482862,-1.3882199208995,6.38561404448506E-51,gene_2087
180594,-2.02639462779127,1.26473490317195E-173,gene_2104
