Protein_ID,log2FoldChange (1),log2FoldChange (2),padj (1),padj (2),Gene_id
479338,-2.10236010981586,-1.37390036018038,1.42308212233435E-95,1.45647019886989E-21,gene_1018
479521,-2.5534938324402,-1.33793701207685,9.03606339736057E-181,3.33325396024993E-44,gene_1061
479522,-1.35278394079464,-1.13325219899691,1.04227895415335E-41,3.26438085387749E-22,gene_1062
53482,-1.10254009065998,-1.07776015318608,7.05888132437515E-60,1.26364709012021E-28,gene_1085
480064,-2.19284747326243,-1.81086232599218,1.74254118955544E-33,1.26140332676943E-24,gene_1225
63929,-2.18683790763066,-1.16625528642448,1.10907447674448E-25,3.27470550930319E-18,gene_1293
480527,-1.62741764798344,-1.57547552999946,4.32664472533936E-78,3.54819191862794E-34,gene_1372
480781,-1.6461375882073,-1.27629853289227,7.21055568202331E-151,1.34095216494571E-68,gene_1446
504211,-4.28075751142549,-2.0366451432632,0,0,gene_1491
476343,-1.50375442946081,-1.16760667857616,1.0437050632841E-47,1.62091938430331E-13,gene_159
481551,-3.34346446738087,-2.49086816023783,0,1.12486755482385E-139,gene_1682
481615,-2.22429435582355,-2.08819892155873,6.00499427950398E-179,7.7734650633613E-47,gene_1702
435200,-1.63150115054294,-1.04170124247282,5.45201433449645E-187,6.16150605211509E-56,gene_1719
168653,-2.20372514457654,-1.57424949681999,1.98106019292091E-224,1.30877686123001E-65,gene_1823
482143,-1.54125650494442,-1.22130088800201,1.16388391933011E-119,1.36057543478754E-70,gene_1851
171038,-1.98174043013606,-1.322538442405,7.16394721797692E-130,1.37606204903205E-36,gene_1867
538438,-1.06500166447741,-1.09090028312183,2.51523551144059E-31,1.11560945413833E-15,gene_1879
461134,-1.91782929804283,-1.17615151591475,8.71594789322909E-77,2.11398914856192E-20,gene_1908
461149,-2.74071613453926,-2.1815999251542,0,2.93982634494307E-196,gene_1916
482424,-2.51777402875082,-1.60865719352348,1.83839847165544E-155,4.14656478102433E-35,gene_1932
174669,-3.97881702368581,-5.06633146247665,4.40004178880803E-90,5.04191648347138E-20,gene_1958
450402,-2.52468317953305,-1.67417987526651,6.70139863419934E-283,0,gene_1960
450436,-1.71684549381475,-1.66391129875088,8.71140840946707E-131,1.83060943225767E-78,gene_1988
461263,-1.2918185900095,-1.69643119115306,2.37891561800373E-62,1.18591625428583E-46,gene_2012
482667,-2.01431279763793,-1.48465147147227,4.61276660447085E-46,5.74824788287341E-07,gene_2016
435300,-1.98611610886095,-2.02537551849586,1.94877144455895E-73,8.42256977683504E-19,gene_2082
179384,-1.78866186624932,-2.31548258708618,8.35136572220032E-40,1.79476093981424E-27,gene_2083
482862,-1.40197658527135,-1.22040639238215,1.9442505077479E-41,6.30803499630648E-18,gene_2087
475891,-2.23952702892045,-1.08653918973446,3.51614329218076E-42,3.92567537286051E-07,gene_21
471269,-2.0365311336468,-1.19570010881877,1.41312773430232E-110,4.8122577939394E-17,gene_2111
482986,-1.33933070972979,-1.02167583358779,3.63582670911634E-84,1.26098507852363E-38,gene_2127
483232,-2.1357133544447,-1.3700108653526,6.85298801489867E-163,2.05184012159658E-50,gene_2192
185631,-1.13997284580981,-1.45686007855274,1.00814552323213E-47,3.79125906404244E-220,gene_2201
508932,-1.68566805339815,-1.04036621652508,6.13229155353995E-88,1.51117434762102E-36,gene_2204
436453,-1.91017595406619,-1.19897449923301,1.97436442624447E-256,6.50175883072694E-140,gene_2227
538760,-6.00149058059784,-3.61268303538985,0,0,gene_2263
471404,-4.85316189439828,-5.90458357160455,3.21091168176492E-199,3.8872572184633E-284,gene_2278
538818,-2.15287408006667,-1.25030744222858,2.41169680012938E-70,1.67825040702674E-10,gene_2332
191822,-1.27788290695375,-1.08021114762327,2.00549061826291E-90,1.28184821699298E-74,gene_2340
471532,-1.19270454179353,-1.45880922363401,2.86328350126316E-05,1.85115244035319E-16,gene_2440
484052,-1.68116024377057,-1.14504905923313,8.62419534259971E-56,4.79905473641501E-21,gene_2441
484239,-2.33184950096419,-1.68831481003121,3.51295756433254E-146,6.53802494141574E-26,gene_2501
451122,-1.97226930390736,-1.49928014548411,1.39751741363249E-91,1.57677795366516E-26,gene_2517
436112,-1.24384075514492,-1.01845967339696,4.1536076353877E-51,1.21070445154172E-15,gene_2522
200539,-1.65693325507385,-1.22801394037233,7.26744328363793E-137,1.74603708533226E-88,gene_2532
484352,-1.70729007442341,-1.44453195663617,1.19219204599453E-173,1.71426358065932E-82,gene_2536
484377,-1.56167415945558,-1.01279534821873,3.90819616781806E-90,1.94287989739323E-26,gene_2547
471617,-1.41686255746157,-1.07280477589258,3.87253573894849E-53,2.42060786519767E-50,gene_2555
484425,-1.1733632263503,-1.16907631163512,2.17622677573116E-100,1.58686777823029E-60,gene_2563
484474,-2.70126414366966,-2.49754388287968,1.4953621268922E-139,8.62622290412181E-76,gene_2577
484491,-1.0517880148569,-1.11307539452897,3.04200537610895E-17,5.2711197590258E-12,gene_2582
509293,-2.21330957127664,-1.0827377716317,8.73492015684399E-118,2.25588160667296E-09,gene_2605
539074,-1.61543027812236,-1.22722162086951,2.64977690010047E-78,7.59540026995297E-16,gene_2617
484724,-1.50028209047551,-1.09025337548287,1.81101644791917E-120,1.02689354301639E-124,gene_2652
484765,-3.29183149626517,-2.02295725195291,5.07169788850126E-210,2.30199199272306E-43,gene_2666
484814,-2.77397180119901,-1.2679700684065,5.24578020448802E-225,6.40366948219658E-57,gene_2678
534687,-2.16520878258556,-2.20869045644096,1.12504993933028E-106,5.61252282480244E-39,gene_2713
484931,-2.30186331711561,-1.26577253719993,2.76199520188701E-173,4.99884377820219E-22,gene_2715
210209,-1.77733796327755,-1.24566731267169,1.41588612840202E-43,3.14822083846175E-12,gene_2739
539178,-2.04459101960869,-1.0972766336976,1.33537817750617E-24,2.24561724271437E-15,gene_2745
485018,-1.70477196607365,-1.3750753824068,1.25228472506282E-76,7.96765039183502E-28,gene_2747
485175,-2.92501982489221,-1.8663700007901,8.42881011646753E-208,5.70627649972686E-91,gene_2790
485289,-1.50632053006836,-1.01939488926536,1.83830864937429E-103,4.83530913832657E-26,gene_2815
485315,-2.59282741901636,-2.01807998824854,0,1.13484290765898E-124,gene_2824
485479,-1.50148226018894,-1.13826466652682,3.46636203502461E-42,5.594814490484E-15,gene_2869
471933,-2.6673276388514,-1.22943558379793,4.45189156073902E-16,7.87739997725911E-05,gene_2954
545536,-2.5481327467975,-1.6205183410467,8.69566470707754E-112,7.23838286325983E-49,gene_2999
451770,-2.37603525041025,-1.3504057512107,1.59949692783685E-247,5.86408542515215E-34,gene_3048
14588,-5.24218490365181,-1.76333401158644,0,0,gene_307
476915,-1.24937438357712,-1.04378173866967,4.85424143599915E-75,1.3311126857827E-39,gene_311
504802,-1.39785881521795,-1.54064765936188,7.99680527731112E-47,1.41049073101499E-30,gene_3131
229375,-3.01966230541357,-1.81133707106929,0,1.28544424717527E-161,gene_3134
451850,-3.0892173862878,-2.8151056482837,4.30470470644826E-224,4.65704426144784E-68,gene_3135
486541,-3.0623709044714,-2.20988671804831,0,1.05544553097026E-91,gene_3164
486543,-1.25192536683199,-1.20273844753874,9.7060175376572E-83,2.59122881304914E-43,gene_3165
233019,-3.23274875558179,-2.50793940907478,1.46896049382233E-249,2.58037215689642E-71,gene_3196
486771,-1.88827218897326,-1.35676146048005,1.1486703130405E-159,2.40970877604429E-74,gene_3225
543643,-2.72626650864143,-1.33765064255035,8.74835374083289E-262,9.52290421205302E-141,gene_324
486913,-1.82889951233729,-1.48254148360635,4.84358507961334E-95,1.56254771346313E-30,gene_3244
462812,-2.54267634110917,-1.68829084815967,5.72813178675236E-167,1.28120426401E-53,gene_3263
509911,-1.26963307703532,-1.10354920764375,8.27071692954634E-19,3.87670646880025E-23,gene_3285
487303,-1.54362433655013,-1.18517551583667,6.50595958280282E-61,1.93768770133824E-16,gene_3358
487313,-1.27518234863238,-1.0972834364232,9.84253893773202E-49,4.29943146527494E-34,gene_3362
