#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
102170	179384	STRG0A79TGQ.102170	STRG0A79TGQ.179384	0	0	0	0	0.262	0.189	0.976	0.229	0.987
102170	180594	STRG0A79TGQ.102170	STRG0A79TGQ.180594	0	0	0	0	0.741	0	0	0.649	0.905
102170	198829	STRG0A79TGQ.102170	STRG0A79TGQ.198829	0	0	0	0	0.754	0	0	0.131	0.777
102170	229375	STRG0A79TGQ.102170	STRG0A79TGQ.229375	0	0	0	0	0.621	0	0	0.251	0.704
102170	233019	STRG0A79TGQ.102170	STRG0A79TGQ.233019	0	0	0	0	0.698	0	0	0.290	0.776
102170	300337	STRG0A79TGQ.102170	STRG0A79TGQ.300337	0	0	0	0	0.743	0	0	0.127	0.766
102170	343415	STRG0A79TGQ.102170	STRG0A79TGQ.343415	0	0	0	0	0.436	0	0	0.581	0.754
102170	461263	STRG0A79TGQ.102170	STRG0A79TGQ.461263	0	0	0	0	0.771	0.230	0.974	0.628	0.998
102170	462812	STRG0A79TGQ.102170	STRG0A79TGQ.462812	0	0	0	0	0.708	0	0	0.367	0.807
102170	463696	STRG0A79TGQ.102170	STRG0A79TGQ.463696	0	0	0	0	0.593	0.322	0.640	0.384	0.931
102170	464948	STRG0A79TGQ.102170	STRG0A79TGQ.464948	0	0	0	0	0.491	0.334	0	0.764	0.913
102170	465716	STRG0A79TGQ.102170	STRG0A79TGQ.465716	0	0	0	0	0.575	0.999	0.979	0.913	0.999
102170	477349	STRG0A79TGQ.102170	STRG0A79TGQ.477349	0.094	0	0	0	0.634	0	0	0.880	0.957
102170	368159	STRG0A79TGQ.102170	STRG0A79TGQ.368159	0	0	0	0	0.575	0	0	0.395	0.732
102170	435300	STRG0A79TGQ.102170	STRG0A79TGQ.435300	0	0	0	0	0.262	0.189	0.841	0.229	0.917
102170	436112	STRG0A79TGQ.102170	STRG0A79TGQ.436112	0	0	0	0	0.723	0.257	0	0	0.785
102170	438006	STRG0A79TGQ.102170	STRG0A79TGQ.438006	0	0	0	0	0.665	0	0.923	0.166	0.977
102170	439100	STRG0A79TGQ.102170	STRG0A79TGQ.439100	0	0	0	0	0	0.830	0.874	0.130	0.980
102170	442283	STRG0A79TGQ.102170	STRG0A79TGQ.442283	0	0	0	0	0.736	0	0	0.661	0.907
102170	443375	STRG0A79TGQ.102170	STRG0A79TGQ.443375	0	0	0	0	0.774	0	0	0.248	0.823
102170	480781	STRG0A79TGQ.102170	STRG0A79TGQ.480781	0	0	0	0	0.741	0.333	0	0.524	0.911
102170	481347	STRG0A79TGQ.102170	STRG0A79TGQ.481347	0	0	0	0	0	0.830	0.864	0	0.976
102170	481551	STRG0A79TGQ.102170	STRG0A79TGQ.481551	0	0	0	0	0.688	0.238	0	0.471	0.863
102170	481584	STRG0A79TGQ.102170	STRG0A79TGQ.481584	0	0	0	0	0.687	0	0	0.252	0.756
102170	444221	STRG0A79TGQ.102170	STRG0A79TGQ.444221	0	0	0	0	0.804	0	0	0	0.804
102170	481615	STRG0A79TGQ.102170	STRG0A79TGQ.481615	0	0	0	0	0.680	0.979	0.979	0.907	0.999
102170	451569	STRG0A79TGQ.102170	STRG0A79TGQ.451569	0	0	0	0	0.602	0.322	0.688	0.441	0.947
102170	451770	STRG0A79TGQ.102170	STRG0A79TGQ.451770	0	0	0	0	0.769	0.440	0	0.578	0.941
102170	482175	STRG0A79TGQ.102170	STRG0A79TGQ.482175	0	0	0	0	0	0.897	0.865	0.621	0.994
102170	482424	STRG0A79TGQ.102170	STRG0A79TGQ.482424	0	0	0	0	0.819	0	0	0.435	0.893
102170	451850	STRG0A79TGQ.102170	STRG0A79TGQ.451850	0	0	0	0	0.664	0.564	0	0.410	0.906
102170	452245	STRG0A79TGQ.102170	STRG0A79TGQ.452245	0	0	0	0	0.603	0	0.608	0.282	0.879
102170	452328	STRG0A79TGQ.102170	STRG0A79TGQ.452328	0	0	0	0	0.681	0	0.978	0.513	0.996
102170	453963	STRG0A79TGQ.102170	STRG0A79TGQ.453963	0	0	0	0	0.726	0	0.957	0	0.988
102170	454065	STRG0A79TGQ.102170	STRG0A79TGQ.454065	0	0	0	0	0.679	0	0	0.133	0.710
102170	454894	STRG0A79TGQ.102170	STRG0A79TGQ.454894	0	0	0	0	0	0.622	0.645	0.237	0.889
102170	455874	STRG0A79TGQ.102170	STRG0A79TGQ.455874	0	0	0	0	0.514	0	0	0.453	0.723
102170	482543	STRG0A79TGQ.102170	STRG0A79TGQ.482543	0	0	0	0	0.594	0	0	0.538	0.804
102170	482667	STRG0A79TGQ.102170	STRG0A79TGQ.482667	0	0	0	0	0.665	0	0	0.190	0.717
102170	456822	STRG0A79TGQ.102170	STRG0A79TGQ.456822	0	0	0	0	0.683	0	0	0.584	0.862
102170	477510	STRG0A79TGQ.102170	STRG0A79TGQ.477510	0	0	0	0	0.589	0	0	0.528	0.798
102170	484052	STRG0A79TGQ.102170	STRG0A79TGQ.484052	0	0	0	0	0.631	0	0	0.299	0.730
102170	484239	STRG0A79TGQ.102170	STRG0A79TGQ.484239	0	0	0	0	0.813	0	0	0.542	0.911
102170	484304	STRG0A79TGQ.102170	STRG0A79TGQ.484304	0	0	0	0	0	0.626	0.654	0.204	0.888
102170	484308	STRG0A79TGQ.102170	STRG0A79TGQ.484308	0	0	0	0	0	0.902	0.892	0	0.989
102170	484575	STRG0A79TGQ.102170	STRG0A79TGQ.484575	0	0	0	0	0.618	0	0.967	0.213	0.989
102170	459801	STRG0A79TGQ.102170	STRG0A79TGQ.459801	0	0	0	0	0.740	0	0	0	0.740
102170	459963	STRG0A79TGQ.102170	STRG0A79TGQ.459963	0	0	0	0	0.887	0	0	0	0.887
102170	461149	STRG0A79TGQ.102170	STRG0A79TGQ.461149	0.066	0	0	0	0.697	0	0	0.355	0.802
102170	484637	STRG0A79TGQ.102170	STRG0A79TGQ.484637	0	0	0	0	0.146	0.623	0.645	0.140	0.889
102170	485175	STRG0A79TGQ.102170	STRG0A79TGQ.485175	0	0	0	0	0.911	0.999	0.804	0.909	0.999
102170	485289	STRG0A79TGQ.102170	STRG0A79TGQ.485289	0	0	0	0	0.433	0.586	0.991	0.863	0.999
102170	478108	STRG0A79TGQ.102170	STRG0A79TGQ.478108	0	0	0	0	0.421	0.563	0	0.421	0.841
102170	478299	STRG0A79TGQ.102170	STRG0A79TGQ.478299	0	0	0	0	0.561	0	0	0.430	0.739
102170	479046	STRG0A79TGQ.102170	STRG0A79TGQ.479046	0	0	0	0	0	0.830	0.864	0.187	0.980
102170	486913	STRG0A79TGQ.102170	STRG0A79TGQ.486913	0.068	0	0	0	0.734	0	0	0.782	0.941
102170	479158	STRG0A79TGQ.102170	STRG0A79TGQ.479158	0	0	0	0	0	0.834	0.881	0.415	0.987
102170	487061	STRG0A79TGQ.102170	STRG0A79TGQ.487061	0	0	0	0	0	0.612	0.645	0.161	0.874
102170	487323	STRG0A79TGQ.102170	STRG0A79TGQ.487323	0	0	0	0	0.729	0	0	0.675	0.908
102170	487471	STRG0A79TGQ.102170	STRG0A79TGQ.487471	0	0	0	0	0.751	0	0	0	0.751
102170	479338	STRG0A79TGQ.102170	STRG0A79TGQ.479338	0	0	0	0	0.663	0	0	0.432	0.800
102170	479521	STRG0A79TGQ.102170	STRG0A79TGQ.479521	0	0	0	0	0.593	0	0	0.299	0.702
102170	487747	STRG0A79TGQ.102170	STRG0A79TGQ.487747	0	0	0	0	0.525	0	0	0.490	0.747
102170	493994	STRG0A79TGQ.102170	STRG0A79TGQ.493994	0	0	0	0	0.474	0.969	0.841	0.930	0.999
