#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0006260	DNA replication	22	104	0.74	2.41e-06	STRG0A79TGQ.266437,STRG0A79TGQ.323714,STRG0A79TGQ.433947,STRG0A79TGQ.434549,STRG0A79TGQ.43768,STRG0A79TGQ.444598,STRG0A79TGQ.455308,STRG0A79TGQ.477622,STRG0A79TGQ.480514,STRG0A79TGQ.482329,STRG0A79TGQ.482731,STRG0A79TGQ.488079,STRG0A79TGQ.489615,STRG0A79TGQ.493564,STRG0A79TGQ.495701,STRG0A79TGQ.498200,STRG0A79TGQ.498687,STRG0A79TGQ.498865,STRG0A79TGQ.507372,STRG0A79TGQ.524057,STRG0A79TGQ.527142,STRG0A79TGQ.72730	266437,323714,433947,434549,43768,444598,455308,477622,480514,482329,482731,488079,489615,493564,495701,498200,498687,498865,507372,524057,527142,72730
GO Process	GO:0006261	DNA-templated DNA replication	20	85	0.79	2.41e-06	STRG0A79TGQ.266437,STRG0A79TGQ.323714,STRG0A79TGQ.433947,STRG0A79TGQ.434549,STRG0A79TGQ.43768,STRG0A79TGQ.444598,STRG0A79TGQ.455308,STRG0A79TGQ.477622,STRG0A79TGQ.480514,STRG0A79TGQ.482329,STRG0A79TGQ.482731,STRG0A79TGQ.488079,STRG0A79TGQ.489615,STRG0A79TGQ.493564,STRG0A79TGQ.495701,STRG0A79TGQ.498200,STRG0A79TGQ.498687,STRG0A79TGQ.498865,STRG0A79TGQ.527142,STRG0A79TGQ.72730	266437,323714,433947,434549,43768,444598,455308,477622,480514,482329,482731,488079,489615,493564,495701,498200,498687,498865,527142,72730
GO Process	GO:0006270	DNA replication initiation	12	33	0.98	4.78e-05	STRG0A79TGQ.323714,STRG0A79TGQ.444598,STRG0A79TGQ.455308,STRG0A79TGQ.480514,STRG0A79TGQ.482329,STRG0A79TGQ.482731,STRG0A79TGQ.488079,STRG0A79TGQ.489615,STRG0A79TGQ.493564,STRG0A79TGQ.498687,STRG0A79TGQ.498865,STRG0A79TGQ.527142	323714,444598,455308,480514,482329,482731,488079,489615,493564,498687,498865,527142
GO Process	GO:0006259	DNA metabolic process	28	300	0.39	0.0189	STRG0A79TGQ.266437,STRG0A79TGQ.323714,STRG0A79TGQ.360080,STRG0A79TGQ.433947,STRG0A79TGQ.434549,STRG0A79TGQ.43768,STRG0A79TGQ.441099,STRG0A79TGQ.444598,STRG0A79TGQ.455308,STRG0A79TGQ.477622,STRG0A79TGQ.480514,STRG0A79TGQ.482329,STRG0A79TGQ.482731,STRG0A79TGQ.488079,STRG0A79TGQ.489615,STRG0A79TGQ.493564,STRG0A79TGQ.495701,STRG0A79TGQ.498200,STRG0A79TGQ.498687,STRG0A79TGQ.498817,STRG0A79TGQ.498865,STRG0A79TGQ.499748,STRG0A79TGQ.506965,STRG0A79TGQ.507372,STRG0A79TGQ.524057,STRG0A79TGQ.527142,STRG0A79TGQ.539094,STRG0A79TGQ.72730	266437,323714,360080,433947,434549,43768,441099,444598,455308,477622,480514,482329,482731,488079,489615,493564,495701,498200,498687,498817,498865,499748,506965,507372,524057,527142,539094,72730
GO Process	GO:0007049	Cell cycle	30	343	0.36	0.0240	STRG0A79TGQ.178136,STRG0A79TGQ.266437,STRG0A79TGQ.360080,STRG0A79TGQ.433947,STRG0A79TGQ.434549,STRG0A79TGQ.43768,STRG0A79TGQ.438812,STRG0A79TGQ.440016,STRG0A79TGQ.441099,STRG0A79TGQ.444598,STRG0A79TGQ.455308,STRG0A79TGQ.465353,STRG0A79TGQ.477442,STRG0A79TGQ.477622,STRG0A79TGQ.478761,STRG0A79TGQ.480514,STRG0A79TGQ.483662,STRG0A79TGQ.488079,STRG0A79TGQ.489615,STRG0A79TGQ.489644,STRG0A79TGQ.492265,STRG0A79TGQ.493564,STRG0A79TGQ.495701,STRG0A79TGQ.498200,STRG0A79TGQ.498687,STRG0A79TGQ.499748,STRG0A79TGQ.507372,STRG0A79TGQ.513201,STRG0A79TGQ.524057,STRG0A79TGQ.72730	178136,266437,360080,433947,434549,43768,438812,440016,441099,444598,455308,465353,477442,477622,478761,480514,483662,488079,489615,489644,492265,493564,495701,498200,498687,499748,507372,513201,524057,72730
GO Process	GO:0022402	Cell cycle process	24	259	0.39	0.0487	STRG0A79TGQ.266437,STRG0A79TGQ.360080,STRG0A79TGQ.434549,STRG0A79TGQ.43768,STRG0A79TGQ.438812,STRG0A79TGQ.440016,STRG0A79TGQ.441099,STRG0A79TGQ.444598,STRG0A79TGQ.455308,STRG0A79TGQ.465353,STRG0A79TGQ.477442,STRG0A79TGQ.477622,STRG0A79TGQ.478761,STRG0A79TGQ.480514,STRG0A79TGQ.488079,STRG0A79TGQ.489615,STRG0A79TGQ.489644,STRG0A79TGQ.493564,STRG0A79TGQ.498687,STRG0A79TGQ.499748,STRG0A79TGQ.507372,STRG0A79TGQ.513201,STRG0A79TGQ.524057,STRG0A79TGQ.72730	266437,360080,434549,43768,438812,440016,441099,444598,455308,465353,477442,477622,478761,480514,488079,489615,489644,493564,498687,499748,507372,513201,524057,72730
GO Process	GO:0035556	Intracellular signal transduction	18	161	0.47	0.0487	STRG0A79TGQ.205854,STRG0A79TGQ.43768,STRG0A79TGQ.444598,STRG0A79TGQ.470327,STRG0A79TGQ.478761,STRG0A79TGQ.481923,STRG0A79TGQ.484451,STRG0A79TGQ.493564,STRG0A79TGQ.495701,STRG0A79TGQ.498200,STRG0A79TGQ.499185,STRG0A79TGQ.500484,STRG0A79TGQ.506158,STRG0A79TGQ.508744,STRG0A79TGQ.511572,STRG0A79TGQ.513559,STRG0A79TGQ.537282,STRG0A79TGQ.59001	205854,43768,444598,470327,478761,481923,484451,493564,495701,498200,499185,500484,506158,508744,511572,513559,537282,59001
GO Component	GO:0031261	DNA replication preinitiation complex	8	18	1.07	0.0020	STRG0A79TGQ.323714,STRG0A79TGQ.455308,STRG0A79TGQ.477622,STRG0A79TGQ.480514,STRG0A79TGQ.488079,STRG0A79TGQ.489615,STRG0A79TGQ.498687,STRG0A79TGQ.527142	323714,455308,477622,480514,488079,489615,498687,527142
GO Component	GO:0043596	Nuclear replication fork	9	27	0.94	0.0020	STRG0A79TGQ.43768,STRG0A79TGQ.455308,STRG0A79TGQ.477622,STRG0A79TGQ.482329,STRG0A79TGQ.482731,STRG0A79TGQ.488079,STRG0A79TGQ.495701,STRG0A79TGQ.498865,STRG0A79TGQ.72730	43768,455308,477622,482329,482731,488079,495701,498865,72730
GO Component	GO:0031298	Replication fork protection complex	6	12	1.12	0.0075	STRG0A79TGQ.43768,STRG0A79TGQ.455308,STRG0A79TGQ.477622,STRG0A79TGQ.482329,STRG0A79TGQ.488079,STRG0A79TGQ.495701	43768,455308,477622,482329,488079,495701
