#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
205854	59001	STRG0A79TGQ.205854	STRG0A79TGQ.59001	0	0	0	0	0	0.605	0.877	0.845	0.992
266437	43768	STRG0A79TGQ.266437	STRG0A79TGQ.43768	0	0	0	0	0	0.623	0	0.433	0.777
266437	455308	STRG0A79TGQ.266437	STRG0A79TGQ.455308	0	0	0	0	0.754	0	0	0.268	0.812
266437	482329	STRG0A79TGQ.266437	STRG0A79TGQ.482329	0	0	0	0	0.747	0	0	0.348	0.828
266437	495701	STRG0A79TGQ.266437	STRG0A79TGQ.495701	0	0	0	0	0.370	0.588	0	0.432	0.840
266437	482731	STRG0A79TGQ.266437	STRG0A79TGQ.482731	0	0	0	0	0.340	0	0.628	0.489	0.864
266437	498200	STRG0A79TGQ.266437	STRG0A79TGQ.498200	0	0	0	0	0.302	0.622	0	0.582	0.880
266437	498865	STRG0A79TGQ.266437	STRG0A79TGQ.498865	0	0	0	0	0.458	0	0.628	0.485	0.887
266437	524057	STRG0A79TGQ.266437	STRG0A79TGQ.524057	0	0	0	0	0.194	0.218	0	0.867	0.909
266437	434549	STRG0A79TGQ.266437	STRG0A79TGQ.434549	0	0	0	0	0.565	0.582	0	0.591	0.919
266437	72730	STRG0A79TGQ.266437	STRG0A79TGQ.72730	0	0	0	0	0.743	0.630	0	0.718	0.971
266437	433947	STRG0A79TGQ.266437	STRG0A79TGQ.433947	0	0	0	0	0.423	0.562	0	0.963	0.990
323714	43768	STRG0A79TGQ.323714	STRG0A79TGQ.43768	0	0	0	0	0	0.335	0	0.589	0.715
323714	482329	STRG0A79TGQ.323714	STRG0A79TGQ.482329	0	0	0	0	0	0	0	0.755	0.755
323714	477622	STRG0A79TGQ.323714	STRG0A79TGQ.477622	0	0	0	0	0	0.351	0.620	0.431	0.847
323714	480514	STRG0A79TGQ.323714	STRG0A79TGQ.480514	0	0	0	0	0	0.334	0.671	0.431	0.864
323714	488079	STRG0A79TGQ.323714	STRG0A79TGQ.488079	0	0	0	0	0	0.639	0.886	0.431	0.975
323714	455308	STRG0A79TGQ.323714	STRG0A79TGQ.455308	0	0	0	0	0	0.634	0.886	0.528	0.979
323714	498687	STRG0A79TGQ.323714	STRG0A79TGQ.498687	0	0	0	0	0	0.333	0.956	0.826	0.994
378139	486653	STRG0A79TGQ.378139	STRG0A79TGQ.486653	0	0	0	0	0.179	0.564	0.644	0.662	0.951
433947	482329	STRG0A79TGQ.433947	STRG0A79TGQ.482329	0	0	0	0	0.427	0	0	0.531	0.720
433947	434549	STRG0A79TGQ.433947	STRG0A79TGQ.434549	0	0	0	0	0.189	0.394	0	0.525	0.746
433947	455308	STRG0A79TGQ.433947	STRG0A79TGQ.455308	0	0	0	0	0.566	0	0	0.536	0.790
433947	43768	STRG0A79TGQ.433947	STRG0A79TGQ.43768	0	0	0	0	0	0.608	0	0.567	0.823
433947	480514	STRG0A79TGQ.433947	STRG0A79TGQ.480514	0	0	0	0	0.477	0.521	0	0.428	0.844
433947	482731	STRG0A79TGQ.433947	STRG0A79TGQ.482731	0	0	0	0	0.345	0.217	0.556	0.577	0.891
433947	498200	STRG0A79TGQ.433947	STRG0A79TGQ.498200	0	0	0	0	0.300	0.594	0	0.679	0.901
433947	488079	STRG0A79TGQ.433947	STRG0A79TGQ.488079	0	0	0	0	0.806	0.583	0	0.131	0.924
433947	498865	STRG0A79TGQ.433947	STRG0A79TGQ.498865	0	0	0	0	0.583	0	0.579	0.607	0.925
433947	495701	STRG0A79TGQ.433947	STRG0A79TGQ.495701	0	0	0	0	0.377	0.589	0	0.832	0.953
433947	72730	STRG0A79TGQ.433947	STRG0A79TGQ.72730	0	0	0	0	0.620	0.628	0	0.716	0.956
433947	507372	STRG0A79TGQ.433947	STRG0A79TGQ.507372	0	0	0	0	0.136	0.557	0.921	0.954	0.998
433947	524057	STRG0A79TGQ.433947	STRG0A79TGQ.524057	0	0	0	0	0.323	0.944	0.584	0.980	0.999
434549	43768	STRG0A79TGQ.434549	STRG0A79TGQ.43768	0	0	0	0	0	0.502	0	0.433	0.706
434549	455308	STRG0A79TGQ.434549	STRG0A79TGQ.455308	0	0	0	0	0.325	0	0	0.596	0.716
434549	506965	STRG0A79TGQ.434549	STRG0A79TGQ.506965	0	0	0	0	0	0	0.498	0.481	0.728
434549	539094	STRG0A79TGQ.434549	STRG0A79TGQ.539094	0	0	0	0	0	0	0.498	0.481	0.728
434549	488079	STRG0A79TGQ.434549	STRG0A79TGQ.488079	0	0	0	0	0.347	0	0	0.623	0.743
434549	495701	STRG0A79TGQ.434549	STRG0A79TGQ.495701	0	0	0	0	0.257	0.246	0	0.647	0.785
434549	441099	STRG0A79TGQ.434549	STRG0A79TGQ.441099	0	0	0	0	0	0	0.526	0.729	0.866
434549	482731	STRG0A79TGQ.434549	STRG0A79TGQ.482731	0	0	0	0	0.124	0	0.861	0.541	0.939
434549	482329	STRG0A79TGQ.434549	STRG0A79TGQ.482329	0	0	0	0	0.353	0	0	0.913	0.941
434549	476410	STRG0A79TGQ.434549	STRG0A79TGQ.476410	0	0	0	0	0	0.283	0.600	0.867	0.959
434549	498865	STRG0A79TGQ.434549	STRG0A79TGQ.498865	0	0	0	0	0.351	0	0.861	0.651	0.966
434549	72730	STRG0A79TGQ.434549	STRG0A79TGQ.72730	0	0	0	0	0.644	0.956	0	0.860	0.998
43768	524057	STRG0A79TGQ.43768	STRG0A79TGQ.524057	0	0	0	0	0	0.522	0	0.431	0.716
43768	498687	STRG0A79TGQ.43768	STRG0A79TGQ.498687	0	0	0	0	0	0	0.678	0.208	0.734
43768	482731	STRG0A79TGQ.43768	STRG0A79TGQ.482731	0	0	0	0	0.554	0.298	0	0.255	0.746
43768	477622	STRG0A79TGQ.43768	STRG0A79TGQ.477622	0	0	0	0	0.123	0.224	0.612	0.233	0.770
43768	480514	STRG0A79TGQ.43768	STRG0A79TGQ.480514	0	0	0	0	0	0.335	0.647	0.254	0.810
43768	489615	STRG0A79TGQ.43768	STRG0A79TGQ.489615	0	0	0	0	0	0.351	0.647	0.252	0.814
43768	444598	STRG0A79TGQ.43768	STRG0A79TGQ.444598	0	0	0	0	0	0.505	0.595	0.278	0.843
43768	493564	STRG0A79TGQ.43768	STRG0A79TGQ.493564	0	0	0	0	0	0.505	0.595	0.278	0.843
43768	488079	STRG0A79TGQ.43768	STRG0A79TGQ.488079	0	0	0	0	0	0.611	0.792	0.191	0.929
43768	482329	STRG0A79TGQ.43768	STRG0A79TGQ.482329	0	0	0	0	0	0.218	0.794	0.660	0.940
43768	72730	STRG0A79TGQ.43768	STRG0A79TGQ.72730	0	0	0	0	0.415	0.648	0.681	0.802	0.985
43768	455308	STRG0A79TGQ.43768	STRG0A79TGQ.455308	0	0	0	0	0.452	0.875	0.792	0.368	0.990
43768	495701	STRG0A79TGQ.43768	STRG0A79TGQ.495701	0	0	0	0	0	0.907	0.799	0.980	0.999
43768	498200	STRG0A79TGQ.43768	STRG0A79TGQ.498200	0	0	0	0	0	0.898	0.797	0.980	0.999
438812	507224	STRG0A79TGQ.438812	STRG0A79TGQ.507224	0	0	0	0	0.122	0.370	0.499	0.187	0.745
438812	492265	STRG0A79TGQ.438812	STRG0A79TGQ.492265	0	0	0	0.278	0	0.329	0.473	0.357	0.753
438812	501816	STRG0A79TGQ.438812	STRG0A79TGQ.501816	0	0	0	0	0	0.141	0.700	0.197	0.775
438812	501747	STRG0A79TGQ.438812	STRG0A79TGQ.501747	0	0	0	0	0.090	0.526	0.467	0.268	0.809
438812	489760	STRG0A79TGQ.438812	STRG0A79TGQ.489760	0	0	0	0	0	0.522	0.779	0.269	0.916
438812	478781	STRG0A79TGQ.438812	STRG0A79TGQ.478781	0	0	0	0	0.094	0.722	0.776	0.498	0.968
441099	499748	STRG0A79TGQ.441099	STRG0A79TGQ.499748	0	0	0	0	0	0	0.823	0.231	0.858
444598	482731	STRG0A79TGQ.444598	STRG0A79TGQ.482731	0	0	0	0	0	0	0.759	0.257	0.813
444598	498865	STRG0A79TGQ.444598	STRG0A79TGQ.498865	0	0	0	0	0.124	0	0.761	0.381	0.859
444598	489615	STRG0A79TGQ.444598	STRG0A79TGQ.489615	0	0	0	0	0.183	0.397	0.761	0.408	0.921
444598	482329	STRG0A79TGQ.444598	STRG0A79TGQ.482329	0	0	0	0	0.123	0.666	0.761	0.535	0.963
444598	488079	STRG0A79TGQ.444598	STRG0A79TGQ.488079	0	0	0	0	0.177	0.713	0.848	0.572	0.983
444598	455308	STRG0A79TGQ.444598	STRG0A79TGQ.455308	0	0	0	0	0.101	0.747	0.938	0.582	0.993
455308	527142	STRG0A79TGQ.455308	STRG0A79TGQ.527142	0	0	0	0	0	0	0.828	0	0.828
