#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0043043	Peptide biosynthetic process	61	260	0.56	8.51e-13	STRG0A79TGQ.328374,STRG0A79TGQ.436647,STRG0A79TGQ.439100,STRG0A79TGQ.454894,STRG0A79TGQ.458404,STRG0A79TGQ.466553,STRG0A79TGQ.470482,STRG0A79TGQ.477302,STRG0A79TGQ.477710,STRG0A79TGQ.479023,STRG0A79TGQ.479028,STRG0A79TGQ.479046,STRG0A79TGQ.479158,STRG0A79TGQ.481347,STRG0A79TGQ.481428,STRG0A79TGQ.482175,STRG0A79TGQ.482614,STRG0A79TGQ.484156,STRG0A79TGQ.484304,STRG0A79TGQ.484308,STRG0A79TGQ.484414,STRG0A79TGQ.484637,STRG0A79TGQ.484825,STRG0A79TGQ.484989,STRG0A79TGQ.485202,STRG0A79TGQ.487061,STRG0A79TGQ.488132,STRG0A79TGQ.488142,STRG0A79TGQ.488638,STRG0A79TGQ.488884,STRG0A79TGQ.489899,STRG0A79TGQ.490650,STRG0A79TGQ.491719,STRG0A79TGQ.491833,STRG0A79TGQ.492114,STRG0A79TGQ.493134,STRG0A79TGQ.493141,STRG0A79TGQ.493376,STRG0A79TGQ.493620,STRG0A79TGQ.493731,STRG0A79TGQ.494057,STRG0A79TGQ.494283,STRG0A79TGQ.494373,STRG0A79TGQ.495604,STRG0A79TGQ.496166,STRG0A79TGQ.496772,STRG0A79TGQ.496831,STRG0A79TGQ.497654,STRG0A79TGQ.498880,STRG0A79TGQ.499368,STRG0A79TGQ.499930,STRG0A79TGQ.501257,STRG0A79TGQ.501420,STRG0A79TGQ.501697,STRG0A79TGQ.505195,STRG0A79TGQ.507391,STRG0A79TGQ.512941,STRG0A79TGQ.522936,STRG0A79TGQ.537040,STRG0A79TGQ.543851,STRG0A79TGQ.56404	328374,436647,439100,454894,458404,466553,470482,477302,477710,479023,479028,479046,479158,481347,481428,482175,482614,484156,484304,484308,484414,484637,484825,484989,485202,487061,488132,488142,488638,488884,489899,490650,491719,491833,492114,493134,493141,493376,493620,493731,494057,494283,494373,495604,496166,496772,496831,497654,498880,499368,499930,501257,501420,501697,505195,507391,512941,522936,537040,543851,56404
GO Process	GO:0006412	Translation	59	254	0.56	2.03e-12	STRG0A79TGQ.328374,STRG0A79TGQ.436647,STRG0A79TGQ.439100,STRG0A79TGQ.454894,STRG0A79TGQ.458404,STRG0A79TGQ.466553,STRG0A79TGQ.470482,STRG0A79TGQ.477302,STRG0A79TGQ.477710,STRG0A79TGQ.479023,STRG0A79TGQ.479046,STRG0A79TGQ.479158,STRG0A79TGQ.481347,STRG0A79TGQ.482175,STRG0A79TGQ.482614,STRG0A79TGQ.484156,STRG0A79TGQ.484304,STRG0A79TGQ.484308,STRG0A79TGQ.484414,STRG0A79TGQ.484637,STRG0A79TGQ.484825,STRG0A79TGQ.484989,STRG0A79TGQ.485202,STRG0A79TGQ.487061,STRG0A79TGQ.488132,STRG0A79TGQ.488142,STRG0A79TGQ.488638,STRG0A79TGQ.488884,STRG0A79TGQ.489899,STRG0A79TGQ.490650,STRG0A79TGQ.491719,STRG0A79TGQ.491833,STRG0A79TGQ.492114,STRG0A79TGQ.493134,STRG0A79TGQ.493141,STRG0A79TGQ.493376,STRG0A79TGQ.493620,STRG0A79TGQ.493731,STRG0A79TGQ.494057,STRG0A79TGQ.494283,STRG0A79TGQ.494373,STRG0A79TGQ.495604,STRG0A79TGQ.496166,STRG0A79TGQ.496772,STRG0A79TGQ.496831,STRG0A79TGQ.497654,STRG0A79TGQ.498880,STRG0A79TGQ.499368,STRG0A79TGQ.499930,STRG0A79TGQ.501257,STRG0A79TGQ.501420,STRG0A79TGQ.501697,STRG0A79TGQ.505195,STRG0A79TGQ.507391,STRG0A79TGQ.512941,STRG0A79TGQ.522936,STRG0A79TGQ.537040,STRG0A79TGQ.543851,STRG0A79TGQ.56404	328374,436647,439100,454894,458404,466553,470482,477302,477710,479023,479046,479158,481347,482175,482614,484156,484304,484308,484414,484637,484825,484989,485202,487061,488132,488142,488638,488884,489899,490650,491719,491833,492114,493134,493141,493376,493620,493731,494057,494283,494373,495604,496166,496772,496831,497654,498880,499368,499930,501257,501420,501697,505195,507391,512941,522936,537040,543851,56404
GO Process	GO:0006518	Peptide metabolic process	63	295	0.52	4.19e-12	STRG0A79TGQ.252234,STRG0A79TGQ.328374,STRG0A79TGQ.436647,STRG0A79TGQ.439100,STRG0A79TGQ.454894,STRG0A79TGQ.458404,STRG0A79TGQ.466553,STRG0A79TGQ.470482,STRG0A79TGQ.477302,STRG0A79TGQ.477710,STRG0A79TGQ.479023,STRG0A79TGQ.479028,STRG0A79TGQ.479046,STRG0A79TGQ.479158,STRG0A79TGQ.481347,STRG0A79TGQ.481428,STRG0A79TGQ.482175,STRG0A79TGQ.482614,STRG0A79TGQ.484156,STRG0A79TGQ.484304,STRG0A79TGQ.484308,STRG0A79TGQ.484414,STRG0A79TGQ.484637,STRG0A79TGQ.484825,STRG0A79TGQ.484989,STRG0A79TGQ.485202,STRG0A79TGQ.487061,STRG0A79TGQ.488132,STRG0A79TGQ.488142,STRG0A79TGQ.488638,STRG0A79TGQ.488884,STRG0A79TGQ.489899,STRG0A79TGQ.490650,STRG0A79TGQ.491719,STRG0A79TGQ.491833,STRG0A79TGQ.492114,STRG0A79TGQ.493134,STRG0A79TGQ.493141,STRG0A79TGQ.493376,STRG0A79TGQ.493620,STRG0A79TGQ.493731,STRG0A79TGQ.494057,STRG0A79TGQ.494283,STRG0A79TGQ.494373,STRG0A79TGQ.495604,STRG0A79TGQ.496166,STRG0A79TGQ.496772,STRG0A79TGQ.496831,STRG0A79TGQ.497654,STRG0A79TGQ.498880,STRG0A79TGQ.499368,STRG0A79TGQ.499930,STRG0A79TGQ.501257,STRG0A79TGQ.501420,STRG0A79TGQ.501697,STRG0A79TGQ.505195,STRG0A79TGQ.507391,STRG0A79TGQ.512587,STRG0A79TGQ.512941,STRG0A79TGQ.522936,STRG0A79TGQ.537040,STRG0A79TGQ.543851,STRG0A79TGQ.56404	252234,328374,436647,439100,454894,458404,466553,470482,477302,477710,479023,479028,479046,479158,481347,481428,482175,482614,484156,484304,484308,484414,484637,484825,484989,485202,487061,488132,488142,488638,488884,489899,490650,491719,491833,492114,493134,493141,493376,493620,493731,494057,494283,494373,495604,496166,496772,496831,497654,498880,499368,499930,501257,501420,501697,505195,507391,512587,512941,522936,537040,543851,56404
GO Process	GO:0043604	Amide biosynthetic process	62	287	0.53	4.19e-12	STRG0A79TGQ.328374,STRG0A79TGQ.436647,STRG0A79TGQ.439100,STRG0A79TGQ.442696,STRG0A79TGQ.454894,STRG0A79TGQ.458404,STRG0A79TGQ.466553,STRG0A79TGQ.470482,STRG0A79TGQ.477302,STRG0A79TGQ.477710,STRG0A79TGQ.479023,STRG0A79TGQ.479028,STRG0A79TGQ.479046,STRG0A79TGQ.479158,STRG0A79TGQ.481347,STRG0A79TGQ.481428,STRG0A79TGQ.482175,STRG0A79TGQ.482614,STRG0A79TGQ.484156,STRG0A79TGQ.484304,STRG0A79TGQ.484308,STRG0A79TGQ.484414,STRG0A79TGQ.484637,STRG0A79TGQ.484825,STRG0A79TGQ.484989,STRG0A79TGQ.485202,STRG0A79TGQ.487061,STRG0A79TGQ.488132,STRG0A79TGQ.488142,STRG0A79TGQ.488638,STRG0A79TGQ.488884,STRG0A79TGQ.489899,STRG0A79TGQ.490650,STRG0A79TGQ.491719,STRG0A79TGQ.491833,STRG0A79TGQ.492114,STRG0A79TGQ.493134,STRG0A79TGQ.493141,STRG0A79TGQ.493376,STRG0A79TGQ.493620,STRG0A79TGQ.493731,STRG0A79TGQ.494057,STRG0A79TGQ.494283,STRG0A79TGQ.494373,STRG0A79TGQ.495604,STRG0A79TGQ.496166,STRG0A79TGQ.496772,STRG0A79TGQ.496831,STRG0A79TGQ.497654,STRG0A79TGQ.498880,STRG0A79TGQ.499368,STRG0A79TGQ.499930,STRG0A79TGQ.501257,STRG0A79TGQ.501420,STRG0A79TGQ.501697,STRG0A79TGQ.505195,STRG0A79TGQ.507391,STRG0A79TGQ.512941,STRG0A79TGQ.522936,STRG0A79TGQ.537040,STRG0A79TGQ.543851,STRG0A79TGQ.56404	328374,436647,439100,442696,454894,458404,466553,470482,477302,477710,479023,479028,479046,479158,481347,481428,482175,482614,484156,484304,484308,484414,484637,484825,484989,485202,487061,488132,488142,488638,488884,489899,490650,491719,491833,492114,493134,493141,493376,493620,493731,494057,494283,494373,495604,496166,496772,496831,497654,498880,499368,499930,501257,501420,501697,505195,507391,512941,522936,537040,543851,56404
GO Process	GO:0042254	Ribosome biogenesis	58	275	0.52	5.54e-11	STRG0A79TGQ.102170,STRG0A79TGQ.18009,STRG0A79TGQ.180594,STRG0A79TGQ.300337,STRG0A79TGQ.365368,STRG0A79TGQ.365509,STRG0A79TGQ.436647,STRG0A79TGQ.438006,STRG0A79TGQ.444221,STRG0A79TGQ.448844,STRG0A79TGQ.451569,STRG0A79TGQ.452328,STRG0A79TGQ.454065,STRG0A79TGQ.456822,STRG0A79TGQ.460672,STRG0A79TGQ.463696,STRG0A79TGQ.464948,STRG0A79TGQ.465716,STRG0A79TGQ.470482,STRG0A79TGQ.476873,STRG0A79TGQ.477302,STRG0A79TGQ.478108,STRG0A79TGQ.479046,STRG0A79TGQ.479158,STRG0A79TGQ.479717,STRG0A79TGQ.481584,STRG0A79TGQ.482021,STRG0A79TGQ.482175,STRG0A79TGQ.482543,STRG0A79TGQ.484308,STRG0A79TGQ.484476,STRG0A79TGQ.484575,STRG0A79TGQ.488075,STRG0A79TGQ.488175,STRG0A79TGQ.488682,STRG0A79TGQ.491833,STRG0A79TGQ.492164,STRG0A79TGQ.493115,STRG0A79TGQ.493376,STRG0A79TGQ.493651,STRG0A79TGQ.494568,STRG0A79TGQ.495604,STRG0A79TGQ.496166,STRG0A79TGQ.497654,STRG0A79TGQ.498880,STRG0A79TGQ.501082,STRG0A79TGQ.511637,STRG0A79TGQ.512912,STRG0A79TGQ.518328,STRG0A79TGQ.534078,STRG0A79TGQ.537040,STRG0A79TGQ.537102,STRG0A79TGQ.537569,STRG0A79TGQ.539030,STRG0A79TGQ.540774,STRG0A79TGQ.543851,STRG0A79TGQ.546838,STRG0A79TGQ.547286	102170,18009,180594,300337,365368,365509,436647,438006,444221,448844,451569,452328,454065,456822,460672,463696,464948,465716,470482,476873,477302,478108,479046,479158,479717,481584,482021,482175,482543,484308,484476,484575,488075,488175,488682,491833,492164,493115,493376,493651,494568,495604,496166,497654,498880,501082,511637,512912,518328,534078,537040,537102,537569,539030,540774,543851,546838,547286
GO Process	GO:0043603	Cellular amide metabolic process	67	357	0.46	6.09e-11	STRG0A79TGQ.252234,STRG0A79TGQ.328374,STRG0A79TGQ.436647,STRG0A79TGQ.439100,STRG0A79TGQ.442696,STRG0A79TGQ.454894,STRG0A79TGQ.458404,STRG0A79TGQ.466553,STRG0A79TGQ.469905,STRG0A79TGQ.470482,STRG0A79TGQ.477302,STRG0A79TGQ.477710,STRG0A79TGQ.479023,STRG0A79TGQ.479028,STRG0A79TGQ.479046,STRG0A79TGQ.479158,STRG0A79TGQ.481347,STRG0A79TGQ.481428,STRG0A79TGQ.482175,STRG0A79TGQ.482614,STRG0A79TGQ.484156,STRG0A79TGQ.484304,STRG0A79TGQ.484308,STRG0A79TGQ.484414,STRG0A79TGQ.484637,STRG0A79TGQ.484825,STRG0A79TGQ.484989,STRG0A79TGQ.485202,STRG0A79TGQ.486571,STRG0A79TGQ.487061,STRG0A79TGQ.488132,STRG0A79TGQ.488142,STRG0A79TGQ.488439,STRG0A79TGQ.488638,STRG0A79TGQ.488884,STRG0A79TGQ.489899,STRG0A79TGQ.490650,STRG0A79TGQ.491719,STRG0A79TGQ.491833,STRG0A79TGQ.492114,STRG0A79TGQ.493134,STRG0A79TGQ.493141,STRG0A79TGQ.493376,STRG0A79TGQ.493620,STRG0A79TGQ.493731,STRG0A79TGQ.494057,STRG0A79TGQ.494283,STRG0A79TGQ.494373,STRG0A79TGQ.495604,STRG0A79TGQ.496166,STRG0A79TGQ.496772,STRG0A79TGQ.496831,STRG0A79TGQ.497654,STRG0A79TGQ.498880,STRG0A79TGQ.499368,STRG0A79TGQ.499930,STRG0A79TGQ.501257,STRG0A79TGQ.501420,STRG0A79TGQ.501697,STRG0A79TGQ.505195,STRG0A79TGQ.507391,STRG0A79TGQ.512587,STRG0A79TGQ.512941,STRG0A79TGQ.522936,STRG0A79TGQ.537040,STRG0A79TGQ.543851,STRG0A79TGQ.56404	252234,328374,436647,439100,442696,454894,458404,466553,469905,470482,477302,477710,479023,479028,479046,479158,481347,481428,482175,482614,484156,484304,484308,484414,484637,484825,484989,485202,486571,487061,488132,488142,488439,488638,488884,489899,490650,491719,491833,492114,493134,493141,493376,493620,493731,494057,494283,494373,495604,496166,496772,496831,497654,498880,499368,499930,501257,501420,501697,505195,507391,512587,512941,522936,537040,543851,56404
GO Process	GO:0010467	Gene expression	118	957	0.28	6.08e-09	STRG0A79TGQ.102170,STRG0A79TGQ.166911,STRG0A79TGQ.18009,STRG0A79TGQ.180594,STRG0A79TGQ.198829,STRG0A79TGQ.252234,STRG0A79TGQ.300337,STRG0A79TGQ.328374,STRG0A79TGQ.365368,STRG0A79TGQ.365509,STRG0A79TGQ.436647,STRG0A79TGQ.438006,STRG0A79TGQ.439100,STRG0A79TGQ.448844,STRG0A79TGQ.451569,STRG0A79TGQ.452328,STRG0A79TGQ.453174,STRG0A79TGQ.453185,STRG0A79TGQ.454894,STRG0A79TGQ.456822,STRG0A79TGQ.458404,STRG0A79TGQ.463696,STRG0A79TGQ.464948,STRG0A79TGQ.465716,STRG0A79TGQ.465731,STRG0A79TGQ.466553,STRG0A79TGQ.470482,STRG0A79TGQ.476873,STRG0A79TGQ.476916,STRG0A79TGQ.477302,STRG0A79TGQ.477710,STRG0A79TGQ.478108,STRG0A79TGQ.479023,STRG0A79TGQ.479046,STRG0A79TGQ.479158,STRG0A79TGQ.480067,STRG0A79TGQ.481347,STRG0A79TGQ.481584,STRG0A79TGQ.481632,STRG0A79TGQ.482021,STRG0A79TGQ.482175,STRG0A79TGQ.482543,STRG0A79TGQ.482614,STRG0A79TGQ.483449,STRG0A79TGQ.483482,STRG0A79TGQ.484156,STRG0A79TGQ.484304,STRG0A79TGQ.484308,STRG0A79TGQ.484414,STRG0A79TGQ.484476,STRG0A79TGQ.484575,STRG0A79TGQ.484637,STRG0A79TGQ.484825,STRG0A79TGQ.484989,STRG0A79TGQ.485202,STRG0A79TGQ.485890,STRG0A79TGQ.486449,STRG0A79TGQ.486654,STRG0A79TGQ.487061,STRG0A79TGQ.488075,STRG0A79TGQ.488132,STRG0A79TGQ.488142,STRG0A79TGQ.488638,STRG0A79TGQ.488682,STRG0A79TGQ.488884,STRG0A79TGQ.489899,STRG0A79TGQ.490650,STRG0A79TGQ.491719,STRG0A79TGQ.491833,STRG0A79TGQ.492114,STRG0A79TGQ.492164,STRG0A79TGQ.493115,STRG0A79TGQ.493134,STRG0A79TGQ.493141,STRG0A79TGQ.493376,STRG0A79TGQ.493481,STRG0A79TGQ.493620,STRG0A79TGQ.493731,STRG0A79TGQ.494057,STRG0A79TGQ.494283,STRG0A79TGQ.494373,STRG0A79TGQ.494568,STRG0A79TGQ.495604,STRG0A79TGQ.496166,STRG0A79TGQ.496772,STRG0A79TGQ.496831,STRG0A79TGQ.497654,STRG0A79TGQ.498880,STRG0A79TGQ.499042,STRG0A79TGQ.499368,STRG0A79TGQ.499930,STRG0A79TGQ.501082,STRG0A79TGQ.501257,STRG0A79TGQ.501327,STRG0A79TGQ.501420,STRG0A79TGQ.501697,STRG0A79TGQ.505195,STRG0A79TGQ.507391,STRG0A79TGQ.508996,STRG0A79TGQ.511056,STRG0A79TGQ.511637,STRG0A79TGQ.512912,STRG0A79TGQ.512941,STRG0A79TGQ.522936,STRG0A79TGQ.534078,STRG0A79TGQ.537040,STRG0A79TGQ.537102,STRG0A79TGQ.537608,STRG0A79TGQ.539030,STRG0A79TGQ.539293,STRG0A79TGQ.540774,STRG0A79TGQ.540785,STRG0A79TGQ.541550,STRG0A79TGQ.543851,STRG0A79TGQ.545441,STRG0A79TGQ.547286,STRG0A79TGQ.56404,STRG0A79TGQ.84496	102170,166911,18009,180594,198829,252234,300337,328374,365368,365509,436647,438006,439100,448844,451569,452328,453174,453185,454894,456822,458404,463696,464948,465716,465731,466553,470482,476873,476916,477302,477710,478108,479023,479046,479158,480067,481347,481584,481632,482021,482175,482543,482614,483449,483482,484156,484304,484308,484414,484476,484575,484637,484825,484989,485202,485890,486449,486654,487061,488075,488132,488142,488638,488682,488884,489899,490650,491719,491833,492114,492164,493115,493134,493141,493376,493481,493620,493731,494057,494283,494373,494568,495604,496166,496772,496831,497654,498880,499042,499368,499930,501082,501257,501327,501420,501697,505195,507391,508996,511056,511637,512912,512941,522936,534078,537040,537102,537608,539030,539293,540774,540785,541550,543851,545441,547286,56404,84496
GO Process	GO:0022613	Ribonucleoprotein complex biogenesis	61	355	0.43	1.73e-08	STRG0A79TGQ.102170,STRG0A79TGQ.18009,STRG0A79TGQ.180594,STRG0A79TGQ.300337,STRG0A79TGQ.365368,STRG0A79TGQ.365509,STRG0A79TGQ.436647,STRG0A79TGQ.438006,STRG0A79TGQ.444221,STRG0A79TGQ.448844,STRG0A79TGQ.451569,STRG0A79TGQ.452328,STRG0A79TGQ.454065,STRG0A79TGQ.456822,STRG0A79TGQ.460672,STRG0A79TGQ.463696,STRG0A79TGQ.464948,STRG0A79TGQ.465716,STRG0A79TGQ.465731,STRG0A79TGQ.470482,STRG0A79TGQ.476873,STRG0A79TGQ.477302,STRG0A79TGQ.478108,STRG0A79TGQ.479046,STRG0A79TGQ.479158,STRG0A79TGQ.479717,STRG0A79TGQ.481584,STRG0A79TGQ.482021,STRG0A79TGQ.482175,STRG0A79TGQ.482543,STRG0A79TGQ.484308,STRG0A79TGQ.484476,STRG0A79TGQ.484575,STRG0A79TGQ.488075,STRG0A79TGQ.488175,STRG0A79TGQ.488682,STRG0A79TGQ.491833,STRG0A79TGQ.492164,STRG0A79TGQ.493115,STRG0A79TGQ.493376,STRG0A79TGQ.493651,STRG0A79TGQ.494283,STRG0A79TGQ.494568,STRG0A79TGQ.495604,STRG0A79TGQ.496166,STRG0A79TGQ.497654,STRG0A79TGQ.498880,STRG0A79TGQ.499930,STRG0A79TGQ.501082,STRG0A79TGQ.511637,STRG0A79TGQ.512912,STRG0A79TGQ.518328,STRG0A79TGQ.534078,STRG0A79TGQ.537040,STRG0A79TGQ.537102,STRG0A79TGQ.537569,STRG0A79TGQ.539030,STRG0A79TGQ.540774,STRG0A79TGQ.543851,STRG0A79TGQ.546838,STRG0A79TGQ.547286	102170,18009,180594,300337,365368,365509,436647,438006,444221,448844,451569,452328,454065,456822,460672,463696,464948,465716,465731,470482,476873,477302,478108,479046,479158,479717,481584,482021,482175,482543,484308,484476,484575,488075,488175,488682,491833,492164,493115,493376,493651,494283,494568,495604,496166,497654,498880,499930,501082,511637,512912,518328,534078,537040,537102,537569,539030,540774,543851,546838,547286
GO Process	GO:0034645	Cellular macromolecule biosynthetic process	62	384	0.4	1.01e-07	STRG0A79TGQ.328374,STRG0A79TGQ.436647,STRG0A79TGQ.439100,STRG0A79TGQ.454894,STRG0A79TGQ.458404,STRG0A79TGQ.466553,STRG0A79TGQ.470482,STRG0A79TGQ.477302,STRG0A79TGQ.477698,STRG0A79TGQ.477710,STRG0A79TGQ.479023,STRG0A79TGQ.479046,STRG0A79TGQ.479158,STRG0A79TGQ.481347,STRG0A79TGQ.482175,STRG0A79TGQ.482614,STRG0A79TGQ.484156,STRG0A79TGQ.484304,STRG0A79TGQ.484308,STRG0A79TGQ.484414,STRG0A79TGQ.484637,STRG0A79TGQ.484825,STRG0A79TGQ.484989,STRG0A79TGQ.485202,STRG0A79TGQ.487061,STRG0A79TGQ.488132,STRG0A79TGQ.488142,STRG0A79TGQ.488638,STRG0A79TGQ.488884,STRG0A79TGQ.489899,STRG0A79TGQ.490650,STRG0A79TGQ.491719,STRG0A79TGQ.491833,STRG0A79TGQ.492114,STRG0A79TGQ.493134,STRG0A79TGQ.493141,STRG0A79TGQ.493376,STRG0A79TGQ.493620,STRG0A79TGQ.493731,STRG0A79TGQ.494057,STRG0A79TGQ.494283,STRG0A79TGQ.494373,STRG0A79TGQ.495604,STRG0A79TGQ.496166,STRG0A79TGQ.496772,STRG0A79TGQ.496831,STRG0A79TGQ.497654,STRG0A79TGQ.498880,STRG0A79TGQ.499368,STRG0A79TGQ.499930,STRG0A79TGQ.501257,STRG0A79TGQ.501420,STRG0A79TGQ.501697,STRG0A79TGQ.505195,STRG0A79TGQ.507391,STRG0A79TGQ.512941,STRG0A79TGQ.513466,STRG0A79TGQ.522936,STRG0A79TGQ.537040,STRG0A79TGQ.543851,STRG0A79TGQ.56404,STRG0A79TGQ.90526	328374,436647,439100,454894,458404,466553,470482,477302,477698,477710,479023,479046,479158,481347,482175,482614,484156,484304,484308,484414,484637,484825,484989,485202,487061,488132,488142,488638,488884,489899,490650,491719,491833,492114,493134,493141,493376,493620,493731,494057,494283,494373,495604,496166,496772,496831,497654,498880,499368,499930,501257,501420,501697,505195,507391,512941,513466,522936,537040,543851,56404,90526
GO Process	GO:0042274	Ribosomal small subunit biogenesis	25	77	0.7	3.16e-07	STRG0A79TGQ.102170,STRG0A79TGQ.180594,STRG0A79TGQ.300337,STRG0A79TGQ.438006,STRG0A79TGQ.448844,STRG0A79TGQ.451569,STRG0A79TGQ.452328,STRG0A79TGQ.456822,STRG0A79TGQ.463696,STRG0A79TGQ.464948,STRG0A79TGQ.465716,STRG0A79TGQ.478108,STRG0A79TGQ.479046,STRG0A79TGQ.479158,STRG0A79TGQ.482175,STRG0A79TGQ.484308,STRG0A79TGQ.484575,STRG0A79TGQ.488075,STRG0A79TGQ.491833,STRG0A79TGQ.494568,STRG0A79TGQ.495604,STRG0A79TGQ.497654,STRG0A79TGQ.534078,STRG0A79TGQ.537569,STRG0A79TGQ.540774	102170,180594,300337,438006,448844,451569,452328,456822,463696,464948,465716,478108,479046,479158,482175,484308,484575,488075,491833,494568,495604,497654,534078,537569,540774
