#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
102170	454065	STRG0A79TGQ.102170	STRG0A79TGQ.454065	0	0	0	0	0.679	0	0	0.133	0.710
102170	547286	STRG0A79TGQ.102170	STRG0A79TGQ.547286	0	0	0	0	0.583	0	0	0.369	0.726
102170	481584	STRG0A79TGQ.102170	STRG0A79TGQ.481584	0	0	0	0	0.687	0	0	0.252	0.756
102170	300337	STRG0A79TGQ.102170	STRG0A79TGQ.300337	0	0	0	0	0.743	0	0	0.127	0.766
102170	518328	STRG0A79TGQ.102170	STRG0A79TGQ.518328	0	0	0	0	0.098	0.478	0.441	0.218	0.767
102170	198829	STRG0A79TGQ.102170	STRG0A79TGQ.198829	0	0	0	0	0.754	0	0	0.131	0.777
102170	444221	STRG0A79TGQ.102170	STRG0A79TGQ.444221	0	0	0	0	0.804	0	0	0	0.804
102170	482543	STRG0A79TGQ.102170	STRG0A79TGQ.482543	0	0	0	0	0.594	0	0	0.538	0.804
102170	488075	STRG0A79TGQ.102170	STRG0A79TGQ.488075	0	0	0	0	0.766	0	0	0.296	0.828
102170	478108	STRG0A79TGQ.102170	STRG0A79TGQ.478108	0	0	0	0	0.421	0.563	0	0.421	0.841
102170	506625	STRG0A79TGQ.102170	STRG0A79TGQ.506625	0	0	0	0	0.853	0	0	0	0.853
102170	456822	STRG0A79TGQ.102170	STRG0A79TGQ.456822	0	0	0	0	0.683	0	0	0.584	0.862
102170	543851	STRG0A79TGQ.102170	STRG0A79TGQ.543851	0	0	0	0	0.122	0.322	0.727	0.298	0.871
102170	487061	STRG0A79TGQ.102170	STRG0A79TGQ.487061	0	0	0	0	0	0.612	0.645	0.161	0.874
102170	539030	STRG0A79TGQ.102170	STRG0A79TGQ.539030	0	0	0	0	0.691	0	0	0.643	0.885
102170	484304	STRG0A79TGQ.102170	STRG0A79TGQ.484304	0	0	0	0	0	0.626	0.654	0.204	0.888
102170	454894	STRG0A79TGQ.102170	STRG0A79TGQ.454894	0	0	0	0	0	0.622	0.645	0.237	0.889
102170	484637	STRG0A79TGQ.102170	STRG0A79TGQ.484637	0	0	0	0	0.146	0.623	0.645	0.140	0.889
102170	180594	STRG0A79TGQ.102170	STRG0A79TGQ.180594	0	0	0	0	0.741	0	0	0.649	0.905
102170	464948	STRG0A79TGQ.102170	STRG0A79TGQ.464948	0	0	0	0	0.491	0.334	0	0.764	0.913
102170	488175	STRG0A79TGQ.102170	STRG0A79TGQ.488175	0	0	0	0	0.727	0	0	0.698	0.914
102170	494568	STRG0A79TGQ.102170	STRG0A79TGQ.494568	0	0	0	0	0.695	0.593	0	0.409	0.920
102170	495604	STRG0A79TGQ.102170	STRG0A79TGQ.495604	0	0	0	0	0	0.650	0.654	0.425	0.924
102170	463696	STRG0A79TGQ.102170	STRG0A79TGQ.463696	0	0	0	0	0.593	0.322	0.640	0.384	0.931
102170	451569	STRG0A79TGQ.102170	STRG0A79TGQ.451569	0	0	0	0	0.602	0.322	0.688	0.441	0.947
102170	481347	STRG0A79TGQ.102170	STRG0A79TGQ.481347	0	0	0	0	0	0.830	0.864	0	0.976
102170	438006	STRG0A79TGQ.102170	STRG0A79TGQ.438006	0	0	0	0	0.665	0	0.923	0.166	0.977
102170	491833	STRG0A79TGQ.102170	STRG0A79TGQ.491833	0	0	0	0	0	0.830	0.861	0.130	0.978
102170	439100	STRG0A79TGQ.102170	STRG0A79TGQ.439100	0	0	0	0	0	0.830	0.874	0.130	0.980
102170	479046	STRG0A79TGQ.102170	STRG0A79TGQ.479046	0	0	0	0	0	0.830	0.864	0.187	0.980
102170	494373	STRG0A79TGQ.102170	STRG0A79TGQ.494373	0	0	0	0	0	0.833	0.859	0.213	0.980
102170	497654	STRG0A79TGQ.102170	STRG0A79TGQ.497654	0	0	0	0	0	0.865	0.864	0.210	0.984
102170	545033	STRG0A79TGQ.102170	STRG0A79TGQ.545033	0	0	0	0	0	0.871	0.861	0.206	0.985
102170	479158	STRG0A79TGQ.102170	STRG0A79TGQ.479158	0	0	0	0	0	0.834	0.881	0.415	0.987
102170	484308	STRG0A79TGQ.102170	STRG0A79TGQ.484308	0	0	0	0	0	0.902	0.892	0	0.989
102170	484575	STRG0A79TGQ.102170	STRG0A79TGQ.484575	0	0	0	0	0.618	0	0.967	0.213	0.989
102170	482175	STRG0A79TGQ.102170	STRG0A79TGQ.482175	0	0	0	0	0	0.897	0.865	0.621	0.994
102170	452328	STRG0A79TGQ.102170	STRG0A79TGQ.452328	0	0	0	0	0.681	0	0.978	0.513	0.996
102170	465716	STRG0A79TGQ.102170	STRG0A79TGQ.465716	0	0	0	0	0.575	0.999	0.979	0.913	0.999
159901	481632	STRG0A79TGQ.159901	STRG0A79TGQ.481632	0	0	0	0	0	0.573	0	0.431	0.747
159901	483449	STRG0A79TGQ.159901	STRG0A79TGQ.483449	0	0	0	0	0	0.520	0	0.771	0.885
172419	490312	STRG0A79TGQ.172419	STRG0A79TGQ.490312	0	0	0	0	0.122	0.886	0.987	0.863	0.999
18009	444221	STRG0A79TGQ.18009	STRG0A79TGQ.444221	0	0	0	0	0.633	0	0	0.281	0.725
18009	438006	STRG0A79TGQ.18009	STRG0A79TGQ.438006	0	0	0	0	0.625	0	0.628	0	0.855
18009	488075	STRG0A79TGQ.18009	STRG0A79TGQ.488075	0	0	0	0	0.556	0	0.628	0.339	0.881
18009	495604	STRG0A79TGQ.18009	STRG0A79TGQ.495604	0	0	0	0	0.146	0	0.870	0	0.884
18009	439100	STRG0A79TGQ.18009	STRG0A79TGQ.439100	0	0	0	0	0	0	0.892	0	0.892
18009	493115	STRG0A79TGQ.18009	STRG0A79TGQ.493115	0	0	0	0	0.277	0	0.841	0.141	0.893
18009	540774	STRG0A79TGQ.18009	STRG0A79TGQ.540774	0	0	0	0	0.329	0	0.825	0.172	0.894
18009	464948	STRG0A79TGQ.18009	STRG0A79TGQ.464948	0	0	0	0	0.104	0	0.856	0.277	0.899
18009	456822	STRG0A79TGQ.18009	STRG0A79TGQ.456822	0	0	0	0	0.155	0	0.856	0.292	0.906
18009	484304	STRG0A79TGQ.18009	STRG0A79TGQ.484304	0	0	0	0	0	0.250	0.892	0.152	0.925
18009	537102	STRG0A79TGQ.18009	STRG0A79TGQ.537102	0	0	0	0	0.364	0	0.856	0.294	0.930
18009	448844	STRG0A79TGQ.18009	STRG0A79TGQ.448844	0	0	0	0	0.195	0	0.856	0.461	0.932
18009	534078	STRG0A79TGQ.18009	STRG0A79TGQ.534078	0	0	0	0	0.636	0	0.594	0.599	0.936
18009	494568	STRG0A79TGQ.18009	STRG0A79TGQ.494568	0	0	0	0	0.628	0	0.628	0.589	0.938
18009	484575	STRG0A79TGQ.18009	STRG0A79TGQ.484575	0	0	0	0	0.629	0	0.828	0.284	0.950
18009	180594	STRG0A79TGQ.18009	STRG0A79TGQ.180594	0	0	0	0	0.568	0	0.828	0.450	0.956
18009	547286	STRG0A79TGQ.18009	STRG0A79TGQ.547286	0	0	0	0	0.613	0	0.856	0.548	0.973
18009	479158	STRG0A79TGQ.18009	STRG0A79TGQ.479158	0	0	0	0	0	0	0.976	0	0.976
18009	452328	STRG0A79TGQ.18009	STRG0A79TGQ.452328	0	0	0	0	0.722	0.325	0.856	0.669	0.990
180594	541550	STRG0A79TGQ.180594	STRG0A79TGQ.541550	0	0	0	0	0.716	0	0	0	0.716
180594	465731	STRG0A79TGQ.180594	STRG0A79TGQ.465731	0	0	0	0	0.563	0	0	0.442	0.746
180594	454894	STRG0A79TGQ.180594	STRG0A79TGQ.454894	0	0	0	0	0	0.563	0.572	0	0.805
180594	497654	STRG0A79TGQ.180594	STRG0A79TGQ.497654	0	0	0	0	0	0.563	0.572	0	0.805
180594	512912	STRG0A79TGQ.180594	STRG0A79TGQ.512912	0	0	0	0	0.761	0	0	0.220	0.806
180594	488175	STRG0A79TGQ.180594	STRG0A79TGQ.488175	0	0	0	0	0.602	0	0.565	0	0.819
180594	439100	STRG0A79TGQ.180594	STRG0A79TGQ.439100	0	0	0	0	0	0.563	0.608	0	0.821
180594	463696	STRG0A79TGQ.180594	STRG0A79TGQ.463696	0	0	0	0	0.540	0	0	0.656	0.835
180594	493731	STRG0A79TGQ.180594	STRG0A79TGQ.493731	0	0	0	0	0.098	0.621	0.573	0	0.841
180594	481584	STRG0A79TGQ.180594	STRG0A79TGQ.481584	0	0	0	0	0.748	0	0	0.406	0.844
180594	487061	STRG0A79TGQ.180594	STRG0A79TGQ.487061	0	0	0	0	0	0.563	0.574	0.305	0.859
180594	465716	STRG0A79TGQ.180594	STRG0A79TGQ.465716	0	0	0	0	0.553	0	0	0.780	0.897
180594	540774	STRG0A79TGQ.180594	STRG0A79TGQ.540774	0	0	0	0	0.261	0	0.856	0.301	0.919
180594	198829	STRG0A79TGQ.180594	STRG0A79TGQ.198829	0	0	0	0	0.918	0	0	0.219	0.933
180594	454065	STRG0A79TGQ.180594	STRG0A79TGQ.454065	0	0	0	0	0.358	0.256	0.816	0.422	0.942
180594	479046	STRG0A79TGQ.180594	STRG0A79TGQ.479046	0	0	0	0	0	0.958	0	0.296	0.969
180594	493115	STRG0A79TGQ.180594	STRG0A79TGQ.493115	0	0	0	0	0.257	0.785	0.841	0.130	0.975
180594	484304	STRG0A79TGQ.180594	STRG0A79TGQ.484304	0	0	0	0	0	0.944	0.652	0.189	0.983
180594	484637	STRG0A79TGQ.180594	STRG0A79TGQ.484637	0	0	0	0	0	0.974	0.575	0	0.988
180594	491833	STRG0A79TGQ.180594	STRG0A79TGQ.491833	0	0	0	0	0	0.974	0.565	0.141	0.989
180594	481347	STRG0A79TGQ.180594	STRG0A79TGQ.481347	0	0	0	0	0	0.974	0.564	0.159	0.990
180594	494373	STRG0A79TGQ.180594	STRG0A79TGQ.494373	0	0	0	0	0	0.974	0.643	0	0.990
180594	539030	STRG0A79TGQ.180594	STRG0A79TGQ.539030	0	0	0	0	0.746	0	0.943	0.369	0.990
180594	545033	STRG0A79TGQ.180594	STRG0A79TGQ.545033	0	0	0	0	0	0.974	0.573	0.168	0.990
180594	547286	STRG0A79TGQ.180594	STRG0A79TGQ.547286	0	0	0	0	0.578	0	0.944	0.621	0.990
180594	482543	STRG0A79TGQ.180594	STRG0A79TGQ.482543	0	0	0	0	0.709	0.697	0.852	0.506	0.993
180594	451569	STRG0A79TGQ.180594	STRG0A79TGQ.451569	0	0	0	0	0.856	0.583	0.646	0.861	0.997
180594	495604	STRG0A79TGQ.180594	STRG0A79TGQ.495604	0	0	0	0	0.119	0.974	0.858	0.172	0.997
180594	444221	STRG0A79TGQ.180594	STRG0A79TGQ.444221	0	0	0	0	0.891	0	0.973	0.346	0.998
180594	300337	STRG0A79TGQ.180594	STRG0A79TGQ.300337	0	0	0	0	0.766	0	0.993	0.468	0.999
180594	438006	STRG0A79TGQ.180594	STRG0A79TGQ.438006	0	0	0	0	0.825	0.998	0.900	0.548	0.999
180594	448844	STRG0A79TGQ.180594	STRG0A79TGQ.448844	0	0	0	0	0.381	0.998	0.986	0.508	0.999
180594	452328	STRG0A79TGQ.180594	STRG0A79TGQ.452328	0	0	0.222	0	0.483	0.998	0.628	0.654	0.999
180594	456822	STRG0A79TGQ.180594	STRG0A79TGQ.456822	0	0	0	0	0.321	0.998	0.628	0.362	0.999
180594	464948	STRG0A79TGQ.180594	STRG0A79TGQ.464948	0	0	0	0	0.843	0.998	0.995	0.800	0.999
180594	479158	STRG0A79TGQ.180594	STRG0A79TGQ.479158	0	0	0	0	0	0.974	0.993	0	0.999
180594	482175	STRG0A79TGQ.180594	STRG0A79TGQ.482175	0	0	0	0	0	0.998	0.574	0.238	0.999
180594	484308	STRG0A79TGQ.180594	STRG0A79TGQ.484308	0	0	0	0	0	0.998	0.843	0.146	0.999
180594	484575	STRG0A79TGQ.180594	STRG0A79TGQ.484575	0	0	0.232	0	0.794	0.998	0.943	0.860	0.999
180594	488075	STRG0A79TGQ.180594	STRG0A79TGQ.488075	0	0	0	0	0.344	0.998	0.594	0.147	0.999
180594	494568	STRG0A79TGQ.180594	STRG0A79TGQ.494568	0	0	0	0	0.725	0.998	0.973	0.797	0.999
180594	534078	STRG0A79TGQ.180594	STRG0A79TGQ.534078	0	0	0	0	0.702	0.998	0.972	0.710	0.999
180594	537102	STRG0A79TGQ.180594	STRG0A79TGQ.537102	0	0	0	0	0.252	0.998	0.828	0.731	0.999
182079	539829	STRG0A79TGQ.182079	STRG0A79TGQ.539829	0	0	0.162	0.401	0.195	0.322	0	0.484	0.732
182079	494904	STRG0A79TGQ.182079	STRG0A79TGQ.494904	0	0	0	0	0.358	0.522	0	0.729	0.910
182079	489238	STRG0A79TGQ.182079	STRG0A79TGQ.489238	0	0	0	0	0	0	0	0.925	0.925
182079	480832	STRG0A79TGQ.182079	STRG0A79TGQ.480832	0	0	0	0	0.155	0.677	0	0.776	0.934
182079	489992	STRG0A79TGQ.182079	STRG0A79TGQ.489992	0	0	0.459	0	0.271	0.828	0	0.852	0.989
193802	247852	STRG0A79TGQ.193802	STRG0A79TGQ.247852	0	0	0	0	0	0	0.733	0	0.733
198211	439100	STRG0A79TGQ.198211	STRG0A79TGQ.439100	0	0	0	0	0.398	0.570	0	0	0.730
198211	497654	STRG0A79TGQ.198211	STRG0A79TGQ.497654	0	0	0	0	0.410	0.570	0	0	0.735
198211	484304	STRG0A79TGQ.198211	STRG0A79TGQ.484304	0	0	0	0	0.454	0.570	0	0	0.755
198829	485202	STRG0A79TGQ.198829	STRG0A79TGQ.485202	0	0	0	0	0.380	0	0.538	0	0.701
198829	481584	STRG0A79TGQ.198829	STRG0A79TGQ.481584	0	0	0	0	0.657	0	0	0.219	0.721
198829	482543	STRG0A79TGQ.198829	STRG0A79TGQ.482543	0	0	0	0	0.767	0	0	0.232	0.813
198829	444221	STRG0A79TGQ.198829	STRG0A79TGQ.444221	0	0	0	0	0.847	0	0	0	0.847
198829	454065	STRG0A79TGQ.198829	STRG0A79TGQ.454065	0	0	0	0	0.768	0.382	0	0	0.850
198829	484575	STRG0A79TGQ.198829	STRG0A79TGQ.484575	0	0	0	0	0.843	0	0	0.141	0.859
198829	494568	STRG0A79TGQ.198829	STRG0A79TGQ.494568	0	0	0	0	0.815	0	0	0.298	0.865
198829	451569	STRG0A79TGQ.198829	STRG0A79TGQ.451569	0	0	0	0	0.924	0	0	0.157	0.933
198829	464948	STRG0A79TGQ.198829	STRG0A79TGQ.464948	0	0	0	0	0.911	0.584	0	0.134	0.965
198829	486449	STRG0A79TGQ.198829	STRG0A79TGQ.486449	0.066	0	0	0	0.516	0.998	0.973	0.696	0.999
198829	493481	STRG0A79TGQ.198829	STRG0A79TGQ.493481	0.084	0	0	0	0.434	0.998	0.989	0.763	0.999
198829	541550	STRG0A79TGQ.198829	STRG0A79TGQ.541550	0	0	0.279	0	0.843	0.998	0.943	0.830	0.999
