Protein_ID,log2FoldChange (1),log2FoldChange (2),padj (1),padj (2),Gene_id
480494,1.08858925198353,1.06890212517725,7.78978581580622E-20,9.28333220786996E-36,gene_1357
481923,1.48051766504801,1.41069938018926,1.4155791514326E-140,4.10972159236808E-124,gene_1789
171095,1.99891431168929,1.25839272919512,9.95921823990685E-18,1.94517704049123E-06,gene_1870
482329,1.49095847493332,1.17608594467385,2.6317605942867E-50,1.48344867022882E-26,gene_1902
508744,2.5877684354523,1.41558925840479,7.79742323037579E-137,1.51997759758554E-39,gene_1989
522523,2.79031632667165,4.78811514465658,9.40099333151598E-99,1.19644731688024E-63,gene_2144
11946,1.1977838320873,1.41371531734442,4.00485087000469E-11,8.16656062810237E-09,gene_246
198172,1.5611640915129,1.12927002680129,1.47933545723152E-104,2.75964073225226E-37,gene_2475
539094,1.10246933769361,1.06368422098303,1.11617234133699E-21,9.11679141911141E-19,gene_2640
220860,2.09894428086612,1.37164944692523,4.16510529374496E-74,8.79714971868206E-48,gene_2946
452077,3.16915954909387,1.26712879827757,1.64001827312258E-206,1.30683598131697E-23,gene_3317
488166,4.24627827735435,1.26568029914267,3.08266373308734E-23,8.44968916018574E-19,gene_3635
540109,2.00603362902168,1.06659070414373,1.24096058723296E-17,6.57117067576436E-11,gene_3838
490577,1.3037904007331,1.21208031329079,4.25900582371686E-22,7.03106272060528E-08,gene_4317
491066,1.77017775468511,2.42740934676327,6.748856624645E-19,1.97921732154357E-29,gene_4442
510988,1.41415639561028,1.25317502154205,6.50252587840932E-13,2.72612971088846E-05,gene_4483
492900,1.35582885513097,1.52335250056278,8.09786511111938E-108,7.84651834809702E-97,gene_4975
515251,1.15494576650887,1.44782328131722,5.72386491775293E-55,1.61237900562451E-111,gene_508
361796,1.78685070246309,1.15605903865425,2.15827235774525E-119,3.02291716307421E-47,gene_5760
497892,1.74033765911546,1.0165292313145,9.11629480326491E-135,8.48349096467372E-91,gene_6447
75285,1.06547457360386,1.32170358699403,0.000943308419541,5.01486669422056E-10,gene_6660
499819,2.54029312863426,2.71802746852683,0,0,gene_6960
513201,1.50961942403823,1.00295221347684,1.04136546888682E-44,1.39001111846703E-18,gene_6965
106166,1.07843323094989,1.3076640728411,3.62402847361852E-50,2.17577240470312E-95,gene_7326
2738,2.60192161252611,1.65726086472289,0,1.95697249714115E-75,gene_76
506965,1.2294999859038,1.17147207789355,5.24625797614783E-20,7.88374146681382E-15,gene_7926
470327,1.66256937910614,1.09520551727409,2.41423032937277E-16,6.15963451558133E-22,gene_913
