#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
100015	452061	STRG0A79TGQ.100015	STRG0A79TGQ.452061	0	0	0	0	0.282	0.563	0	0.150	0.710
100015	476915	STRG0A79TGQ.100015	STRG0A79TGQ.476915	0	0	0	0	0.335	0.563	0	0.175	0.739
100015	491589	STRG0A79TGQ.100015	STRG0A79TGQ.491589	0	0	0.218	0	0.196	0.563	0	0.185	0.746
100015	478955	STRG0A79TGQ.100015	STRG0A79TGQ.478955	0	0	0	0	0.271	0.563	0	0.276	0.749
100015	482392	STRG0A79TGQ.100015	STRG0A79TGQ.482392	0	0	0.248	0	0.157	0.563	0	0.246	0.763
100015	495693	STRG0A79TGQ.100015	STRG0A79TGQ.495693	0	0	0	0	0.389	0.733	0	0.470	0.906
100015	500588	STRG0A79TGQ.100015	STRG0A79TGQ.500588	0	0	0	0	0.344	0.563	0	0.234	0.761
100015	501697	STRG0A79TGQ.100015	STRG0A79TGQ.501697	0	0	0.213	0.136	0.243	0.117	0	0.508	0.707
100015	491442	STRG0A79TGQ.100015	STRG0A79TGQ.491442	0	0	0	0	0.358	0.563	0	0	0.707
100015	512371	STRG0A79TGQ.100015	STRG0A79TGQ.512371	0	0	0	0	0.358	0.563	0	0.297	0.786
102170	168860	STRG0A79TGQ.102170	STRG0A79TGQ.168860	0	0	0	0	0.455	0	0.523	0	0.729
102170	368159	STRG0A79TGQ.102170	STRG0A79TGQ.368159	0	0	0	0	0.575	0	0	0.395	0.732
102170	435300	STRG0A79TGQ.102170	STRG0A79TGQ.435300	0	0	0	0	0.262	0.189	0.841	0.229	0.917
102170	436112	STRG0A79TGQ.102170	STRG0A79TGQ.436112	0	0	0	0	0.723	0.257	0	0	0.785
102170	438006	STRG0A79TGQ.102170	STRG0A79TGQ.438006	0	0	0	0	0.665	0	0.923	0.166	0.977
102170	438325	STRG0A79TGQ.102170	STRG0A79TGQ.438325	0	0	0	0	0	0.643	0.989	0.159	0.996
102170	439100	STRG0A79TGQ.102170	STRG0A79TGQ.439100	0	0	0	0	0	0.830	0.874	0.130	0.980
102170	442283	STRG0A79TGQ.102170	STRG0A79TGQ.442283	0	0	0	0	0.736	0	0	0.661	0.907
102170	443375	STRG0A79TGQ.102170	STRG0A79TGQ.443375	0	0	0	0	0.774	0	0	0.248	0.823
102170	443879	STRG0A79TGQ.102170	STRG0A79TGQ.443879	0	0	0	0	0.357	0	0.876	0.356	0.944
102170	444221	STRG0A79TGQ.102170	STRG0A79TGQ.444221	0	0	0	0	0.804	0	0	0	0.804
102170	461263	STRG0A79TGQ.102170	STRG0A79TGQ.461263	0	0	0	0	0.771	0.230	0.974	0.628	0.998
102170	462812	STRG0A79TGQ.102170	STRG0A79TGQ.462812	0	0	0	0	0.708	0	0	0.367	0.807
102170	463696	STRG0A79TGQ.102170	STRG0A79TGQ.463696	0	0	0	0	0.593	0.322	0.640	0.384	0.931
102170	464948	STRG0A79TGQ.102170	STRG0A79TGQ.464948	0	0	0	0	0.491	0.334	0	0.764	0.913
102170	465716	STRG0A79TGQ.102170	STRG0A79TGQ.465716	0	0	0	0	0.575	0.999	0.979	0.913	0.999
102170	466878	STRG0A79TGQ.102170	STRG0A79TGQ.466878	0	0	0	0	0	0.808	0.874	0.485	0.986
102170	451569	STRG0A79TGQ.102170	STRG0A79TGQ.451569	0	0	0	0	0.602	0.322	0.688	0.441	0.947
102170	451770	STRG0A79TGQ.102170	STRG0A79TGQ.451770	0	0	0	0	0.769	0.440	0	0.578	0.941
102170	451850	STRG0A79TGQ.102170	STRG0A79TGQ.451850	0	0	0	0	0.664	0.564	0	0.410	0.906
102170	452245	STRG0A79TGQ.102170	STRG0A79TGQ.452245	0	0	0	0	0.603	0	0.608	0.282	0.879
102170	452328	STRG0A79TGQ.102170	STRG0A79TGQ.452328	0	0	0	0	0.681	0	0.978	0.513	0.996
102170	453963	STRG0A79TGQ.102170	STRG0A79TGQ.453963	0	0	0	0	0.726	0	0.957	0	0.988
102170	454065	STRG0A79TGQ.102170	STRG0A79TGQ.454065	0	0	0	0	0.679	0	0	0.133	0.710
102170	454894	STRG0A79TGQ.102170	STRG0A79TGQ.454894	0	0	0	0	0	0.622	0.645	0.237	0.889
102170	455874	STRG0A79TGQ.102170	STRG0A79TGQ.455874	0	0	0	0	0.514	0	0	0.453	0.723
102170	456822	STRG0A79TGQ.102170	STRG0A79TGQ.456822	0	0	0	0	0.683	0	0	0.584	0.862
102170	457841	STRG0A79TGQ.102170	STRG0A79TGQ.457841	0	0	0	0	0	0.322	0.699	0.294	0.843
102170	458477	STRG0A79TGQ.102170	STRG0A79TGQ.458477	0	0	0	0	0.421	0	0	0.930	0.958
102170	459794	STRG0A79TGQ.102170	STRG0A79TGQ.459794	0	0	0	0	0.710	0	0	0.583	0.874
102170	459801	STRG0A79TGQ.102170	STRG0A79TGQ.459801	0	0	0	0	0.740	0	0	0	0.740
102170	459963	STRG0A79TGQ.102170	STRG0A79TGQ.459963	0	0	0	0	0.887	0	0	0	0.887
102170	477349	STRG0A79TGQ.102170	STRG0A79TGQ.477349	0.094	0	0	0	0.634	0	0	0.880	0.957
102170	477510	STRG0A79TGQ.102170	STRG0A79TGQ.477510	0	0	0	0	0.589	0	0	0.528	0.798
102170	478108	STRG0A79TGQ.102170	STRG0A79TGQ.478108	0	0	0	0	0.421	0.563	0	0.421	0.841
102170	478299	STRG0A79TGQ.102170	STRG0A79TGQ.478299	0	0	0	0	0.561	0	0	0.430	0.739
102170	479046	STRG0A79TGQ.102170	STRG0A79TGQ.479046	0	0	0	0	0	0.830	0.864	0.187	0.980
102170	479158	STRG0A79TGQ.102170	STRG0A79TGQ.479158	0	0	0	0	0	0.834	0.881	0.415	0.987
102170	479338	STRG0A79TGQ.102170	STRG0A79TGQ.479338	0	0	0	0	0.663	0	0	0.432	0.800
102170	479447	STRG0A79TGQ.102170	STRG0A79TGQ.479447	0	0	0	0	0.542	0	0	0.433	0.729
102170	461149	STRG0A79TGQ.102170	STRG0A79TGQ.461149	0.066	0	0	0	0.697	0	0	0.355	0.802
102170	461177	STRG0A79TGQ.102170	STRG0A79TGQ.461177	0	0	0	0	0.101	0.563	0.619	0.323	0.885
102170	179384	STRG0A79TGQ.102170	STRG0A79TGQ.179384	0	0	0	0	0.262	0.189	0.976	0.229	0.987
102170	180594	STRG0A79TGQ.102170	STRG0A79TGQ.180594	0	0	0	0	0.741	0	0	0.649	0.905
102170	198829	STRG0A79TGQ.102170	STRG0A79TGQ.198829	0	0	0	0	0.754	0	0	0.131	0.777
