proteinId,kogid
438449,KOG0062
438449,KOG0062
450436,KOG0101
489899,KOG0101
478299,KOG0118
482424,KOG0127
492621,KOG0203
484855,KOG0205
451424,KOG0207
541550,KOG0216
481237,KOG0217
491490,KOG0223
106947,KOG0252
336144,KOG0254
496386,KOG0254
444228,KOG0255
198829,KOG0262
493530,KOG0268
512912,KOG0270
482667,KOG0271
501365,KOG0279
456822,KOG0291
499239,KOG0299
459786,KOG0302
542305,KOG0306
493623,KOG0310
534687,KOG0313
534078,KOG0319
493510,KOG0327
456667,KOG0330
315141,KOG0331
442735,KOG0335
481584,KOG0337
491608,KOG0338
67269,KOG0342
451850,KOG0342
536675,KOG0344
484052,KOG0346
479447,KOG0347
467906,KOG0348
541350,KOG0350
541856,KOG0368
459091,KOG0370
482143,KOG0370
484040,KOG0370
491901,KOG0504
496495,KOG0552
488765,KOG0567
459963,KOG0572
488204,KOG0631
487747,KOG0650
438534,KOG0682
287799,KOG0684
490857,KOG0724
477246,KOG0730
343415,KOG0733
510790,KOG0788
498311,KOG0820
497105,KOG0830
93554,KOG0872
461177,KOG0877
534468,KOG0926
534468,KOG0926
168653,KOG0927
464948,KOG1070
492589,KOG1076
452245,KOG1098
452245,KOG1098
486913,KOG1122
534821,KOG1144
501697,KOG1145
537287,KOG1195
476354,KOG1206
546719,KOG1239
546719,KOG1239
451569,KOG1248
490432,KOG1253
495007,KOG1257
494802,KOG1303
510191,KOG1337
508539,KOG1370
254469,KOG1371
488290,KOG1393
476350,KOG1394
476350,KOG1394
454988,KOG1416
484822,KOG1441
484822,KOG1441
498910,KOG1475
461149,KOG1490
480189,KOG1491
491537,KOG1499
491537,KOG1499
491537,KOG1499
518666,KOG1506
436373,KOG1537
436112,KOG1539
440118,KOG1560
480781,KOG1596
480866,KOG1622
452061,KOG1624
481394,KOG1669
461134,KOG1685
482639,KOG1712
495693,KOG1715
90357,KOG1765
443879,KOG1823
492040,KOG1837
545315,KOG1839
541713,KOG1862
541693,KOG1920
459901,KOG1926
180594,KOG1951
442574,KOG1952
486541,KOG1963
481615,KOG1980
484575,KOG2036
454065,KOG2038
454065,KOG2038
537425,KOG2040
494568,KOG2048
61042,KOG2049
233019,KOG2050
485898,KOG2055
507347,KOG2072
534674,KOG2141
490186,KOG2144
452328,KOG2147
483682,KOG2149
467115,KOG2153
467115,KOG2153
538438,KOG2154
466746,KOG2171
466746,KOG2171
451770,KOG2172
247650,KOG2186
84496,KOG2187
435300,KOG2188
481971,KOG2198
507780,KOG2206
442283,KOG2229
442283,KOG2229
478511,KOG2250
465716,KOG2268
465716,KOG2268
540450,KOG2318
511786,KOG2323
485890,KOG2333
500652,KOG2339
53482,KOG2387
251548,KOG2396
370674,KOG2401
300337,KOG2409
481551,KOG2423
485018,KOG2434
486543,KOG2479
482331,KOG2480
487323,KOG2481
493388,KOG2495
484352,KOG2529
455874,KOG2572
455874,KOG2572
537102,KOG2573
537102,KOG2573
488095,KOG2600
490577,KOG2626
490577,KOG2626
491829,KOG2637
485479,KOG2750
478687,KOG2765
480067,KOG2771
494295,KOG2780
484474,KOG2809
484474,KOG2809
500591,KOG2823
461263,KOG2874
461263,KOG2874
493108,KOG2885
454668,KOG2902
548660,KOG2915
499010,KOG2924
472455,KOG2958
459801,KOG2963
491498,KOG2971
542018,KOG2992
496105,KOG3031
496176,KOG3064
484239,KOG3080
509293,KOG3100
539074,KOG3118
484425,KOG3204
488988,KOG3237
431286,KOG3262
493994,KOG3273
484825,KOG3295
512371,KOG3331
497663,KOG3346
458477,KOG3347
479717,KOG3408
522936,KOG3434
508083,KOG3769
98680,KOG3844
487303,KOG3881
548774,KOG3914
477349,KOG3980
477510,KOG4008
480527,KOG4134
504802,KOG4183
465731,KOG4210
434519,KOG4230
487510,KOG4709
476133,KOG4771
210209,KOG4829
