Protein_ID,log2FoldChange,padj,Gene_id,,,
471404,-5.90458357160455,3.8872572184633E-284,gene_2278,POT family-domain containing protein,Peptide transporter PTR2 [Saitozyma sp. JCM 24511],putative integral membrane peptide transporter [Naematelia encephala]
174669,-5.06633146247665,5.04191648347138E-20,gene_1958,Major facilitator superfamily domain-containing protein,,
537457,-5.0052923287363,2.55268279018075E-142,gene_697,expressed protein,glycosyltransferase family 18 protein [Neolentinus lepideus HHB14362 ss-1],
538760,-3.61268303538985,0,gene_2263,amino acid transporter,AAT family amino acid transporter [Cryptococcus neoformans var. grubii c45],
488485,-3.59722088718607,1.73236418291891E-95,gene_3736,expressed protein,Six-hairpin glycosidase-like protein [Lactarius pseudohatsudake],
499983,-3.41752525013229,0,gene_7019,expressed protein,nucleolin [Kwoniella heveanensis CBS 569],
496105,-3.00136658939622,1.41580189597218E-40,gene_5881,Brix domain-domain containing protein,ribosome production factor 2 [Kwoniella mangroviensis CBS 8886] ,
542018,-2.92251671078736,5.57591578357497E-71,gene_6098,SRP40%2C C-terminal domain-domain containing protein,chaperone [Cryptococcus wingfieldii CBS 7118],
438635,-2.87845806052417,3.30073369889704E-291,gene_4071,Domain of unknown function %28DUF1996%29-domain containing protein,transmembrane receptor [Cryptococcus gattii CA1873],
451850,-2.8151056482837,4.65704426144784E-68,gene_3135,P-loop containing nucleoside triphosphate hydrolase protein,ATP-dependent RNA helicase HAS1 [Saitozyma sp. JCM 24511],
