# Program:featureCounts v2.0.2; Command:"featureCounts" "-p" "-O" "-M" "-T" "12" "-a" "Papla_JGI.gtf" "-o" "Counts_ATS_wo.txt" "ATS_wo_1_alg.bam" "ATS_wo_2_alg.bam" "ATS_wo_3_alg.bam" 
Geneid	Chr	Start	End	Strand	Length	ATS_wo_1_alg.bam	ATS_wo_2_alg.bam	ATS_wo_3_alg.bam
gene_1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	8;118;174;465;796	80;139;427;760;1350	+;+;+;+;+	1200	411	523	435
gene_2	scaffold_1;scaffold_1;scaffold_1;scaffold_1	1449;1660;1719;1818	1626;1674;1774;2023	-;-;-;-	455	5	14	36
gene_3	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2238;2537;2811;3053;3215	2492;2757;3002;3136;3338	+;+;+;+;+	876	1105	1531	1358
gene_4	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	4051;4703;4774;4932;5829	4664;4729;4885;5783;6218	+;+;+;+;+	1995	12	6	0
gene_5	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	6673;7159;7275;7354;7573;7628;8242	7113;7227;7307;7528;7582;8168;8731	+;+;+;+;+;+;+	1759	1253	1364	1244
gene_6	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	8973;9498;9660;9864;9985;10090;10197;10404;10566;10729;11029	9413;9615;9824;9935;10045;10152;10360;10505;10674;10983;11633	-;-;-;-;-;-;-;-;-;-;-	2155	141	181	171
gene_7	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	11959;12119;12197;12289;12487;12727;12931;13155	12073;12151;12242;12434;12674;12881;13102;13367	+;+;+;+;+;+;+;+	1068	635	806	564
gene_8	scaffold_1;scaffold_1;scaffold_1	14095;14264;14516	14217;14473;14815	+;+;+	633	25	22	22
gene_9	scaffold_1	14724	15869	+	1146	126	164	126
gene_10	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	16281;16413;16822;17212;17489	16371;16763;17160;17448;17859	-;-;-;-;-	1389	518	502	500
gene_11	scaffold_1;scaffold_1;scaffold_1;scaffold_1	18147;18714;19067;19145	18664;19020;19107;19436	-;-;-;-	1158	5781	7319	6371
gene_12	scaffold_1	20411	21508	+	1098	0	0	0
gene_13	scaffold_1;scaffold_1	22484;23183	23128;23513	+;+	976	0	0	0
gene_14	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	23580;23799;23872;24010;25154;25557;25796;26018	23711;23847;23961;25114;25508;25744;25982;26207	-;-;-;-;-;-;-;-	2296	10	19	22
gene_15	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	26393;26456;26787;26947;27057;27359	26417;26713;26899;27007;27285;27593	+;+;+;+;+;+	921	537	719	663
gene_16	scaffold_1	28730	30414	-	1685	658	685	533
gene_17	scaffold_1;scaffold_1;scaffold_1	32382;32863;33168	32812;33119;34030	+;+;+	1551	0	0	0
gene_18	scaffold_1;scaffold_1;scaffold_1	34450;34781;34921	34705;34878;35157	-;-;-	591	0	0	0
gene_19	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	38831;39080;39146;39319;39405;39472	39035;39104;39262;39367;39421;39679	-;-;-;-;-;-	621	17	19	27
gene_20	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	39718;40113;40282;40998;41227;41406;41598;41831;41969	40062;40231;40944;41177;41352;41490;41741;41910;42123	-;-;-;-;-;-;-;-;-	1897	24504	29158	25953
gene_21	scaffold_1	43010	44025	+	1016	234	221	195
gene_22	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	44026;44592;44882;45116;45856;46050	44547;44831;45068;45806;45989;46339	-;-;-;-;-;-	2064	2070	2604	2638
gene_23	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	46916;47248;47648;48167;48270	47197;47602;48121;48221;48471	+;+;+;+;+	1368	2252	2460	2453
gene_24	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	48497;50262;50378;50451;50706;50889	50210;50328;50404;50645;50837;50998	-;-;-;-;-;-	2245	24	14	34
gene_25	scaffold_1;scaffold_1;scaffold_1	51307;51466;51940	51428;51894;52749	+;+;+	1361	0	0	0
gene_26	scaffold_1	52958	54714	-	1757	0	0	2
gene_27	scaffold_1;scaffold_1;scaffold_1	55556;55911;56243	55865;56160;56851	+;+;+	1169	213	264	214
gene_28	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	57679;57944;58181;58305;59065;59173;59370;59503;59614;60010;60699;60836;60968;61491;61582;61713;62072;62319;62446;62674;63481	57864;58124;58241;59021;59136;59314;59458;59560;59776;60645;60763;60922;61440;61512;61669;61983;62271;62375;62620;63418;63756	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4764	0	0	0
gene_29	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	63857;64500;64585;64758;64911;65162;65253;65623	64454;64520;64706;64884;65117;65214;65571;66268	+;+;+;+;+;+;+;+	2093	3145	3573	3105
gene_30	scaffold_1;scaffold_1;scaffold_1	65941;66644;67220	66592;67138;67775	-;-;-	1703	12902	14911	13213
gene_31	scaffold_1	68028	70762	+	2735	4459	5414	4960
gene_32	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	70905;71166;71582;72181;72463;72539	71119;71531;72124;72414;72493;72763	-;-;-;-;-;-	1614	12155	14169	13686
gene_33	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	73425;74347;74668;74897;75247;75571	74249;74628;74851;75158;75448;75952	-;-;-;-;-;-	2137	1442	1782	1652
gene_34	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	75951;76136;76296;76441;76563;76762;76875;77178;77343;77484;77631;77745;77961	76087;76251;76394;76519;76719;76829;77134;77295;77440;77586;77699;77910;78464	-;-;-;-;-;-;-;-;-;-;-;-;-	1974	422	543	537
gene_35	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	79128;79290;79393;79878;80102	79246;79350;79832;80058;80143	-;-;-;-;-	843	222	272	272
gene_36	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	81257;81714;81882;82032;82361;82545;82794;82875;83130	81664;81837;81988;82307;82501;82744;82824;83076;83681	+;+;+;+;+;+;+;+;+	2041	264	342	314
gene_37	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	83741;83885;84160;84395;84795;84947;85483	83835;84115;84342;84748;84923;85424;85594	-;-;-;-;-;-;-	1582	24	30	14
gene_38	scaffold_1;scaffold_1;scaffold_1;scaffold_1	86926;87190;87289;87341	87143;87245;87303;87730	+;+;+;+	679	737	918	871
gene_39	scaffold_1	87726	88658	-	933	46	36	61
gene_40	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	88996;89459;89551;89828;89895;90043;90474;90826	89414;89506;89778;89840;89996;90427;90734;91355	-;-;-;-;-;-;-;-	1986	1902	2109	1925
gene_41	scaffold_1;scaffold_1;scaffold_1	92202;92756;93236	92700;93072;93577	+;+;+	1158	0	0	0
gene_42	scaffold_1	94110	95153	+	1044	0	0	2
gene_43	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	95284;95948;96020;96356;96481;96573;96675;96748;96977;97121;97326;97624	95914;95973;96248;96427;96525;96634;96697;96896;97078;97226;97586;97816	-;-;-;-;-;-;-;-;-;-;-;-	1899	4	2	0
gene_44	scaffold_1;scaffold_1	98422;99192	99124;101349	+;+	2861	16	37	11
gene_45	scaffold_1;scaffold_1;scaffold_1	101351;102804;103100	102714;102975;103825	-;-;-	2262	2776	3276	2920
gene_46	scaffold_1;scaffold_1;scaffold_1;scaffold_1	103826;104332;104702;104855	104283;104638;104805;105091	-;-;-;-	1106	1915	2568	2174
gene_47	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	105386;105710;105787;106054;106347;106422;106525;106712;106836;106920;107074;107168;107368;107505;107830;107969	105621;105731;105862;106294;106378;106479;106611;106783;106875;107029;107094;107319;107431;107786;107912;108321	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1929	1351	1407	1375
gene_48	scaffold_1;scaffold_1	109631;109930	109791;110197	-;-	429	0	0	0
gene_49	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	110432;110748;111052;111241;111352;111439;111524;111754;112032;112112;112214;112416	110701;110964;111191;111290;111394;111456;111712;111965;112055;112146;112349;112793	-;-;-;-;-;-;-;-;-;-;-;-	1712	0	0	0
gene_50	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	113169;113409;113699;113873;113998;114145;114309;114449;114584;114856	113330;113652;113793;113940;114076;114200;114368;114511;114715;115332	-;-;-;-;-;-;-;-;-;-	1436	9	21	23
gene_51	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	115843;116491;116639;116726;116893;117014;117154;117560;117855	116436;116593;116676;116849;116966;117110;117507;117799;118485	+;+;+;+;+;+;+;+;+	2255	670	714	729
gene_52	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	118757;119307;119551;119649;119996	119216;119501;119597;119939;120884	+;+;+;+;+	1882	3283	3710	3339
gene_53	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	121110;121807;122073;122406;122660	121754;122019;122361;122606;122784	-;-;-;-;-	1473	125	100	74
gene_54	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	124333;124863;125109;125379;125657;125853;125943;126023;126211;126338;126492;126637;126697;127599;127978;128305;128578;128697;128859;129085;129191;129426;129698;130226;130725	124802;124906;125334;125607;125805;125896;125970;126160;126293;126442;126594;126651;127558;127916;128258;128533;128660;128810;129039;129139;129371;129648;130189;130678;130872	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5254	1348	1578	1325
gene_55	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	131060;131552;131724;132028;132189;132631	131477;131681;131976;132145;132565;132876	+;+;+;+;+;+	1542	3620	4571	3897
