Protein_ID,log2FoldChange,padj,Gene_id,,,
490704,5.85514058856815,0,gene_4345,putative cobalamin synthesis protein,,
198321,2.6321785001717,9.56640480048325E-37,gene_2481,expressed protein,,
475966,2.40854993413657,1.86302312694201E-10,gene_50,putative cell wall organization and biogenesis-related protein,Select seq dbj|GFZ44497.1|,glycosylase [Saitozyma sp. JCM 24511]
360080,2.23730740078121,5.55902548770638E-19,gene_5716,expressed protein,,
473472,2.22172024673748,4.87729072906696E-121,gene_4928,hypothetical protein,Select seq ref|XP_019009071.1|,methionyl-tRNA formyltransferase [Kwoniella pini CBS 10737]
488377,2.19426609065824,1.62779036160993E-23,gene_3693,General substrate transporter,,
470991,2.17702587126743,2.96586787945106E-172,gene_1768,hypothetical protein,galactose oxidase [Cutaneotrichosporon oleaginosum] ,
482371,2.16724091482042,1.25998536872658E-176,gene_1918,expressed protein,,
438704,2.1169081862061,6.30846199502957E-33,gene_4060,hypothetical protein,Select seq ref|XP_018266309.1|,amine oxidase [Kwoniella dejecticola CBS 10117]
498934,1.99510991135384,8.13823058096046E-17,gene_6693,Ammonium transporter AmtB-like domain-containing protein,,
480348,1.89953177966188,1.68466536537821E-17,gene_1305,Fungal specific transcription factor domain-domain containing protein,,
490904,1.89329711110246,5.65182432274494E-73,gene_4404,hypothetical protein,"Fungal transcriptional regulatory protein, N-terminal [Penicillium camemberti] ",
537581,1.89173920704879,1.23964194500794E-07,gene_852,expressed protein,,
472974,1.85724660784459,1.45971617030589E-101,gene_4308,hypothetical protein,,
506180,1.78546231446831,1.52935173058863E-09,gene_6001,trehalose transport-related protein,Select seq gb|KAI0699131.1|,maltose permease [Cytidiella melzeri]
529511,1.72801458101024,3.91584274790791E-11,gene_5019,hypothetical protein,,
537346,1.71432264725609,9.50699977162026E-35,gene_573,expressed protein,,
24159,1.70806669300328,6.67355947159319E-151,gene_471,hypothetical protein,,
499748,1.70762939098275,4.2857662568883E-06,gene_6945,MutS domain V-domain containing protein,Select seq ref|XP_019028830.1|,DNA mismatch repair protein MSH5 [Cryptococcus wingfieldii CBS 7118]
489321,1.69589609671964,5.03463156208507E-06,gene_3989,expressed protein,,
495498,1.66852904387196,9.98725349132636E-98,gene_5695,hypothetical protein,,
548353,1.65658016251928,7.39128576133849E-107,gene_7004,expressed protein,,
381996,1.6510396598417,1.38146294210363E-46,gene_6217,hypothetical protein,Select seq dbj|GLB37137.1|,"putative broad-Complex, Tramtrack and Bric a brac [Lyophyllum shimeji]"
181847,1.63426512878625,0.000139397958737,gene_2143,expressed protein,,
500843,1.63290252505444,9.2461961837369E-33,gene_7304,expressed protein,,
478129,1.62360395038131,6.07154771809705E-61,gene_641,hypothetical protein,,
532705,1.61742842387126,3.93520738220019E-05,gene_6129,expressed protein,,
527190,1.58231409310463,3.14783158122491E-59,gene_4136,hypothetical protein,,
476430,1.57810966802307,2.00518380589594E-52,gene_182,hypothetical protein,,
440973,1.56726316448109,1.17116610420918E-64,gene_5952,glycosyl transferase family 17 protein,,
471319,1.56493628366765,5.98683620580951E-24,gene_2180,,,
513113,1.55797712476565,1.00458139507746E-42,gene_6857,,,
512079,1.55422853157973,8.45512067414988E-17,gene_5706,,,
479058,1.55097308305518,1.46808778328658E-45,gene_932,,,
496299,1.55002914506613,3.35003640756959E-47,gene_5951,,,
497895,1.54874765943749,3.09570720789753E-13,gene_6448,,,
484274,1.53731835352625,2.17086573408516E-48,gene_2515,,,
89890,1.53642338937019,5.14658673040719E-50,gene_6943,,,
478781,1.53161583641336,1.91148789485392E-44,gene_853,,,
478858,1.52873455591518,5.45723409691324E-32,gene_872,,,
512566,1.50896873856103,1.29205501842748E-28,gene_6236,,,
434085,1.47293833912102,3.30111166975403E-100,gene_32,,,
386265,1.47053354342179,1.39382979454997E-57,gene_6290,,,
488996,1.45893338864472,3.37867931095114E-79,gene_3884,,,
485571,1.44798594087939,1.42658314035666E-38,gene_2896,,,
487254,1.44339426526534,6.33460265386556E-29,gene_3348,,,
499588,1.40953898744217,3.0391197810766E-14,gene_6903,,,
498200,1.40346304427988,1.03336224261912E-34,gene_6496,,,
43768,1.40217248460313,1.91617262666629E-81,gene_873,,,
449598,1.40200280907984,0.002231360312546,gene_1227,,,
47686,1.39253917785793,1.56300284129369E-15,gene_978,,,
482731,1.38957606611869,5.79614336768651E-48,gene_2038,,,
506193,1.38738003610587,0.000267395964589,gene_6048,,,
510249,1.38221278065347,2.06275072517622E-36,gene_3674,,,
323714,1.38022773924128,1.14951628315523E-62,gene_5089,,,
434549,1.37851845041309,7.7869219726349E-49,gene_247,,,
178136,1.37823761717791,4.47062253131893E-25,gene_2046,,,
486108,1.37043293698616,8.35340873097663E-53,gene_3039,,,
506158,1.37001150648307,3.42147359020586E-93,gene_5944,,,
449198,1.36969944703039,3.18593731035326E-81,gene_832,,,
60343,1.36924094815697,1.10856520832613E-77,gene_1202,,,
486653,1.36908221051104,7.59688736484755E-39,gene_3194,,,
483662,1.36767229526157,3.67050816364764E-37,gene_2312,,,
502086,1.36404949403935,9.71123037805691E-49,gene_7639,,,
464301,1.36061419869493,3.46325130017685E-40,gene_4418,,,
488057,1.35731472434166,4.41192747242395E-40,gene_3594,,,
540781,1.34822284182944,2.51378228020174E-09,gene_4634,,,
512336,1.3443085191508,8.03841892031627E-58,gene_5983,,,
495968,1.34339655940835,2.35520242465273E-81,gene_5838,,,
508510,1.34133044996505,6.44528878798175E-72,gene_1739,,,
326695,1.34006370966255,6.5880479734657E-52,gene_5106,,,
377606,1.33879248702632,9.84240806946866E-85,gene_6094,,,
441099,1.33721351724716,1.40108506996873E-62,gene_5871,,,
529600,1.32320992109556,0.006884929126594,gene_5078,,,
501844,1.32210979859383,2.92859445097989E-32,gene_7574,,,
107878,1.32150526962457,2.68145213983515E-50,gene_7365,,,
509816,1.32063198312186,2.86784549736333E-14,gene_3187,,,
490920,1.31784169142618,1.88716859171315E-51,gene_4409,,,
462292,1.31745009489337,0.005351380021273,gene_2821,,,
489787,1.31706216570652,1.77506194756693E-41,gene_4128,,,
492265,1.31669445097716,2.8359186963141E-30,gene_4805,,,
488685,1.3161480754868,9.70566157152706E-40,gene_3788,,,
477105,1.30638959406024,8.39855316971126E-78,gene_353,,,
498865,1.30508268457946,2.72327530166593E-58,gene_6670,,,
476410,1.30200444770962,7.08034412191258E-47,gene_177,,,
489615,1.30101416555932,1.84632210617024E-61,gene_4083,,,
475937,1.29700577296882,2.77155314179247E-54,gene_38,,,
475978,1.29531075123052,2.57585941521209E-83,gene_52,,,
478777,1.29503066596944,5.03540114231618E-38,gene_850,,,
476299,1.2949801389602,6.68381914148027E-31,gene_149,,,
49699,1.29467180763603,1.28202262086551E-48,gene_1023,,,
472736,1.29121467244055,1.02717102335525E-35,gene_3995,,,
378139,1.29102753707076,7.59524569496944E-18,gene_6125,,,
474723,1.29016966510546,6.06045627223075E-119,gene_6536,,,
493812,1.28663175069084,6.62666589573725E-37,gene_5250,,,
524057,1.28435747448638,6.16099190092601E-71,gene_2742,,,
527142,1.28158271107956,4.70865728243503E-35,gene_4129,,,
52801,1.28104426372708,1.14301966965044E-13,gene_1070,,,
513743,1.27920485833318,6.93513595664584E-30,gene_7585,,,
367265,1.278721890228,5.89539925397501E-05,gene_5862,,,
528868,1.27503925065038,6.16359285898495E-32,gene_4828,,,
488343,1.27393485471477,9.74523089209723E-60,gene_3685,,,
476186,1.27298265192732,0.002717642576637,gene_102,,,
538791,1.27072394720738,4.44754520295394E-38,gene_2298,,,
78657,1.26367219089977,2.59889429077467E-42,gene_6739,,,
546284,1.26079770619407,1.52280469225241E-41,gene_4065,,,
122831,1.25504952990649,6.64461599288009E-09,gene_7652,,,
480514,1.25343502379457,2.36790711194231E-60,gene_1365,,,
62614,1.25302945782928,1.2792705173598E-21,gene_1274,,,
508337,1.25011512151571,4.7515360821038E-67,gene_1551,,,
485787,1.25003987474622,3.33862216518119E-13,gene_2957,,,
474347,1.24290413713447,1.54886098809766E-52,gene_6056,,,
507272,1.23158340599281,1.73104166280889E-60,gene_331,,,
496950,1.2313143830989,1.25792558155335E-42,gene_6153,,,
497334,1.22689732650857,1.88057351366656E-38,gene_6249,,,
482852,1.22649950302087,1.75574224933725E-32,gene_2081,,,
480425,1.22549764148424,6.64142065727374E-36,gene_1331,,,
538620,1.22109059015685,1.00253505919897E-33,gene_2088,,,
472168,1.21912515220787,1.28373807643006E-08,gene_3265,,,
513454,1.21656961505871,7.55121000314088E-57,gene_7256,,,
494674,1.21465799366172,4.6283322966551E-51,gene_5483,,,
510274,1.21095264583631,9.41543798620536E-20,gene_3700,,,
486380,1.20376816637846,9.22775183253585E-43,gene_3114,,,
507224,1.20254471236733,3.51031020016784E-48,gene_281,,,
543097,1.20116148603391,2.10667170948345E-35,gene_7435,,,
16672,1.20098889911161,4.43895486969104E-82,gene_346,,,
511572,1.19867399294249,1.06840322682567E-52,gene_5145,,,
482697,1.19809084865526,5.69561218200136E-31,gene_2026,,,
435180,1.19383105316832,5.36197348445453E-30,gene_1698,,,
495701,1.19086752344875,3.08467145581963E-44,gene_5752,,,
499029,1.18849411510072,2.02121958317305E-51,gene_6723,,,
438812,1.18843126949289,1.07230341826079E-42,gene_3927,,,
476866,1.18489103393551,1.52622594614028E-19,gene_294,,,
214038,1.184142776091,2.28659812293544E-34,gene_2820,,,
78781,1.18330539368416,1.42070411510795E-19,gene_6749,,,
496925,1.18221279547858,1.01616254828078E-66,gene_6142,,,
465353,1.18195372538751,3.86214741922391E-80,gene_5036,,,
489760,1.18077379123513,7.71824209883333E-06,gene_4123,,,
489092,1.18068901771651,1.68151659083191E-48,gene_3921,,,
513499,1.17966261279406,1.06116256564833E-36,gene_7313,,,
521346,1.17859063647438,2.3047026548277E-35,gene_1546,,,
438719,1.17605998339119,1.51575620687779E-87,gene_4059,,,
491112,1.17144186666933,3.85373899190146E-18,gene_4452,,,
514321,1.17112851824699,0.002201213728225,gene_91,,,
478761,1.16362625021448,1.19682942774731E-38,gene_842,,,
488079,1.16348242987575,2.98276347648431E-69,gene_3602,,,
483180,1.16337862601261,3.37312669636352E-35,gene_2176,,,
507372,1.16092750160272,1.42505401056326E-17,gene_441,,,
296087,1.15784663617613,5.86826214859718E-64,gene_4453,,,
496711,1.1571494280524,8.37936275596655E-64,gene_6061,,,
478716,1.15672679022951,1.02522776510668E-41,gene_825,,,
493564,1.15657315739572,1.90983062349343E-33,gene_5184,,,
455308,1.15387029457224,1.41668524010208E-62,gene_5437,,,
440016,1.15289256346325,3.37325771511548E-49,gene_4778,,,
501051,1.15213618186576,7.09878346097481E-21,gene_7352,,,
464534,1.15186397206626,6.20223755756828E-65,gene_4566,,,
480053,1.14323838803227,1.3668532525601E-37,gene_1220,,,
481387,1.14261244542135,4.94084565318328E-27,gene_1628,,,
501816,1.14178445293529,2.5375214557897E-71,gene_7568,,,
475378,1.14030805031969,1.76162147591173E-29,gene_7350,,,
513014,1.13934580619326,1.81518781003501E-29,gene_6736,,,
541702,1.1391654584601,1.08116428996588E-20,gene_5730,,,
482078,1.13655661241823,3.04238747788237E-14,gene_1831,,,
3913,1.13620314916944,0.001548861509629,gene_101,,,
122830,1.13595053938868,1.62276981035501E-15,gene_7653,,,
497718,1.1329608297705,2.24457900834471E-60,gene_6375,,,
484221,1.13071660936353,6.2435690399434E-74,gene_2494,,,
104406,1.13011803720653,6.78814378932475E-13,gene_7297,,,
184257,1.12977410027369,8.57725668843932E-08,gene_2179,,,
448110,1.1289999558719,5.61021921189261E-20,gene_34,,,
544335,1.12461536448456,1.69129314534628E-05,gene_1344,,,
500484,1.12440515839105,5.96354760322271E-115,gene_7185,,,
499928,1.12333816123459,4.61345295637916E-40,gene_6995,,,
22001,1.12203977992164,3.74132580537397E-15,gene_433,,,
466258,1.12097110357396,1.37637372150646E-61,gene_5551,,,
538123,1.12028057376426,2.1795261013825E-58,gene_1524,,,
504990,1.11880005934666,5.60601743756338E-14,gene_3582,,,
492391,1.11755034245536,9.53946477578404E-57,gene_4842,,,
534896,1.1167370041546,8.04210913150562E-76,gene_3298,,,
481211,1.11635189152852,1.83322981861397E-33,gene_1566,,,
59001,1.11378018892496,9.83547335939519E-37,gene_1169,,,
91768,1.11362535499521,2.02609235197023E-22,gene_6982,,,
444598,1.10422075088672,3.03772245645943E-13,gene_7899,,,
484537,1.10421976207049,0.00354766308433,gene_2597,,,
477442,1.10412710676454,1.40190734113801E-29,gene_436,,,
495908,1.10235408210592,1.69722219309028E-45,gene_5815,,,
513090,1.10201100588657,1.14782570471643E-30,gene_6828,,,
490815,1.1006308117236,1.40969381100482E-29,gene_4384,,,
501747,1.09838986366877,7.38774425131735E-17,gene_7553,,,
500440,1.09783782141697,1.45096870737261E-26,gene_7168,,,
477546,1.09700656046329,5.45301331332811E-37,gene_472,,,
104438,1.09488263308339,1.33144778423357E-18,gene_7298,,,
484451,1.09474825378288,3.6549405973444E-52,gene_2567,,,
512335,1.09186443119718,2.40551619050733E-12,gene_5982,,,
198141,1.08753573990236,1.43560259919021E-12,gene_2472,,,
491949,1.08631000383317,2.23732554778247E-05,gene_4704,,,
298353,1.08415968566114,2.65814934505874E-14,gene_4491,,,
263012,1.0816235354155,1.68904598151828E-29,gene_3836,,,
496318,1.08084345844342,7.83056908343868E-41,gene_5960,,,
488858,1.08054193277623,1.31131084668476E-16,gene_3834,,,
479003,1.07953322633095,1.26748793242019E-20,gene_912,,,
477598,1.07571427049953,1.21402485864746E-25,gene_480,,,
545429,1.07379808766235,1.30586901602479E-26,gene_2843,,,
466787,1.07363505564173,1.99918757476444E-82,gene_5841,,,
513738,1.07300274701952,6.41090863776572E-10,gene_7579,,,
498149,1.07246347283216,4.2618256409591E-11,gene_6486,,,
205854,1.07103447281322,9.00993033455206E-35,gene_2649,,,
498687,1.0703415597864,7.59149456852024E-15,gene_6619,,,
493161,1.06895336195678,5.71343433954404E-36,gene_5062,,,
481068,1.06361109944365,1.81623169097649E-14,gene_1528,,,
