#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
173947	357768	STRG0A79TGQ.173947	STRG0A79TGQ.357768	0	0	0	0	0.840	0	0	0	0.840
173947	493352	STRG0A79TGQ.173947	STRG0A79TGQ.493352	0	0	0	0	0.454	0	0	0	0.454
178032	501937	STRG0A79TGQ.178032	STRG0A79TGQ.501937	0	0	0.148	0.541	0	0	0	0.456	0.517
271278	491915	STRG0A79TGQ.271278	STRG0A79TGQ.491915	0	0	0	0	0	0	0.620	0	0.620
292026	485881	STRG0A79TGQ.292026	STRG0A79TGQ.485881	0	0	0	0	0	0	0	0.414	0.414
347244	451721	STRG0A79TGQ.347244	STRG0A79TGQ.451721	0	0	0	0	0	0	0.844	0.431	0.907
357768	501937	STRG0A79TGQ.357768	STRG0A79TGQ.501937	0	0	0	0	0.670	0	0	0	0.670
357768	486874	STRG0A79TGQ.357768	STRG0A79TGQ.486874	0	0	0.241	0	0	0	0.257	0	0.412
357768	540460	STRG0A79TGQ.357768	STRG0A79TGQ.540460	0	0	0	0	0.437	0	0	0	0.437
357768	493945	STRG0A79TGQ.357768	STRG0A79TGQ.493945	0	0	0	0	0.652	0	0	0	0.652
358983	498483	STRG0A79TGQ.358983	STRG0A79TGQ.498483	0	0	0	0	0	0.331	0	0.374	0.563
358983	474399	STRG0A79TGQ.358983	STRG0A79TGQ.474399	0	0	0	0	0	0.523	0	0.296	0.650
440308	500058	STRG0A79TGQ.440308	STRG0A79TGQ.500058	0	0	0	0	0	0	0	0.588	0.588
44320	463365	STRG0A79TGQ.44320	STRG0A79TGQ.463365	0	0	0	0	0	0	0.560	0	0.560
44320	465452	STRG0A79TGQ.44320	STRG0A79TGQ.465452	0	0	0	0	0	0	0.657	0	0.657
44320	477714	STRG0A79TGQ.44320	STRG0A79TGQ.477714	0	0	0.139	0.397	0	0	0.877	0	0.890
44320	535025	STRG0A79TGQ.44320	STRG0A79TGQ.535025	0	0	0	0	0	0	0.657	0.142	0.693
443318	488363	STRG0A79TGQ.443318	STRG0A79TGQ.488363	0	0	0	0	0	0	0.531	0	0.531
