"","goAcc","Protein_ID","GO_terms"
"1","GO:0008800","   232","beta-lactamase activity"
"2","GO:0030655","   232","beta-lactam antibiotic catabolic process"
"3","GO:0046677","   232","response to antibiotic"
"4","GO:0005351","   370","carbohydrate:proton symporter activity"
"5","GO:0008643","   370","carbohydrate transport"
"6","GO:0016020","   370","membrane"
"7","GO:0005215","   370","transporter activity"
"8","GO:0006810","   370","transport"
"9","GO:0016021","   370","membrane"
"10","GO:0005524","  1107","ATP binding"
"11","GO:0016887","  1107","ATP hydrolysis activity"
"12","GO:0000166","  1107","nucleotide binding"
"13","GO:0017111","  1107","ribonucleoside triphosphate phosphatase activity"
"14","GO:0006810","  1107","transport"
"15","GO:0016021","  1107","membrane"
"16","GO:0042626","  1107","ATPase-coupled transmembrane transporter activity"
"17","GO:0004003","  1107","DNA helicase activity"
"18","GO:0004004","  1107","RNA helicase activity"
"19","GO:0008026","  1107","helicase activity"
"20","GO:0008094","  1107","ATP-dependent activity, acting on DNA"
"21","GO:0008186","  1107","ATP-dependent activity, acting on RNA"
"22","GO:0015462","  1107","ABC-type protein transporter activity"
"23","GO:0017116","  1107","single-stranded DNA helicase activity"
"24","GO:0042623","  1107","ATP hydrolysis activity"
"25","GO:0042624","  1107","obsolete ATPase activity, uncoupled"
"26","GO:0042625","  1107","ATPase-coupled ion transmembrane transporter activity"
"27","GO:0005351","  1991","carbohydrate:proton symporter activity"
"28","GO:0008643","  1991","carbohydrate transport"
"29","GO:0016020","  1991","membrane"
"30","GO:0005215","  1991","transporter activity"
"31","GO:0006810","  1991","transport"
"32","GO:0016021","  1991","membrane"
"33","GO:0006508","  2571","proteolysis"
"34","GO:0008237","  2571","metallopeptidase activity"
"35","GO:0016787","  2571","hydrolase activity"
"36","GO:0046983","  2571","protein dimerization activity"
"37","GO:0008234","  2571","cysteine-type peptidase activity"
"38","GO:0006950","  2738","response to stress"
"39","GO:0016021","  2738","membrane"
"40","GO:0005085","  2836","guanyl-nucleotide exchange factor activity"
"41","GO:0005622","  2836","intracellular anatomical structure"
"42","GO:0051056","  2836","regulation of small GTPase mediated signal transduction"
"43","GO:0005515","  2836","protein binding"
"44","GO:0007264","  2836","small GTPase mediated signal transduction"
"45","GO:0045480","  3076","galactose oxidase activity"
"46","GO:0008152","  3090","metabolic process"
"47","GO:0016491","  3090","oxidoreductase activity"
"48","GO:0008678","  3090","2-deoxy-D-gluconate 3-dehydrogenase activity"
"49","GO:0016491","  3274","oxidoreductase activity"
"50","GO:0003824","  3913","catalytic activity"
"51","GO:0004741","  3913","[pyruvate dehydrogenase (lipoamide)] phosphatase activity"
"52","GO:0019909","  3913","[pyruvate dehydrogenase (lipoamide)] phosphatase regulator activity"
"53","GO:0003677","  5396","DNA binding"
"54","GO:0003899","  5396","DNA-directed 5'-3' RNA polymerase activity"
"55","GO:0006350","  5396","DNA-templated transcription"
"56","GO:0031072","  5933","heat shock protein binding"
"57","GO:0005634","  7015","nucleus"
"58","GO:0006334","  7015","nucleosome assembly"
"59","GO:0005488","  7770","binding"
"60","GO:0004871","  7784","obsolete signal transducer activity"
"61","GO:0007186","  7784","G protein-coupled receptor signaling pathway"
"62","GO:0019001","  7784","guanyl nucleotide binding"
"63","GO:0007165","  7784","signal transduction"
"64","GO:0006810","  8257","transport"
"65","GO:0003676","  9268","nucleic acid binding"
"66","GO:0004553","  9431","hydrolase activity, hydrolyzing O-glycosyl compounds"
"67","GO:0005975","  9431","carbohydrate metabolic process"
"68","GO:0004564","  9431","beta-fructofuranosidase activity"
"69","GO:0005515","  9476","protein binding"
"70","GO:0008270","  9476","zinc ion binding"
"71","GO:0003677","  9665","DNA binding"
"72","GO:0005634","  9665","nucleus"
"73","GO:0006350","  9665","DNA-templated transcription"
"74","GO:0008270","  9665","zinc ion binding"
"75","GO:0005198"," 10532","structural molecule activity"
"76","GO:0016226"," 10532","iron-sulfur cluster assembly"
"77","GO:0051536"," 10532","iron-sulfur cluster binding"
"78","GO:0015137"," 11536","citrate transmembrane transporter activity"
"79","GO:0015746"," 11536","citrate transport"
"80","GO:0016021"," 11536","membrane"
"81","GO:0016020"," 12239","membrane"
"82","GO:0030001"," 12239","metal ion transport"
"83","GO:0046873"," 12239","metal ion transmembrane transporter activity"
"84","GO:0000166"," 14014","nucleotide binding"
"85","GO:0017111"," 14014","ribonucleoside triphosphate phosphatase activity"
"86","GO:0005524"," 14014","ATP binding"
"87","GO:0003677"," 14612","DNA binding"
"88","GO:0003700"," 14612","DNA-binding transcription factor activity"
"89","GO:0005507"," 14612","copper ion binding"
"90","GO:0005634"," 14612","nucleus"
"91","GO:0006355"," 14612","regulation of DNA-templated transcription"
"92","GO:0003677"," 14665","DNA binding"
"93","GO:0005524"," 14665","ATP binding"
"94","GO:0003676"," 14665","nucleic acid binding"
"95","GO:0004386"," 14665","helicase activity"
"96","GO:0003700"," 16851","DNA-binding transcription factor activity"
"97","GO:0005634"," 16851","nucleus"
"98","GO:0006355"," 16851","regulation of DNA-templated transcription"
"99","GO:0008270"," 16851","zinc ion binding"
"100","GO:0043565"," 16851","sequence-specific DNA binding"
"101","GO:0005515"," 17043","protein binding"
"102","GO:0008270"," 17043","zinc ion binding"
"103","GO:0008152"," 17395","metabolic process"
"104","GO:0016491"," 17395","oxidoreductase activity"
"105","GO:0004344"," 17395","glucose dehydrogenase activity"
"106","GO:0018446"," 17395","pinocarveol dehydrogenase activity"
"107","GO:0018447"," 17395","chloral hydrate dehydrogenase activity"
"108","GO:0018448"," 17395","hydroxymethylmethylsilanediol oxidase activity"
"109","GO:0018449"," 17395","1-phenylethanol dehydrogenase activity"
"110","GO:0018450"," 17395","myrtenol dehydrogenase activity"
"111","GO:0042469"," 17395","versicolorin reductase activity"
"112","GO:0045703"," 17395","ketoreductase activity"
"113","GO:0003700"," 17569","DNA-binding transcription factor activity"
"114","GO:0005634"," 17569","nucleus"
"115","GO:0006355"," 17569","regulation of DNA-templated transcription"
"116","GO:0043565"," 17569","sequence-specific DNA binding"
"117","GO:0000156"," 17569","phosphorelay response regulator activity"
"118","GO:0000160"," 17569","phosphorelay signal transduction system"
"119","GO:0003968"," 17595","RNA-dependent RNA polymerase activity"
"120","GO:0008112"," 18176","nicotinamide N-methyltransferase activity"
"121","GO:0051118"," 18376","glucan endo-1,3-alpha-glucosidase activity"
"122","GO:0008152"," 22001","metabolic process"
"123","GO:0016491"," 22001","oxidoreductase activity"
"124","GO:0005515"," 23129","protein binding"
"125","GO:0008152"," 23129","metabolic process"
"126","GO:0008415"," 23129","acyltransferase activity"
"127","GO:0004742"," 23129","dihydrolipoyllysine-residue acetyltransferase activity"
"128","GO:0009351"," 23129","obsolete dihydrolipoamide S-acyltransferase complex"
"129","GO:0030523"," 23129","dihydrolipoyllysine-residue acetyltransferase activity"
"130","GO:0016209"," 24006","antioxidant activity"
"131","GO:0016491"," 24006","oxidoreductase activity"
"132","GO:0051920"," 24006","peroxiredoxin activity"
"133","GO:0005524"," 25258","ATP binding"
"134","GO:0016773"," 25258","phosphotransferase activity, alcohol group as acceptor"
"135","GO:0008152"," 25258","metabolic process"
"136","GO:0016301"," 25258","kinase activity"
"137","GO:0004849"," 25258","uridine kinase activity"
"138","GO:0005488"," 25434","binding"
"139","GO:0005506"," 25526","iron ion binding"
"140","GO:0006118"," 25526","obsolete electron transport"
"141","GO:0016021"," 25526","membrane"
"142","GO:0016491"," 25526","oxidoreductase activity"
"143","GO:0050660"," 25526","flavin adenine dinucleotide binding"
"144","GO:0000293"," 25526","ferric-chelate reductase activity"
"145","GO:0005488"," 26637","binding"
"146","GO:0005515"," 27589","protein binding"
"147","GO:0008270"," 27589","zinc ion binding"
"148","GO:0004672"," 29107","protein kinase activity"
"149","GO:0005524"," 29107","ATP binding"
"150","GO:0006468"," 29107","protein phosphorylation"
"151","GO:0004674"," 29107","protein serine/threonine kinase activity"
"152","GO:0004693"," 29107","cyclin-dependent protein serine/threonine kinase activity"
"153","GO:0004659"," 29183","prenyltransferase activity"
"154","GO:0016021"," 29183","membrane"
"155","GO:0009058"," 29183","biosynthetic process"
"156","GO:0047293"," 29183","4-hydroxybenzoate nonaprenyltransferase activity"
"157","GO:0005509"," 29411","calcium ion binding"
"158","GO:0005488"," 29575","binding"
"159","GO:0016071"," 29936","mRNA metabolic process"
"160","GO:0030529"," 29936","ribonucleoprotein complex"
"161","GO:0006535"," 31545","cysteine biosynthetic process from serine"
"162","GO:0003824"," 31545","catalytic activity"
"163","GO:0008152"," 31545","metabolic process"
"164","GO:0030170"," 31545","pyridoxal phosphate binding"
"165","GO:0004124"," 31545","cysteine synthase activity"
"166","GO:0008152"," 32031","metabolic process"
"167","GO:0016491"," 32031","oxidoreductase activity"
"168","GO:0016404"," 32031","15-hydroxyprostaglandin dehydrogenase (NAD+) activity"
"169","GO:0008270"," 32495","zinc ion binding"
"170","GO:0003677"," 32495","DNA binding"
"171","GO:0004221"," 32834","obsolete ubiquitin thiolesterase activity"
"172","GO:0006511"," 32834","ubiquitin-dependent protein catabolic process"
"173","GO:0008270"," 32834","zinc ion binding"
"174","GO:0005488"," 33070","binding"
"175","GO:0003676"," 33911","nucleic acid binding"
"176","GO:0005524"," 33911","ATP binding"
"177","GO:0008026"," 33911","helicase activity"
"178","GO:0004386"," 33911","helicase activity"
"179","GO:0004553"," 34637","hydrolase activity, hydrolyzing O-glycosyl compounds"
"180","GO:0005975"," 34637","carbohydrate metabolic process"
"181","GO:0003824"," 34637","catalytic activity"
"182","GO:0030246"," 34637","carbohydrate binding"
"183","GO:0004558"," 34637","alpha-1,4-glucosidase activity"
"184","GO:0004221"," 34820","obsolete ubiquitin thiolesterase activity"
"185","GO:0006511"," 34820","ubiquitin-dependent protein catabolic process"
"186","GO:0000226"," 36331","microtubule cytoskeleton organization"
"187","GO:0000922"," 36331","spindle pole"
"188","GO:0005815"," 36331","microtubule organizing center"
"189","GO:0003676"," 36704","nucleic acid binding"
"190","GO:0004523"," 36704","RNA-DNA hybrid ribonuclease activity"
"191","GO:0003676"," 38468","nucleic acid binding"
"192","GO:0008270"," 38468","zinc ion binding"
"193","GO:0003677"," 39328","DNA binding"
"194","GO:0006306"," 39328","DNA methylation"
"195","GO:0003886"," 39328","DNA (cytosine-5-)-methyltransferase activity"
"196","GO:0051718"," 39328","DNA (cytosine-5-)-methyltransferase activity, acting on CpG substrates"
"197","GO:0051719"," 39328","DNA (cytosine-5-)-methyltransferase activity, acting on CpN substrates"
"198","GO:0051720"," 39328","DNA (cytosine-5-)-methyltransferase activity, acting on CpNpG substrates"
"199","GO:0005634"," 41101","nucleus"
"200","GO:0016021"," 41101","membrane"
"201","GO:0045449"," 41101","regulation of DNA-templated transcription"
"202","GO:0004518"," 41145","nuclease activity"
"203","GO:0006281"," 41145","DNA repair"
"204","GO:0003677"," 41145","DNA binding"
"205","GO:0003824"," 41145","catalytic activity"
"206","GO:0005634"," 41145","nucleus"
"207","GO:0003923"," 41145","GPI-anchor transamidase activity"
"208","GO:0043859"," 41145","obsolete cyanophycinase activity"
"209","GO:0051336"," 41145","regulation of hydrolase activity"
"210","GO:0005089"," 42191","guanyl-nucleotide exchange factor activity"
"211","GO:0005622"," 42191","intracellular anatomical structure"
"212","GO:0035023"," 42191","regulation of Rho protein signal transduction"
"213","GO:0003676"," 42316","nucleic acid binding"
"214","GO:0005622"," 42316","intracellular anatomical structure"
"215","GO:0008270"," 42316","zinc ion binding"
"216","GO:0004527"," 42467","exonuclease activity"
"217","GO:0005622"," 42467","intracellular anatomical structure"
"218","GO:0003676"," 42467","nucleic acid binding"
"219","GO:0004518"," 42467","nuclease activity"
"220","GO:0042578"," 42467","phosphoric ester hydrolase activity"
"221","GO:0043765"," 42467","T/G mismatch-specific endonuclease activity"
"222","GO:0005315"," 43874","inorganic phosphate transmembrane transporter activity"
"223","GO:0006817"," 43874","phosphate ion transport"
"224","GO:0016020"," 43874","membrane"
"225","GO:0005096"," 43934","GTPase activator activity"
"226","GO:0005622"," 43934","intracellular anatomical structure"
"227","GO:0051056"," 43934","regulation of small GTPase mediated signal transduction"
"228","GO:0008270"," 44320","zinc ion binding"
"229","GO:0016491"," 44320","oxidoreductase activity"
"230","GO:0008106"," 44320","alcohol dehydrogenase (NADP+) activity"
"231","GO:0004497"," 45043","monooxygenase activity"
"232","GO:0005506"," 45043","iron ion binding"
"233","GO:0006118"," 45043","obsolete electron transport"
"234","GO:0020037"," 45043","heme binding"
"235","GO:0018585"," 45043","fluorene oxygenase activity"
"236","GO:0018586"," 45043","mono-butyltin dioxygenase activity"
"237","GO:0018587"," 45043","obsolete limonene 8-monooxygenase activity"
"238","GO:0018588"," 45043","tri-n-butyltin dioxygenase activity"
"239","GO:0018589"," 45043","di-n-butyltin dioxygenase activity"
"240","GO:0018590"," 45043","methylsilanetriol hydroxylase activity"
"241","GO:0018591"," 45043","methyl tertiary butyl ether 3-monooxygenase activity"
"242","GO:0018592"," 45043","4-nitrocatechol 4-monooxygenase activity"
"243","GO:0018593"," 45043","4-chlorophenoxyacetate monooxygenase activity"
"244","GO:0018594"," 45043","tert-butanol 2-monooxygenase activity"
"245","GO:0018595"," 45043","alpha-pinene monooxygenase activity"
"246","GO:0018596"," 45043","dimethylsilanediol hydroxylase activity"
"247","GO:0018597"," 45043","ammonia monooxygenase activity"
"248","GO:0018598"," 45043","hydroxymethylsilanetriol oxidase activity"
"249","GO:0018599"," 45043","2-hydroxyisobutyrate 3-monooxygenase activity"
"250","GO:0018600"," 45043","alpha-pinene dehydrogenase activity"
"251","GO:0043823"," 45043","spheroidene monooxygenase activity"
"252","GO:0006118"," 45866","obsolete electron transport"
"253","GO:0016491"," 45866","oxidoreductase activity"
"254","GO:0010181"," 45866","FMN binding"
"255","GO:0003676"," 47072","nucleic acid binding"
"256","GO:0016071"," 47072","mRNA metabolic process"
"257","GO:0003723"," 47072","RNA binding"
"258","GO:0016491"," 47441","oxidoreductase activity"
"259","GO:0006118"," 47441","obsolete electron transport"
"260","GO:0020037"," 47441","heme binding"
"261","GO:0051536"," 47441","iron-sulfur cluster binding"
"262","GO:0010181"," 47441","FMN binding"
"263","GO:0004783"," 47441","sulfite reductase (NADPH) activity"
"264","GO:0008652"," 47441","amino acid biosynthetic process"
"265","GO:0009337"," 47441","sulfite reductase complex (NADPH)"
"266","GO:0050661"," 47441","NADP binding"
"267","GO:0051539"," 47441","4 iron, 4 sulfur cluster binding"
"268","GO:0003700"," 47686","DNA-binding transcription factor activity"
"269","GO:0005634"," 47686","nucleus"
"270","GO:0006355"," 47686","regulation of DNA-templated transcription"
"271","GO:0008270"," 47686","zinc ion binding"
"272","GO:0003677"," 47686","DNA binding"
"273","GO:0006350"," 47686","DNA-templated transcription"
"274","GO:0004719"," 47686","protein-L-isoaspartate (D-aspartate) O-methyltransferase activity"
"275","GO:0005634"," 48939","nucleus"
"276","GO:0005643"," 48939","nuclear pore"
"277","GO:0005737"," 48939","cytoplasm"
"278","GO:0006606"," 48939","protein import into nucleus"
"279","GO:0006886"," 48939","intracellular protein transport"
