proteinId,kogid
493134,KOG0009
493134,KOG0009
535025,KOG0022
44320,KOG0023
477714,KOG0023
498806,KOG0023
477764,KOG0024
478367,KOG0024
489240,KOG0024
493945,KOG0024
501526,KOG0036
449605,KOG0042
477465,KOG0054
492908,KOG0054
511529,KOG0055
488987,KOG0058
438449,KOG0062
438449,KOG0062
493376,KOG0063
545536,KOG0065
490091,KOG0069
541617,KOG0089
450436,KOG0101
489899,KOG0101
489992,KOG0102
449276,KOG0110
478299,KOG0118
484765,KOG0118
511056,KOG0118
482424,KOG0127
545441,KOG0132
545441,KOG0132
533821,KOG0133
533821,KOG0133
438737,KOG0134
438737,KOG0134
524239,KOG0139
540785,KOG0154
441150,KOG0157
441150,KOG0157
499860,KOG0202
492621,KOG0203
541550,KOG0216
180336,KOG0223
439189,KOG0223
491490,KOG0223
488439,KOG0238
488439,KOG0238
512195,KOG0252
73293,KOG0253
1991,KOG0254
291871,KOG0254
336144,KOG0254
438390,KOG0254
476044,KOG0254
486775,KOG0254
487404,KOG0254
487795,KOG0254
488415,KOG0254
491495,KOG0254
494927,KOG0254
508449,KOG0254
509078,KOG0254
509911,KOG0254
535023,KOG0254
14588,KOG0255
264729,KOG0255
444228,KOG0255
458405,KOG0255
469979,KOG0255
478876,KOG0255
480260,KOG0255
486036,KOG0255
487987,KOG0255
498304,KOG0255
515492,KOG0255
198829,KOG0262
512912,KOG0270
482667,KOG0271
441414,KOG0274
501365,KOG0279
456822,KOG0291
481275,KOG0294
499239,KOG0299
542305,KOG0306
493623,KOG0310
534687,KOG0313
534078,KOG0319
493510,KOG0327
315141,KOG0331
365368,KOG0331
365509,KOG0331
328374,KOG0335
442735,KOG0335
481584,KOG0337
491608,KOG0338
67269,KOG0342
451850,KOG0342
473614,KOG0343
484052,KOG0346
467906,KOG0348
459091,KOG0370
482143,KOG0370
484040,KOG0370
494373,KOG0378
499368,KOG0397
478135,KOG0398
484308,KOG0400
505195,KOG0401
495933,KOG0404
495604,KOG0407
200539,KOG0453
200539,KOG0453
463717,KOG0454
491719,KOG0460
508291,KOG0485
65248,KOG0490
504338,KOG0519
501087,KOG0537
263683,KOG0538
496495,KOG0552
486571,KOG0559
488765,KOG0567
478814,KOG0571
459963,KOG0572
358031,KOG0590
505666,KOG0590
479736,KOG0592
529435,KOG0605
510212,KOG0610
491835,KOG0621
487747,KOG0650
434973,KOG0660
437111,KOG0661
495432,KOG0668
495432,KOG0668
495432,KOG0668
451721,KOG0692
539829,KOG0712
182079,KOG0715
489238,KOG0723
252234,KOG0731
343415,KOG0733
493731,KOG0746
478566,KOG0752
505419,KOG0756
506463,KOG0757
536529,KOG0758
498604,KOG0759
505587,KOG0760
102612,KOG0761
300368,KOG0776
497070,KOG0787
506924,KOG0806
462812,KOG0816
498311,KOG0820
512941,KOG0829
497105,KOG0830
485202,KOG0832
24006,KOG0852
93554,KOG0872
483025,KOG0873
484414,KOG0878
496166,KOG0887
493141,KOG0893
543851,KOG0900
168653,KOG0927
482543,KOG0948
483449,KOG0953
532422,KOG0978
492553,KOG1002
486654,KOG1027
481632,KOG1038
481632,KOG1038
193714,KOG1043
457480,KOG1065
464948,KOG1070
478108,KOG1088
452245,KOG1098
452245,KOG1098
486913,KOG1122
501697,KOG1145
465504,KOG1175
485400,KOG1176
483926,KOG1178
496059,KOG1192
496059,KOG1192
493158,KOG1198
493158,KOG1198
265142,KOG1208
347512,KOG1208
469995,KOG1208
512494,KOG1225
512494,KOG1225
471404,KOG1237
539380,KOG1238
546719,KOG1239
546719,KOG1239
451569,KOG1248
495007,KOG1257
500682,KOG1260
443573,KOG1261
438006,KOG1272
492648,KOG1284
494988,KOG1286
511404,KOG1286
538760,KOG1286
505555,KOG1289
381089,KOG1303
494802,KOG1303
487333,KOG1336
506625,KOG1338
333834,KOG1341
248079,KOG1360
465499,KOG1371
487313,KOG1371
282260,KOG1396
121006,KOG1399
478173,KOG1435
478173,KOG1435
490444,KOG1458
491011,KOG1470
461149,KOG1490
480189,KOG1491
241340,KOG1499
241340,KOG1499
241340,KOG1499
486771,KOG1502
455646,KOG1515
451122,KOG1521
436112,KOG1539
463696,KOG1541
440118,KOG1560
201057,KOG1561
537040,KOG1570
494925,KOG1573
490627,KOG1575
498292,KOG1575
489460,KOG1578
480781,KOG1596
498575,KOG1600
478320,KOG1601
513031,KOG1601
493115,KOG1613
477448,KOG1615
480866,KOG1622
484304,KOG1646
496800,KOG1652
494057,KOG1670
489484,KOG1674
501420,KOG1678
488640,KOG1680
461134,KOG1685
477302,KOG1694
476915,KOG1697
484156,KOG1714
495693,KOG1715
96147,KOG1721
219661,KOG1721
494268,KOG1723
454894,KOG1728
492114,KOG1732
491824,KOG1733
470482,KOG1751
487061,KOG1753
481347,KOG1754
90357,KOG1765
491833,KOG1779
545315,KOG1839
172419,KOG1844
500140,KOG1865
490312,KOG1878
483482,KOG1919
459901,KOG1926
513466,KOG1950
180594,KOG1951
442910,KOG1956
486541,KOG1963
481615,KOG1980
471130,KOG1981
318427,KOG2024
484575,KOG2036
454065,KOG2038
454065,KOG2038
537425,KOG2040
494568,KOG2048
61042,KOG2049
233019,KOG2050
484931,KOG2061
158189,KOG2084
438142,KOG2102
90295,KOG2132
90295,KOG2132
452328,KOG2147
467115,KOG2153
467115,KOG2153
538438,KOG2154
501410,KOG2164
466746,KOG2171
466746,KOG2171
451770,KOG2172
247650,KOG2186
84496,KOG2187
435300,KOG2188
436453,KOG2201
442283,KOG2229
442283,KOG2229
546838,KOG2236
478925,KOG2249
450185,KOG2250
444221,KOG2256
433850,KOG2262
505271,KOG2262
465716,KOG2268
465716,KOG2268
485289,KOG2270
485289,KOG2270
166911,KOG2277
458542,KOG2294
435200,KOG2314
540450,KOG2318
488075,KOG2321
485890,KOG2333
500093,KOG2335
18009,KOG2340
476873,KOG2360
499042,KOG2361
53482,KOG2387
251548,KOG2396
498257,KOG2404
300337,KOG2409
506682,KOG2415
481551,KOG2423
485018,KOG2434
501223,KOG2448
102170,KOG2463
501004,KOG2466
509624,KOG2466
