proteinId,kogid
535025,KOG0022
44320,KOG0023
477714,KOG0023
485414,KOG0023
477764,KOG0024
478367,KOG0024
493945,KOG0024
443644,KOG0039
489155,KOG0039
443644,KOG0039
489155,KOG0039
59445,KOG0061
485763,KOG0069
490091,KOG0069
546551,KOG0123
546551,KOG0123
473774,KOG0133
473774,KOG0133
438737,KOG0134
438737,KOG0134
421953,KOG0143
439128,KOG0143
421953,KOG0143
439128,KOG0143
526822,KOG0172
180336,KOG0223
439189,KOG0223
493734,KOG0223
73293,KOG0253
143686,KOG0254
438390,KOG0254
459624,KOG0254
476044,KOG0254
485736,KOG0254
487404,KOG0254
488415,KOG0254
494927,KOG0254
498719,KOG0254
507099,KOG0254
508571,KOG0254
465251,KOG0255
478876,KOG0255
480260,KOG0255
481039,KOG0256
474399,KOG0297
489498,KOG0409
498483,KOG0416
477357,KOG0530
109017,KOG0538
500582,KOG0558
477505,KOG0602
529435,KOG0605
478026,KOG0683
451721,KOG0692
462717,KOG0725
470092,KOG0725
479744,KOG0725
490701,KOG0754
513814,KOG0785
483789,KOG0813
488002,KOG0856
497103,KOG0867
358983,KOG0944
71299,KOG1014
500058,KOG1119
500058,KOG1119
488363,KOG1186
496059,KOG1192
496059,KOG1192
540101,KOG1196
143891,KOG1198
257278,KOG1198
485881,KOG1198
496348,KOG1198
143891,KOG1198
257278,KOG1198
485881,KOG1198
496348,KOG1198
512494,KOG1225
512494,KOG1225
539380,KOG1238
221553,KOG1286
500964,KOG1286
488430,KOG1289
504739,KOG1289
87007,KOG1292
508856,KOG1336
121006,KOG1399
488999,KOG1402
443318,KOG1502
476298,KOG1502
545899,KOG1502
455646,KOG1515
483473,KOG1558
486383,KOG1571
13894,KOG1575
292026,KOG1575
490627,KOG1575
498292,KOG1575
289661,KOG1601
22001,KOG1611
510689,KOG1611
318427,KOG2024
26637,KOG2213
489524,KOG2426
463365,KOG2450
492162,KOG2450
465452,KOG2453
487408,KOG2504
506618,KOG2504
185576,KOG2533
292307,KOG2533
453006,KOG2533
500834,KOG2533
505806,KOG2533
511418,KOG2533
500850,KOG2565
487656,KOG2601
485565,KOG2618
497425,KOG2686
476733,KOG2728
483415,KOG2741
483415,KOG2741
490609,KOG2795
487221,KOG2852
512587,KOG2944
491915,KOG3049
85931,KOG3098
546027,KOG3098
489152,KOG3145
461501,KOG3179
478019,KOG3179
537812,KOG3275
493334,KOG3378
500383,KOG3386
494935,KOG3399
513536,KOG3496
194686,KOG3561
443571,KOG3670
500945,KOG3699
500945,KOG3699
12239,KOG3907
440308,KOG4020
382679,KOG4178
481299,KOG4498
486684,KOG4498
481789,KOG4650
513628,KOG4650
517274,KOG4733
