ecNum,#proteinId
3.6.3.29,59445
4.1.1.-,75285
4.1.1.-,75285
4.1.1.-,75285
4.1.1.-,75285
4.1.1.-,75285
4.1.1.-,75285
4.1.1.-,75285
4.1.1.-,75285
4.1.1.-,75285
4.1.1.-,75285
4.1.1.-,75285
4.1.1.-,75285
4.1.1.-,75285
4.1.1.-,75285
1.97.1.4,106166
2.7.1.17,198172
2.1.1.-,298123
2.1.1.-,298123
2.1.1.-,298123
2.1.1.-,298123
2.1.1.-,298123
2.1.1.-,298123
2.1.1.-,298123
2.1.1.-,298123
1.10.3.3,443002
1.97.1.4,453006
1.1.1.30,470092
1.1.1.30,470092
1.1.1.40,484708
1.1.1.40,484708
2.6.1.13,488999
2.6.1.13,488999
2.4.1.155,493090
1.1.1.40,503648
1.1.1.40,503648
3.5.3.1,515251
3.5.3.1,515251
