proteinId,kogid
485414,KOG0023
477764,KOG0024
478367,KOG0024
421953,KOG0143
439128,KOG0143
421953,KOG0143
439128,KOG0143
439189,KOG0223
143686,KOG0254
459624,KOG0254
476044,KOG0254
485736,KOG0254
488415,KOG0254
507099,KOG0254
465251,KOG0255
481039,KOG0256
489498,KOG0409
500582,KOG0558
477505,KOG0602
529435,KOG0605
478026,KOG0683
479744,KOG0725
490701,KOG0754
513814,KOG0785
497103,KOG0867
71299,KOG1014
488363,KOG1186
257278,KOG1198
485881,KOG1198
496348,KOG1198
257278,KOG1198
485881,KOG1198
496348,KOG1198
512494,KOG1225
512494,KOG1225
504739,KOG1289
87007,KOG1292
508856,KOG1336
121006,KOG1399
488999,KOG1402
443318,KOG1502
476298,KOG1502
545899,KOG1502
486383,KOG1571
13894,KOG1575
498292,KOG1575
289661,KOG1601
22001,KOG1611
510689,KOG1611
463365,KOG2450
492162,KOG2450
465452,KOG2453
506618,KOG2504
453006,KOG2533
500850,KOG2565
483415,KOG2741
483415,KOG2741
546027,KOG3098
489152,KOG3145
461501,KOG3179
478019,KOG3179
494935,KOG3399
382679,KOG4178
486684,KOG4498
