proteinId,kogid
485414,KOG0023
477764,KOG0024
478367,KOG0024
535319,KOG0039
535319,KOG0039
483020,KOG0101
475898,KOG0134
475898,KOG0134
421953,KOG0143
439128,KOG0143
421953,KOG0143
439128,KOG0143
499748,KOG0221
439189,KOG0223
9431,KOG0228
143686,KOG0254
220860,KOG0254
342882,KOG0254
459624,KOG0254
462501,KOG0254
476044,KOG0254
480369,KOG0254
485736,KOG0254
488415,KOG0254
497892,KOG0254
499487,KOG0254
507099,KOG0254
514651,KOG0254
464238,KOG0255
465251,KOG0255
481039,KOG0256
443935,KOG0257
489498,KOG0409
507138,KOG0427
443173,KOG0471
485857,KOG0503
513684,KOG0540
513684,KOG0540
500582,KOG0558
491098,KOG0569
477505,KOG0602
529435,KOG0605
497895,KOG0626
485787,KOG0634
512731,KOG0659
512731,KOG0659
512731,KOG0659
478026,KOG0683
508353,KOG0715
479744,KOG0725
479762,KOG0725
458898,KOG0743
490701,KOG0754
513814,KOG0785
84518,KOG0859
497103,KOG0867
39328,KOG0919
71299,KOG1014
488363,KOG1186
71418,KOG1193
257278,KOG1198
485881,KOG1198
496348,KOG1198
257278,KOG1198
485881,KOG1198
496348,KOG1198
256397,KOG1212
493021,KOG1212
256397,KOG1212
493021,KOG1212
256397,KOG1212
493021,KOG1212
512494,KOG1225
512494,KOG1225
499480,KOG1235
291975,KOG1287
504739,KOG1289
87007,KOG1292
345158,KOG1303
496950,KOG1310
499571,KOG1315
508856,KOG1336
488436,KOG1382
121006,KOG1399
476177,KOG1399
488999,KOG1402
504469,KOG1405
509593,KOG1415
484231,KOG1471
443318,KOG1502
476298,KOG1502
481054,KOG1502
545899,KOG1502
380009,KOG1515
513743,KOG1515
486383,KOG1571
13894,KOG1575
498292,KOG1575
496972,KOG1577
289661,KOG1601
484274,KOG1605
22001,KOG1611
510689,KOG1611
489665,KOG1679
508510,KOG1725
483710,KOG1743
106272,KOG1794
258385,KOG1863
476825,KOG2121
497909,KOG2230
482620,KOG2260
516938,KOG2262
481070,KOG2273
467200,KOG2439
463365,KOG2450
492162,KOG2450
490825,KOG2451
465452,KOG2453
370809,KOG2466
485812,KOG2466
370809,KOG2466
485812,KOG2466
479958,KOG2495
506618,KOG2504
174669,KOG2533
257070,KOG2533
453006,KOG2533
493075,KOG2533
512335,KOG2533
497041,KOG2564
500850,KOG2565
481987,KOG2585
496344,KOG2614
496344,KOG2614
487560,KOG2702
487560,KOG2702
483415,KOG2741
483415,KOG2741
441099,KOG2841
487819,KOG2895
482078,KOG2919
490434,KOG3022
492368,KOG3086
546027,KOG3098
489152,KOG3145
461501,KOG3179
478019,KOG3179
501844,KOG3328
502072,KOG3362
494935,KOG3399
490176,KOG3743
510132,KOG3772
490920,KOG3798
194376,KOG3892
320651,KOG4062
382679,KOG4178
492276,KOG4203
492276,KOG4203
486684,KOG4498
392954,KOG4821
