proteinId	kogid
470847	KOG0001
470847	KOG0001
481646	KOG0002
489724	KOG0003
534608	KOG0004
480056	KOG0005
480056	KOG0005
464153	KOG0007
60013	KOG0008
493134	KOG0009
493134	KOG0009
486589	KOG0010
486589	KOG0010
493504	KOG0011
57183	KOG0012
487973	KOG0014
424262	KOG0015
487026	KOG0018
482694	KOG0019
492408	KOG0020
534126	KOG0021
535025	KOG0022
44320	KOG0023
441458	KOG0023
444478	KOG0023
477714	KOG0023
485414	KOG0023
498806	KOG0023
508696	KOG0023
536845	KOG0023
544955	KOG0023
74256	KOG0024
477764	KOG0024
478367	KOG0024
489240	KOG0024
490576	KOG0024
491250	KOG0024
493945	KOG0024
498536	KOG0024
505884	KOG0024
513499	KOG0024
532355	KOG0024
543318	KOG0024
478373	KOG0027
511575	KOG0027
513201	KOG0028
513201	KOG0028
435667	KOG0029
478103	KOG0029
507224	KOG0031
111534	KOG0032
442090	KOG0032
453247	KOG0032
504282	KOG0032
482042	KOG0034
479857	KOG0035
501526	KOG0036
490711	KOG0037
25526	KOG0039
295308	KOG0039
435551	KOG0039
437092	KOG0039
443644	KOG0039
471301	KOG0039
481341	KOG0039
488257	KOG0039
489155	KOG0039
489888	KOG0039
497493	KOG0039
535319	KOG0039
25526	KOG0039
295308	KOG0039
435551	KOG0039
437092	KOG0039
443644	KOG0039
471301	KOG0039
481341	KOG0039
488257	KOG0039
489155	KOG0039
489888	KOG0039
497493	KOG0039
535319	KOG0039
449605	KOG0042
434635	KOG0044
513649	KOG0045
513649	KOG0045
468089	KOG0046
115877	KOG0047
485750	KOG0047
488197	KOG0047
491092	KOG0047
539801	KOG0048
480818	KOG0050
480818	KOG0050
209064	KOG0051
484471	KOG0052
448998	KOG0053
449879	KOG0053
492997	KOG0053
534712	KOG0053
1107	KOG0054
434922	KOG0054
439150	KOG0054
439598	KOG0054
439754	KOG0054
460085	KOG0054
473167	KOG0054
477465	KOG0054
478504	KOG0054
491777	KOG0054
492908	KOG0054
493486	KOG0054
501830	KOG0054
507031	KOG0054
462688	KOG0055
476019	KOG0055
511529	KOG0055
501755	KOG0056
491426	KOG0057
488987	KOG0058
496494	KOG0058
500487	KOG0059
500487	KOG0059
59445	KOG0061
130517	KOG0061
172749	KOG0061
484202	KOG0061
438449	KOG0062
478430	KOG0062
492906	KOG0062
523025	KOG0062
438449	KOG0062
478430	KOG0062
492906	KOG0062
523025	KOG0062
493376	KOG0063
479661	KOG0064
480559	KOG0064
493239	KOG0065
497050	KOG0065
520187	KOG0065
520310	KOG0065
545536	KOG0065
488192	KOG0068
493626	KOG0068
536008	KOG0068
178414	KOG0069
253871	KOG0069
476193	KOG0069
485763	KOG0069
490091	KOG0069
494300	KOG0069
500833	KOG0069
500838	KOG0069
506916	KOG0069
477332	KOG0070
485433	KOG0070
496608	KOG0070
386989	KOG0071
493961	KOG0073
