proteinId,kogid
513201,KOG0028
513201,KOG0028
443644,KOG0039
471301,KOG0039
443644,KOG0039
471301,KOG0039
59445,KOG0061
421953,KOG0143
421953,KOG0143
180336,KOG0223
493734,KOG0223
220860,KOG0254
497892,KOG0254
477925,KOG0519
470092,KOG0725
496059,KOG1192
496059,KOG1192
484708,KOG1257
503648,KOG1257
443002,KOG1263
500964,KOG1286
488999,KOG1402
198172,KOG2531
106166,KOG2533
453006,KOG2533
490577,KOG2626
490577,KOG2626
515251,KOG2965
298123,KOG3010
482329,KOG3056
506965,KOG3186
539094,KOG3186
491066,KOG4686
