#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
456667	476714	STRG0A79TGQ.456667	STRG0A79TGQ.476714	0	0	0	0	0.454	0	0.950	0	0.972
456667	488095	STRG0A79TGQ.456667	STRG0A79TGQ.488095	0	0	0	0	0.543	0.322	0.594	0.208	0.887
456667	493242	STRG0A79TGQ.456667	STRG0A79TGQ.493242	0	0	0	0	0.416	0	0.987	0.171	0.993
476714	488095	STRG0A79TGQ.476714	STRG0A79TGQ.488095	0	0	0	0	0.277	0.942	0.978	0.129	0.999
476714	493242	STRG0A79TGQ.476714	STRG0A79TGQ.493242	0	0	0	0	0.274	0	0.987	0.350	0.993
477422	488095	STRG0A79TGQ.477422	STRG0A79TGQ.488095	0	0	0	0	0	0	0.899	0	0.899
485861	488095	STRG0A79TGQ.485861	STRG0A79TGQ.488095	0	0	0	0	0	0	0.556	0	0.556
488095	493242	STRG0A79TGQ.488095	STRG0A79TGQ.493242	0	0	0	0	0.485	0.990	0.654	0.086	0.998
488095	548724	STRG0A79TGQ.488095	STRG0A79TGQ.548724	0	0	0	0	0.358	0	0.881	0	0.920
493242	548724	STRG0A79TGQ.493242	STRG0A79TGQ.548724	0	0	0	0	0.331	0	0	0.455	0.620
496228	497663	STRG0A79TGQ.496228	STRG0A79TGQ.497663	0	0	0	0	0.462	0.910	0	0	0.950
