GO_ID,Protein
GO:0008483,E6QZM9
GO:0009058,E6QZM9
GO:0030170,E6QZM9
GO:0008483,E6R9R0
GO:0009058,E6R9R0
GO:0030170,E6R9R0
GO:0042853,E6R9R0
GO:0000166,E6R2U4
GO:0004354,E6R2U4
GO:0006520,E6R2U4
GO:0000287,E6R9G4
GO:0004749,E6R9G4
GO:0009165,E6R9G4
GO:0005975,E6R3A5
GO:0009331,E6R3A5
GO:0042803,E6R3A5
GO:0046168,E6R3A5
GO:0047952,E6R3A5
GO:0051287,E6R3A5
GO:0004638,E6R707
GO:0005524,E6R707
GO:0006189,E6R707
GO:0043727,E6R707
GO:0046872,E6R707
GO:0006086,E6R9X8
GO:0016746,E6R9X8
GO:0045254,E6R9X8
GO:0004742,E6R414
GO:0005739,E6R414
GO:0006086,E6R414
GO:0045254,E6R414
GO:0003824,E6QXK2
GO:0006163,E6QXK2
GO:0004739,E6R7M0
GO:0006086,E6R7M0
GO:0043231,E6R7M0
GO:0000287,E6R3H0
GO:0004743,E6R3H0
GO:0005524,E6R3H0
GO:0016301,E6R3H0
GO:0016310,E6R3H0
GO:0030955,E6R3H0
GO:0003872,E6R4V9
GO:0005524,E6R4V9
GO:0005737,E6R4V9
GO:0006002,E6R4V9
GO:0046872,E6R4V9
GO:0004169,E6RBP4
GO:0005789,E6RBP4
GO:0004828,E6R1G0
GO:0005524,E6R1G0
GO:0006434,E6R1G0
GO:0004820,E6R8M0
GO:0005524,E6R8M0
GO:0005737,E6R8M0
GO:0006426,E6R8M0
GO:0000049,E6RC94
GO:0004826,E6RC94
GO:0005524,E6RC94
GO:0005737,E6RC94
GO:0006432,E6RC94
GO:0046872,E6RC94
GO:0000287,E6R1M2
GO:0003723,E6R1M2
GO:0004826,E6R1M2
GO:0005524,E6R1M2
GO:0005737,E6R1M2
GO:0006432,E6R1M2
GO:0000287,E6R909
GO:0008897,E6R909
GO:0003676,E6RBA6
GO:0004824,E6RBA6
GO:0005524,E6RBA6
GO:0005737,E6RBA6
GO:0006430,E6RBA6
GO:0004043,E6RA46
GO:0019878,E6RA46
GO:0031177,E6RA46
GO:0004410,E6R3P4
GO:0019878,E6R3P4
GO:0004754,E6RBN1
GO:0019878,E6RBN1
GO:0004066,E6REM3
GO:0005524,E6REM3
GO:0006529,E6REM3
GO:0006541,E6REM3
GO:0003676,E6R6N6
GO:0004816,E6R6N6
GO:0005524,E6R6N6
GO:0006421,E6R6N6
GO:0003855,E6R0Z8
GO:0003856,E6R0Z8
GO:0003866,E6R0Z8
GO:0004764,E6R0Z8
GO:0004765,E6R0Z8
GO:0005524,E6R0Z8
GO:0005737,E6R0Z8
GO:0008652,E6R0Z8
GO:0009073,E6R0Z8
GO:0009423,E6R0Z8
GO:0016310,E6R0Z8
GO:0046872,E6R0Z8
GO:0004107,E6REB5
GO:0008652,E6REB5
GO:0009073,E6REB5
GO:0009423,E6REB5
GO:0003849,E6RBZ6
GO:0008652,E6RBZ6
GO:0009073,E6RBZ6
GO:0000105,E6REU2
GO:0004424,E6REU2
GO:0000105,E6R154
GO:0003949,E6R154
GO:0005737,E6R154
GO:0000105,E6RBP7
GO:0004399,E6RBP7
GO:0004635,E6RBP7
GO:0004636,E6RBP7
GO:0005524,E6RBP7
GO:0046872,E6RBP7
GO:0051287,E6RBP7
GO:0000105,E6R3S3
GO:0000287,E6R3S3
GO:0003879,E6R3S3
GO:0005737,E6R3S3
GO:0004821,E6R2R2
GO:0000105,E6R1W4
GO:0004401,E6R1W4
GO:0000105,E6QZM5
GO:0004400,E6QZM5
GO:0030170,E6QZM5
GO:0004817,E6R1B1
GO:0005524,E6R1B1
GO:0005737,E6R1B1
GO:0006423,E6R1B1
GO:0046872,E6R1B1
GO:0004834,E6QYA2
GO:0004830,E6R526
GO:0005524,E6R526
GO:0006436,E6R526
GO:0000162,E6QYR3
GO:0004048,E6QYR3
GO:0000162,E6RAF0
GO:0004049,E6RAF0
GO:0004425,E6RAF0
GO:0004640,E6RAF0
GO:0006541,E6RAF0
GO:0000162,E6R7X2
GO:0004049,E6R7X2
GO:0004818,E6R7H0
GO:0005524,E6R7H0
GO:0005737,E6R7H0
GO:0006424,E6R7H0
GO:0004585,E6R1R8
GO:0016597,E6R1R8
GO:0004814,E6R9T2
GO:0005524,E6R9T2
GO:0005737,E6R9T2
GO:0006420,E6R9T2
GO:0003942,E6R874
GO:0003991,E6R874
GO:0005524,E6R874
GO:0005739,E6R874
GO:0006526,E6R874
GO:0016310,E6R874
GO:0046983,E6R874
GO:0051287,E6R874
GO:0070401,E6R874
GO:0004042,E6R4C9
GO:0004358,E6R4C9
GO:0005759,E6R4C9
GO:0006526,E6R4C9
GO:0103045,E6R4C9
GO:0003992,E6QY75
GO:0006526,E6QY75
GO:0030170,E6QY75
GO:0004815,E6RA28
GO:0005524,E6RA28
GO:0005737,E6RA28
GO:0006422,E6RA28
GO:0000049,E6RG68
GO:0002161,E6RG68
GO:0004822,E6RG68
GO:0005524,E6RG68
GO:0006428,E6RG68
GO:0004829,E6R1F3
GO:0005524,E6R1F3
GO:0005737,E6R1F3
GO:0006435,E6R1F3
GO:0000049,E6R844
GO:0004813,E6R844
GO:0005524,E6R844
GO:0005739,E6R844
GO:0008270,E6R844
GO:0070143,E6R844
GO:0009058,E6R5P6
GO:0016747,E6R5P6
GO:0000103,E6RB68
GO:0004020,E6RB68
GO:0004781,E6RB68
GO:0005524,E6RB68
GO:0005737,E6RB68
GO:0009086,E6RB68
GO:0019344,E6RB68
GO:0070814,E6RB68
GO:0004604,E6QZE1
GO:0019344,E6QZE1
GO:0019379,E6QZE1
GO:0015035,E6R1Q8
GO:0004783,E6R5J5
GO:0009337,E6R5J5
GO:0010181,E6R5J5
GO:0019344,E6R5J5
GO:0020037,E6R5J5
GO:0046872,E6R5J5
GO:0050661,E6R5J5
GO:0051539,E6R5J5
GO:0016491,E6R903
GO:0004455,E6R847
GO:0005739,E6R847
GO:0009097,E6R847
GO:0009099,E6R847
GO:0046872,E6R847
GO:0004160,E6RET1
GO:0009097,E6RET1
GO:0009099,E6RET1
GO:0046872,E6RET1
GO:0051537,E6RET1
GO:0005737,E6RG49
GO:0009097,E6RG49
GO:0009099,E6RG49
GO:1990610,E6RG49
GO:0004073,E6R0E6
GO:0009088,E6R0E6
GO:0009089,E6R0E6
GO:0046983,E6R0E6
GO:0050661,E6R0E6
GO:0051287,E6R0E6
GO:0004072,E6RC71
GO:0004412,E6RC71
GO:0009086,E6RC71
GO:0009088,E6RC71
GO:0009097,E6RC71
GO:0050661,E6RC71
GO:0004350,E6R5C0
GO:0050661,E6R5C0
GO:0055129,E6R5C0
GO:0002161,E6QYW8
GO:0004827,E6QYW8
GO:0005524,E6QYW8
GO:0005737,E6QYW8
GO:0006433,E6QYW8
GO:0004735,E6R8L9
GO:0055129,E6R8L9
GO:0004665,E6RD41
GO:0006571,E6RD41
GO:0008977,E6RD41
GO:0004413,E6RBD2
GO:0005524,E6RBD2
GO:0009088,E6RBD2
GO:0016310,E6RBD2
GO:0004795,E6R185
GO:0009088,E6R185
GO:0030170,E6R185
GO:0004825,E6R4J8
GO:0005524,E6R4J8
GO:0006431,E6R4J8
GO:0002161,E6RF84
GO:0004823,E6RF84
GO:0005524,E6RF84
GO:0006429,E6RF84
GO:0000287,E6RAB5
GO:0046553,E6RAB5
GO:0051287,E6RAB5
GO:0003852,E6RET0
GO:0009098,E6RET0
GO:0046872,E6RET0
GO:0006021,E6R988
GO:0008934,E6R988
GO:0046872,E6R988
GO:0052832,E6R988
GO:0052833,E6R988
GO:0004791,E6R8G9
GO:0005737,E6R8G9
GO:0019430,E6R8G9
GO:0140907,E6R8G9
GO:0000287,E6R1W1
GO:0004019,E6R1W1
GO:0005525,E6R1W1
GO:0005737,E6R1W1
GO:0044208,E6R1W1
GO:0003871,E6RDE6
GO:0008270,E6RDE6
GO:0009086,E6RDE6
GO:0032259,E6RDE6
GO:0004489,E6QYL4
GO:0006555,E6QYL4
GO:0035999,E6QYL4
GO:0004639,E6R023
GO:0004831,E6R023
GO:0005524,E6R023
GO:0006189,E6R023
GO:0006437,E6R023
GO:0004148,E6RBS8
GO:0050660,E6RBS8
GO:0140907,E6RBS8
GO:0008654,E6REI3
GO:0016020,E6REI3
GO:0016780,E6REI3
GO:0004512,E6R2Q7
GO:0006021,E6R2Q7
GO:0008654,E6R2Q7
GO:0008654,E6R2J0
GO:0016020,E6R2J0
GO:0016780,E6R2J0
GO:0004108,E6QZU1
GO:0006099,E6QZU1
GO:0006101,E6QZU1
GO:0004648,E6REJ7
GO:0006564,E6REJ7
GO:0005524,E6QXY6
GO:0016020,E6QXY6
GO:0016887,E6QXY6
GO:0003989,E6R880
GO:0004075,E6R880
GO:0005524,E6R880
GO:0006633,E6R880
GO:0046872,E6R880
GO:2001295,E6R880
GO:0004077,E6R2T3
GO:0036211,E6R2T3
GO:0000287,E6R621
GO:0004312,E6R621
GO:0004315,E6R621
GO:0004316,E6R621
GO:0005835,E6R621
GO:0008897,E6R621
GO:0042759,E6R621
GO:0004312,E6R622
GO:0004313,E6R622
GO:0004314,E6R622
GO:0004317,E6R622
GO:0004318,E6R622
GO:0004320,E6R622
GO:0005835,E6R622
GO:0006633,E6R622
GO:0008659,E6R622
GO:0008897,E6R622
GO:0016295,E6R622
GO:0016296,E6R622
GO:0000773,E6RBN9
GO:0005789,E6RBN9
GO:0006656,E6RBN9
GO:0031966,E6RBN9
GO:0032259,E6RBN9
GO:0080101,E6RBN9
GO:0005743,E6R1Q1
GO:0006207,E6R1Q1
GO:0044205,E6R1Q1
GO:0106430,E6R1Q1
GO:0004013,E6RCY7
GO:0006730,E6RCY7
GO:0004161,E6R636
GO:0004337,E6R636
GO:0008299,E6R636
GO:0003958,E6R3Q5
GO:0005741,E6R3Q5
GO:0005789,E6R3Q5
GO:0005886,E6R3Q5
GO:0006696,E6R3Q5
GO:0010181,E6R3Q5
GO:0050660,E6R3Q5
GO:0050661,E6R3Q5
GO:0016020,E6R000
GO:0016126,E6R000
GO:0016628,E6R000
GO:0006694,E6QZL8
GO:0008168,E6QZL8
GO:0032259,E6QZL8
GO:0004497,E6R7T9
GO:0005506,E6R7T9
GO:0016705,E6R7T9
GO:0020037,E6R7T9
GO:0016020,E6R1T5
GO:0016126,E6R1T5
GO:0016628,E6R1T5
GO:0005506,E6QXX4
GO:0008610,E6QXX4
GO:0016020,E6QXX4
GO:0016491,E6QXX4
GO:0044255,E6QXX4
GO:0004637,E6RFU3
GO:0004641,E6RFU3
GO:0005524,E6RFU3
GO:0006189,E6RFU3
GO:0009113,E6RFU3
GO:0046872,E6RFU3
GO:0004310,E6R252
