proteinId,kogid
513499,KOG0024
507224,KOG0031
486614,KOG0090
504990,KOG0157
504990,KOG0157
483662,KOG0198
499748,KOG0221
478716,KOG0236
434085,KOG0254
449198,KOG0254
488377,KOG0254
506180,KOG0254
506193,KOG0254
198141,KOG0379
470991,KOG0379
496051,KOG0380
506158,KOG0440
455308,KOG0478
488079,KOG0481
513559,KOG0583
501816,KOG0605
497895,KOG0626
485787,KOG0634
512731,KOG0659
512731,KOG0659
512731,KOG0659
438812,KOG0676
492265,KOG0676
498934,KOG0682
3913,KOG0700
184257,KOG0716
62614,KOG0725
496711,KOG0725
496925,KOG0736
524057,KOG0798
464301,KOG0809
352310,KOG0817
484221,KOG0817
480053,KOG0822
495912,KOG0936
474347,KOG0965
498687,KOG1106
497718,KOG1125
484451,KOG1161
444598,KOG1167
493564,KOG1167
462292,KOG1237
72730,KOG1274
498149,KOG1286
496950,KOG1310
499571,KOG1315
466787,KOG1363
513743,KOG1515
496972,KOG1577
347270,KOG1604
484274,KOG1605
22001,KOG1611
482731,KOG1625
508510,KOG1725
434549,KOG1805
481068,KOG1817
475978,KOG1843
491112,KOG1944
513454,KOG1947
538791,KOG1953
266437,KOG1968
433947,KOG1969
433947,KOG1969
495701,KOG1974
298353,KOG1982
465353,KOG2011
478761,KOG2058
440016,KOG2065
488685,KOG2221
498865,KOG2267
499928,KOG2273
499185,KOG2283
499185,KOG2283
367265,KOG2294
466258,KOG2308
466258,KOG2308
449598,KOG2348
482852,KOG2391
482852,KOG2391
448110,KOG2533
512335,KOG2533
489615,KOG2543
488057,KOG2614
488057,KOG2614
490704,KOG2743
485571,KOG2747
507272,KOG2806
441099,KOG2841
546284,KOG2879
482078,KOG2919
480514,KOG2928
476866,KOG2946
498200,KOG3004
498817,KOG3069
489760,KOG3121
477622,KOG3303
501844,KOG3328
491325,KOG3413
509835,KOG3444
529511,KOG3561
488514,KOG3566
104406,KOG3699
104406,KOG3699
490920,KOG3798
477598,KOG3847
501747,KOG3896
478781,KOG3958
511572,KOG4019
511572,KOG4019
155751,KOG4132
480425,KOG4308
378139,KOG4705
263012,KOG4765
486108,KOG4780
