#node	identifier	category	term ID	term description
104438	STRG0A79TGQ.104438	GO Process	GO:0000715	Nucleotide-excision repair, DNA damage recognition
104438	STRG0A79TGQ.104438	GO Process	GO:0006139	Nucleobase-containing compound metabolic process
104438	STRG0A79TGQ.104438	GO Process	GO:0006351	Transcription, DNA-templated
104438	STRG0A79TGQ.104438	GO Process	GO:0006355	Regulation of transcription, DNA-templated
104438	STRG0A79TGQ.104438	GO Process	GO:0006357	Regulation of transcription by RNA polymerase II
104438	STRG0A79TGQ.104438	GO Process	GO:0006725	Cellular aromatic compound metabolic process
104438	STRG0A79TGQ.104438	GO Process	GO:0006807	Nitrogen compound metabolic process
104438	STRG0A79TGQ.104438	GO Process	GO:0008152	Metabolic process
104438	STRG0A79TGQ.104438	GO Process	GO:0009058	Biosynthetic process
104438	STRG0A79TGQ.104438	GO Process	GO:0009059	Macromolecule biosynthetic process
104438	STRG0A79TGQ.104438	GO Process	GO:0009889	Regulation of biosynthetic process
104438	STRG0A79TGQ.104438	GO Process	GO:0009891	Positive regulation of biosynthetic process
104438	STRG0A79TGQ.104438	GO Process	GO:0009893	Positive regulation of metabolic process
104438	STRG0A79TGQ.104438	GO Process	GO:0009987	Cellular process
104438	STRG0A79TGQ.104438	GO Process	GO:0010467	Gene expression
104438	STRG0A79TGQ.104438	GO Process	GO:0010468	Regulation of gene expression
104438	STRG0A79TGQ.104438	GO Process	GO:0010556	Regulation of macromolecule biosynthetic process
104438	STRG0A79TGQ.104438	GO Process	GO:0010557	Positive regulation of macromolecule biosynthetic process
104438	STRG0A79TGQ.104438	GO Process	GO:0010604	Positive regulation of macromolecule metabolic process
104438	STRG0A79TGQ.104438	GO Process	GO:0019367	Fatty acid elongation, saturated fatty acid
104438	STRG0A79TGQ.104438	GO Process	GO:0031323	Regulation of cellular metabolic process
104438	STRG0A79TGQ.104438	GO Process	GO:0031325	Positive regulation of cellular metabolic process
104438	STRG0A79TGQ.104438	GO Process	GO:0031326	Regulation of cellular biosynthetic process
104438	STRG0A79TGQ.104438	GO Process	GO:0031328	Positive regulation of cellular biosynthetic process
104438	STRG0A79TGQ.104438	GO Process	GO:0032774	RNA biosynthetic process
104438	STRG0A79TGQ.104438	GO Process	GO:0034641	Cellular nitrogen compound metabolic process
104438	STRG0A79TGQ.104438	GO Process	GO:0034654	Nucleobase-containing compound biosynthetic process
104438	STRG0A79TGQ.104438	GO Process	GO:0043170	Macromolecule metabolic process
104438	STRG0A79TGQ.104438	GO Process	GO:0044237	Cellular metabolic process
104438	STRG0A79TGQ.104438	GO Process	GO:0044238	Primary metabolic process
104438	STRG0A79TGQ.104438	GO Process	GO:0044249	Cellular biosynthetic process
104438	STRG0A79TGQ.104438	GO Process	GO:0044271	Cellular nitrogen compound biosynthetic process
104438	STRG0A79TGQ.104438	GO Process	GO:0045893	Positive regulation of transcription, DNA-templated
104438	STRG0A79TGQ.104438	GO Process	GO:0045935	Positive regulation of nucleobase-containing compound metabolic process
104438	STRG0A79TGQ.104438	GO Process	GO:0045944	Positive regulation of transcription by RNA polymerase II
104438	STRG0A79TGQ.104438	GO Process	GO:0046483	Heterocycle metabolic process
104438	STRG0A79TGQ.104438	GO Process	GO:0048518	Positive regulation of biological process
104438	STRG0A79TGQ.104438	GO Process	GO:0048522	Positive regulation of cellular process
104438	STRG0A79TGQ.104438	GO Process	GO:0050789	Regulation of biological process
104438	STRG0A79TGQ.104438	GO Process	GO:0050794	Regulation of cellular process
104438	STRG0A79TGQ.104438	GO Process	GO:0051171	Regulation of nitrogen compound metabolic process
104438	STRG0A79TGQ.104438	GO Process	GO:0051173	Positive regulation of nitrogen compound metabolic process
104438	STRG0A79TGQ.104438	GO Process	GO:0051252	Regulation of RNA metabolic process
104438	STRG0A79TGQ.104438	GO Process	GO:0051254	Positive regulation of RNA metabolic process
104438	STRG0A79TGQ.104438	GO Process	GO:0051645	Golgi localization
104438	STRG0A79TGQ.104438	GO Process	GO:0051685	Maintenance of ER location
104438	STRG0A79TGQ.104438	GO Process	GO:0060255	Regulation of macromolecule metabolic process
