Gene	Protein_ID
PAPLA_00001	475833
PAPLA_00002	434355
PAPLA_00003	513968
PAPLA_00004	475850
PAPLA_00005	475852
PAPLA_00006	475857
PAPLA_00007	232
PAPLA_00008	433868
PAPLA_00009	469620
PAPLA_00010	513976
PAPLA_00011	264
PAPLA_00012	506982
PAPLA_00012	506982
PAPLA_00013	469625
PAPLA_00014	370
PAPLA_00015	546487
PAPLA_00016	475898
PAPLA_00017	543419
PAPLA_00018	458921
PAPLA_00019	434085
PAPLA_00020	475919
PAPLA_00021	448110
PAPLA_00022	475930
PAPLA_00023	503752
PAPLA_00024	475937
PAPLA_00025	433958
PAPLA_00026	469647
PAPLA_00027	507006
PAPLA_00028	536902
PAPLA_00029	475954
PAPLA_00030	475959
PAPLA_00031	475961
PAPLA_00032	469652
PAPLA_00033	475971
PAPLA_00034	503690
PAPLA_00035	1107
PAPLA_00036	503692
PAPLA_00037	476019
PAPLA_00038	476031
PAPLA_00039	469664
PAPLA_00040	476039
PAPLA_00041	476044
PAPLA_00042	1991
PAPLA_00043	476054
PAPLA_00044	476056
PAPLA_00045	476059
PAPLA_00046	476063
PAPLA_00047	503698
PAPLA_00048	476068
PAPLA_00049	2571
PAPLA_00050	2738
PAPLA_00051	514265
PAPLA_00052	2836
PAPLA_00053	2821
PAPLA_00054	476109
PAPLA_00055	476110
PAPLA_00056	3076
PAPLA_00057	3090
PAPLA_00058	476135
PAPLA_00059	3274
PAPLA_00060	514321
PAPLA_00061	476173
PAPLA_00062	476174
PAPLA_00063	476177
PAPLA_00064	476180
PAPLA_00065	3913
PAPLA_00066	476186
PAPLA_00067	476193
PAPLA_00068	476197
PAPLA_00069	476198
PAPLA_00070	507061
PAPLA_00071	503719
PAPLA_00072	476211
PAPLA_00073	536957
PAPLA_00074	536957
PAPLA_00075	4549
PAPLA_00076	507068
PAPLA_00077	434930
PAPLA_00078	476223
PAPLA_00079	476226
PAPLA_00080	476230
PAPLA_00081	476232
PAPLA_00082	469712
PAPLA_00083	5032
PAPLA_00084	507076
PAPLA_00085	476250
PAPLA_00086	5396
PAPLA_00087	514425
PAPLA_00088	433778
PAPLA_00089	433778
