proteinId,kogid
492908,KOG0054
438449,KOG0062
438449,KOG0062
545536,KOG0065
450436,KOG0101
449276,KOG0110
478299,KOG0118
484765,KOG0118
482424,KOG0127
439189,KOG0223
106947,KOG0252
512195,KOG0252
535042,KOG0252
186491,KOG0254
336144,KOG0254
476044,KOG0254
488415,KOG0254
509911,KOG0254
14588,KOG0255
444228,KOG0255
482667,KOG0271
501365,KOG0279
499239,KOG0299
542305,KOG0306
493623,KOG0310
534687,KOG0313
493510,KOG0327
456667,KOG0330
315141,KOG0331
442735,KOG0335
491608,KOG0338
67269,KOG0342
451850,KOG0342
473614,KOG0343
484052,KOG0346
467906,KOG0348
482143,KOG0370
478135,KOG0398
200539,KOG0453
200539,KOG0453
496495,KOG0552
488765,KOG0567
459963,KOG0572
487747,KOG0650
343415,KOG0733
506463,KOG0757
536529,KOG0758
462812,KOG0816
498311,KOG0820
497105,KOG0830
93554,KOG0872
493242,KOG0922
168653,KOG0927
457480,KOG1065
452245,KOG1098
452245,KOG1098
486913,KOG1122
465504,KOG1175
492483,KOG1176
347512,KOG1208
512494,KOG1225
512494,KOG1225
471404,KOG1237
546719,KOG1239
546719,KOG1239
538760,KOG1286
494802,KOG1303
502290,KOG1303
465499,KOG1371
487313,KOG1371
461149,KOG1490
486771,KOG1502
451122,KOG1521
436112,KOG1539
440118,KOG1560
490627,KOG1575
489460,KOG1578
480781,KOG1596
461134,KOG1685
476915,KOG1697
495693,KOG1715
494268,KOG1723
90357,KOG1765
500140,KOG1865
459901,KOG1926
486541,KOG1963
481615,KOG1980
233019,KOG2050
484931,KOG2061
438142,KOG2102
467115,KOG2153
467115,KOG2153
538438,KOG2154
466746,KOG2171
466746,KOG2171
451770,KOG2172
247650,KOG2186
435300,KOG2188
436453,KOG2201
442283,KOG2229
442283,KOG2229
478925,KOG2249
505271,KOG2262
485289,KOG2270
485289,KOG2270
435200,KOG2314
540450,KOG2318
438493,KOG2335
500093,KOG2335
53482,KOG2387
251548,KOG2396
481551,KOG2423
485018,KOG2434
501004,KOG2466
501004,KOG2466
486543,KOG2479
487323,KOG2481
478138,KOG2484
483232,KOG2484
484352,KOG2529
174669,KOG2533
185631,KOG2533
320532,KOG2533
511418,KOG2533
500091,KOG2550
455874,KOG2572
455874,KOG2572
488095,KOG2600
491829,KOG2637
496228,KOG2646
485479,KOG2750
497532,KOG2773
497532,KOG2773
494295,KOG2780
484474,KOG2809
539149,KOG2809
484474,KOG2809
539149,KOG2809
343552,KOG2815
500591,KOG2823
461263,KOG2874
461263,KOG2874
493108,KOG2885
482986,KOG2892
494306,KOG2907
484491,KOG2914
459801,KOG2963
491498,KOG2971
489236,KOG2988
542018,KOG2992
496105,KOG3031
487413,KOG3051
496176,KOG3064
498906,KOG3073
484239,KOG3080
509293,KOG3100
539074,KOG3118
541602,KOG3123
476714,KOG3165
498380,KOG3185
484425,KOG3204
471269,KOG3225
493994,KOG3273
512371,KOG3331
497663,KOG3346
480064,KOG3506
499909,KOG3717
503626,KOG3717
450402,KOG3719
504211,KOG3822
485175,KOG3871
487303,KOG3881
453963,KOG3911
477349,KOG3980
489449,KOG3985
477510,KOG4008
479338,KOG4032
315262,KOG4069
457171,KOG4089
480527,KOG4134
18376,KOG4157
438635,KOG4157
494782,KOG4157
18376,KOG4157
438635,KOG4157
494782,KOG4157
546211,KOG4166
546211,KOG4166
504802,KOG4183
499983,KOG4210
434519,KOG4230
487471,KOG4400
540265,KOG4400
315259,KOG4409
287012,KOG4498
229375,KOG4547
478955,KOG4548
502014,KOG4549
476133,KOG4771
210209,KOG4829
