Protein_ID,log2FoldChange,padj,Gene_id,,,,,
487408,-3.61097473203681,0,gene_3394,putative transporter,,,,
493334,-3.35437076307614,0,gene_5108,putative Flavohemo protein,Select seq gb|OCF40555.1|,nitric oxide dioxygenase [Kwoniella heveanensis CBS 569],,
476904,-3.31093729419885,0,gene_306,Glycosyl hydrolase catalytic core-domain containing protein,,,,
490091,-3.25482383557089,0,gene_4185,formate dehydrogenase,,,,
525572,-3.16548462131725,2.52401900347281E-122,gene_3393,hypothetical protein,Select seq ref|XP_021867745.1|,Alpha/Beta hydrolase protein [Kockovaella imperatae],,
494794,-3.14958283348769,1.12339511975821E-230,gene_5506,putative amino acid transporter,,,,
473435,-3.03601632089177,4.87729072906696E-121,gene_4882,hypothetical protein,,,,
489409,-2.91572298583338,0,gene_4019,putative zinc-finger protein,Select seq ref|XP_003192097.1|,"Zinc-finger protein, putative; Zpr1p [Cryptococcus gattii WM276]",,
498806,-2.90765463889826,0,gene_6657,putative alcohol dehydrogenase,Select seq dbj|GFZ47602.1|,NADP-dependent alcohol dehydrogenase 6 [Saitozyma sp. JCM 24511],,
480260,-2.81444150208816,1.68888936375081E-22,gene_1290,MFS multidrug transporter,,,,
451721,-2.77306345466072,5.04926343918651E-34,gene_3008,hypothetical protein,Select seq gb|KAI0083933.1|,2-epi-5-epi-valiolone synthase [Irpex rosettiformis],,
480268,-2.70952421870446,2.992916177592E-17,gene_1291,expressed protein,PNRC100 replication protein H-like [Elysia marginata] ,,,
494988,-2.62718678026977,6.37189254768222E-265,gene_5557,Amino acid permease%2F SLC12A domain-containing protein,,,,
487987,-2.62250446760048,8.44791421976074E-204,gene_3568,"Major facilitator superfamily domain-containing protein""",,,,
458405,-2.606743214425,0,gene_7470,Major facilitator superfamily domain-containing protein,,,,
498604,-2.5529022955868,7.69334679600758E-77,gene_6605,mitochondrial carrier,Select seq ref|XP_012051991.1|,"solute carrier family 25 (mitochondrial dicarboxylate transporter), member 10 [Cryptococcus neoformans var. gr",,
